"0xc99058","+00 Weapon Type","+01 All weapons or a certain one?","+02 Animation Played","+03 Separator (always zero)"
"0x0","0x0","1","0x1","0"
"0x1","0x9","1","0x2","0"
"0x2","0x0","0","0x0","0"
"0x3","0x0","1","0xf","0"
"0x4","0x9","1","0x10","0"
"0x5","0x0","0","0x0","0"
"0x6","0x2","1","0x7","0"
"0x7","0x9","1","0x9","0"
"0x8","0x28","0","0x8","0"
"0x9","0x29","0","0x8","0"
"0xa","0x0","0","0x0","0"
"0xb","0x0","1","0x1","0"
"0xc","0x9","1","0x2","0"
"0xd","0x0","0","0x0","0"
"0xe","0x0","1","0xf","0"
"0xf","0x9","1","0x10","0"
"0x10","0x0","0","0x0","0"
"0x11","0x2","1","0x7","0"
"0x12","0x9","1","0x9","0"
"0x13","0x28","0","0x8","0"
"0x14","0x29","0","0x8","0"
"0x15","0x0","0","0x0","0"
"0x16","0x0","1","0x3","0"
"0x17","0x9","1","0x6","0"
"0x18","0x1","1","0x5","0"
"0x19","0x84","0","0x4","0"
"0x1a","0x0","0","0x0","0"
"0x1b","0x0","1","0x11","0"
"0x1c","0x9","1","0x14","0"
"0x1d","0x8c","0","0x12","0"
"0x1e","0x3","1","0x13","0"
"0x1f","0x0","0","0x0","0"
"0x20","0x0","1","0xd","0"
"0x21","0x9","1","0xe","0"
"0x22","0x2","1","0xa","0"
"0x23","0x85","0","0xc","0"
"0x24","0x28","0","0xb","0"
"0x25","0x29","0","0xb","0"
"0x26","0x0","0","0x0","0"
"0x27","0x0","1","0x2d","0"
"0x28","0x9","1","0x2e","0"
"0x29","0x0","0","0x0","0"
"0x2a","0x0","1","0x2f","0"
"0x2b","0x9","1","0x31","0"
"0x2c","0x2","1","0x30","0"
"0x2d","0x28","0","0x31","0"
"0x2e","0x29","0","0x31","0"
"0x2f","0x0","0","0x0","0"
"0x30","0x0","1","0x2f","0"
"0x31","0x9","1","0x31","0"
"0x32","0x2","1","0x30","0"
"0x33","0x28","0","0x31","0"
"0x34","0x29","0","0x31","0"
"0x35","0x0","0","0x0","0"
"0x36","0x0","1","0x33","0"
"0x37","0x9","1","0x34","0"
"0x38","0x0","0","0x0","0"
"0x39","0x0","1","0x33","0"
"0x3a","0x9","1","0x34","0"
"0x3b","0x0","0","0x0","0"
"0x3c","0x0","1","0x35","0"
"0x3d","0x9","1","0x36","0"
"0x3e","0x0","0","0x0","0"
"0x3f","0x0","1","0x39","0"
"0x40","0x9","1","0x3a","0"
"0x41","0x0","0","0x0","0"
"0x42","0x2","1","0x1e","0"
"0x43","0x9","1","0x20","0"
"0x44","0x28","0","0x1f","0"
"0x45","0x29","0","0x1f","0"
"0x46","0x0","0","0x0","0"
"0x47","0x2","1","0x21","0"
"0x48","0x9","1","0x24","0"
"0x49","0x3","1","0x23","0"
"0x4a","0x28","0","0x22","0"
"0x4b","0x29","0","0x22","0"
"0x4c","0x0","0","0x0","0"
"0x4d","0x1","1","0x52","0"
"0x4e","0x9","1","0x53","0"
"0x4f","0x0","0","0x0","0"
"0x50","0x1","1","0x52","0"
"0x51","0x9","1","0x53","0"
"0x52","0x0","0","0x0","0"
"0x53","0x1","1","0x54","0"
"0x54","0x9","1","0x57","0"
"0x55","0x2","1","0x55","0"
"0x56","0x28","0","0x56","0"
"0x57","0x29","0","0x56","0"
"0x58","0x0","0","0x0","0"
"0x59","0x1","1","0x54","0"
"0x5a","0x9","1","0x57","0"
"0x5b","0x2","1","0x55","0"
"0x5c","0x28","0","0x56","0"
"0x5d","0x29","0","0x56","0"
"0x5e","0x0","0","0x0","0"
"0x5f","0x3","1","0x25","0"
"0x60","0x9","1","0x26","0"
"0x61","0x34","0","0x8c","0"
"0x62","0x35","0","0x8c","0"
"0x63","0x36","0","0x8c","0"
"0x64","0x0","0","0x0","0"
"0x65","0x3","1","0x27","0"
"0x66","0x9","1","0x28","0"
"0x67","0x34","0","0x8c","0"
"0x68","0x35","0","0x8c","0"
"0x69","0x36","0","0x8c","0"
"0x6a","0x0","0","0x0","0"
"0x6b","0x3","1","0x29","0"
"0x6c","0x9","1","0x2a","0"
"0x6d","0x34","0","0x8c","0"
"0x6e","0x35","0","0x8c","0"
"0x6f","0x36","0","0x8c","0"
"0x70","0x0","0","0x0","0"
"0x71","0x3","1","0x2b","0"
"0x72","0x9","1","0x2c","0"
"0x73","0x34","0","0x8c","0"
"0x74","0x35","0","0x8c","0"
"0x75","0x36","0","0x8c","0"
"0x76","0x0","0","0x0","0"
"0x77","0x5","1","0x64","0"
"0x78","0x6","1","0x64","0"
"0x79","0x7","1","0x64","0"
"0x7a","0x9","1","0x64","0"
"0x7b","0x0","0","0x0","0"
"0x7c","0x4","1","0x62","0"
"0x7d","0x9","1","0x63","0"
"0x7e","0x0","0","0x0","0"
"0x7f","0x4","1","0x66","0"
"0x80","0x5","1","0x65","0"
"0x81","0x6","1","0x65","0"
"0x82","0x7","1","0x65","0"
"0x83","0x9","1","0x97","0"
"0x84","0x0","0","0x0","0"
"0x85","0x4","1","0x68","0"
"0x86","0x5","1","0x67","0"
"0x87","0x6","1","0x67","0"
"0x88","0x7","1","0x67","0"
"0x89","0x9","1","0x98","0"
"0x8a","0x0","0","0x0","0"
"0x8b","0x5","1","0x58","0"
"0x8c","0x6","1","0x58","0"
"0x8d","0x7","1","0x58","0"
"0x8e","0x9","1","0x58","0"
"0x8f","0x0","0","0x0","0"
"0x90","0x5","1","0x59","0"
"0x91","0x6","1","0x59","0"
"0x92","0x7","1","0x59","0"
"0x93","0x9","1","0x59","0"
"0x94","0x0","0","0x0","0"
"0x95","0x5","1","0x5a","0"
"0x96","0x6","1","0x5a","0"
"0x97","0x7","1","0x5a","0"
"0x98","0x9","1","0x5a","0"
"0x99","0x4","1","0x5b","0"
"0x9a","0x0","0","0x0","0"
"0x9b","0x5","1","0x5c","0"
"0x9c","0x6","1","0x5c","0"
"0x9d","0x7","1","0x5c","0"
"0x9e","0x9","1","0x5c","0"
"0x9f","0x4","1","0x5d","0"
"0xa0","0x0","0","0x0","0"
"0xa1","0x5","1","0x69","0"
"0xa2","0x6","1","0x69","0"
"0xa3","0x7","1","0x69","0"
"0xa4","0x9","1","0x69","0"
"0xa5","0x0","0","0x0","0"
"0xa6","0x5","1","0x69","0"
"0xa7","0x6","1","0x69","0"
"0xa8","0x7","1","0x69","0"
"0xa9","0x9","1","0x69","0"
"0xaa","0x0","0","0x0","0"
"0xab","0x5","1","0x6a","0"
"0xac","0x6","1","0x6a","0"
"0xad","0x7","1","0x6a","0"
"0xae","0x9","1","0x6a","0"
"0xaf","0x4","1","0x6b","0"
"0xb0","0x0","0","0x0","0"
"0xb1","0x5","1","0x6a","0"
"0xb2","0x6","1","0x6a","0"
"0xb3","0x7","1","0x6a","0"
"0xb4","0x9","1","0x6a","0"
"0xb5","0x4","1","0x6b","0"
"0xb6","0x0","0","0x0","0"
"0xb7","0x0","1","0x3c","0"
"0xb8","0x1","1","0x3b","0"
"0xb9","0x9","1","0x3d","0"
"0xba","0x0","0","0x0","0"
"0xbb","0x0","1","0x3f","0"
"0xbc","0x1","1","0x3e","0"
"0xbd","0x9","1","0x40","0"
"0xbe","0x0","0","0x0","0"
"0xbf","0x1","1","0x44","0"
"0xc0","0x0","1","0x43","0"
"0xc1","0x2","1","0x41","0"
"0xc2","0x9","1","0x45","0"
"0xc3","0x28","0","0x42","0"
"0xc4","0x29","0","0x42","0"
"0xc5","0x0","0","0x0","0"
"0xc6","0x1","1","0x49","0"
"0xc7","0x0","1","0x48","0"
"0xc8","0x2","1","0x46","0"
"0xc9","0x9","1","0x4a","0"
"0xca","0x28","0","0x47","0"
"0xcb","0x29","0","0x47","0"
"0xcc","0x0","0","0x0","0"
"0xcd","0x4","1","0x6e","0"
"0xce","0x9","1","0x6f","0"
"0xcf","0x0","0","0x0","0"
"0xd0","0x4","1","0x71","0"
"0xd1","0x5","1","0x70","0"
"0xd2","0x6","1","0x70","0"
"0xd3","0x7","1","0x70","0"
"0xd4","0x9","1","0x70","0"
"0xd5","0x0","0","0x0","0"
"0xd6","0x3","1","0x74","0"
"0xd7","0x9","1","0x75","0"
"0xd8","0x0","0","0x0","0"
"0xd9","0x3","1","0x74","0"
"0xda","0x9","1","0x75","0"
"0xdb","0x0","0","0x0","0"
"0xdc","0x3","1","0x77","0"
"0xdd","0x9","1","0x78","0"
"0xde","0x0","1","0x76","0"
"0xdf","0x0","0","0x0","0"
"0xe0","0x3","1","0x77","0"
"0xe1","0x9","1","0x78","0"
"0xe2","0x0","1","0x76","0"
"0xe3","0x0","0","0x0","0"
"0xe4","0x1","1","0x81","0"
"0xe5","0x9","1","0x82","0"
"0xe6","0x0","0","0x0","0"
"0xe7","0x1","1","0x84","0"
"0xe8","0x9","1","0x85","0"
"0xe9","0x0","1","0x83","0"
"0xea","0x0","0","0x0","0"
"0xeb","0x1","1","0x86","0"
"0xec","0x9","1","0x87","0"
"0xed","0x0","0","0x0","0"
"0xee","0x1","1","0x86","0"
"0xef","0x9","1","0x87","0"
"0xf0","0x0","0","0x0","0"
"0xf1","0x1","1","0x88","0"
"0xf2","0x9","1","0x8a","0"
"0xf3","0x0","1","0x89","0"
"0xf4","0x0","0","0x0","0"
"0xf5","0x1","1","0x88","0"
"0xf6","0x9","1","0x8a","0"
"0xf7","0x0","1","0x89","0"
"0xf8","0x0","0","0x0","0"
"0xf9","0x1","1","0x50","0"
"0xfa","0x9","1","0x51","0"
"0xfb","0x0","0","0x0","0"
"0xfc","0x2","1","0x15","0"
"0xfd","0x9","1","0x17","0"
"0xfe","0x28","0","0x16","0"
"0xff","0x29","0","0x16","0"
"0x100","0x0","0","0x0","0"
"0x101","0x2","1","0x18","0"
"0x102","0x9","1","0x1a","0"
"0x103","0x28","0","0x19","0"
"0x104","0x29","0","0x19","0"
"0x105","0x0","0","0x0","0"
"0x106","0x2","1","0x9d","0"
"0x107","0x9","1","0x9f","0"
"0x108","0x28","0","0x9e","0"
"0x109","0x29","0","0x9e","0"
"0x10a","0x0","0","0x0","0"
"0x10b","0x0","1","0x79","0"
"0x10c","0x9","1","0x7a","0"
"0x10d","0x0","0","0x0","0"
"0x10e","0x0","1","0x7d","0"
"0x10f","0x9","1","0x7e","0"
"0x110","0x0","0","0x0","0"
"0x111","0x0","1","0x7f","0"
"0x112","0x9","1","0x80","0"
"0x113","0x0","0","0x0","0"
"0x114","0x9","1","0x8d","0"
"0x115","0x5","1","0x8d","0"
"0x116","0x6","1","0x8d","0"
"0x117","0x7","1","0x8d","0"
"0x118","0x7c","0","0x8d","0"
"0x119","0x7d","0","0x8d","0"
"0x11a","0x7e","0","0x8d","0"
"0x11b","0x7f","0","0x8d","0"
"0x11c","0x0","0","0x0","0"
"0x11d","0x9","1","0x8e","0"
"0x11e","0x5","1","0x8e","0"
"0x11f","0x6","1","0x8e","0"
"0x120","0x7","1","0x8e","0"
"0x121","0x7c","0","0x8e","0"
"0x122","0x7d","0","0x8e","0"
"0x123","0x7e","0","0x8e","0"
"0x124","0x7f","0","0x8e","0"
"0x125","0x0","0","0x0","0"
"0x126","0x5","1","0x72","0"
"0x127","0x6","1","0x72","0"
"0x128","0x7","1","0x72","0"
"0x129","0x9","1","0x72","0"
"0x12a","0x4","1","0x73","0"
"0x12b","0x0","0","0x0","0"
"0x12c","0x9","1","0xa1","0"
"0x12d","0x0","0","0x0","0"
"0x12e","0x5","1","0x6c","0"
"0x12f","0x6","1","0x6c","0"
"0x130","0x7","1","0x6c","0"
"0x131","0x9","1","0x6c","0"
"0x132","0x4","1","0x6d","0"
"0x133","0x0","0","0x0","0"
"0x134","0x9","1","0x8b","0"
"0x135","0x8f","0","0x8b","0"
"0x136","0x0","0","0x0","0"
"0x137","0x2","1","0x18","0"
"0x138","0x9","1","0x1a","0"
"0x139","0x28","0","0x19","0"
"0x13a","0x29","0","0x19","0"
"0x13b","0x0","0","0x0","0"
"0x13c","0x9","1","0x8b","0"
"0x13d","0x8f","0","0x8b","0"
"0x13e","0x0","0","0x0","0"
"0x13f","0x9","1","0xa2","0"
"0x140","0x0","0","0x0","0"
"0x141","0x5","1","0x5c","0"
"0x142","0x6","1","0x5c","0"
"0x143","0x7","1","0x5c","0"
"0x144","0x9","1","0x5c","0"
"0x145","0x4","1","0x5d","0"
"0x146","0x0","0","0x0","0"
"0x147","0x5","1","0x8f","0"
"0x148","0x6","1","0x8f","0"
"0x149","0x7","1","0x8f","0"
"0x14a","0x9","1","0x8f","0"
"0x14b","0x0","0","0x0","0"
"0x14c","0x4","1","0x95","0"
"0x14d","0x9","1","0x96","0"
"0x14e","0x5","1","0x94","0"
"0x14f","0x6","1","0x94","0"
"0x150","0x7","1","0x94","0"
"0x151","0x0","0","0x0","0"
"0x152","0x0","1","0x90","0"
"0x153","0x9","1","0x93","0"
"0x154","0x2","1","0x91","0"
"0x155","0x28","0","0x92","0"
"0x156","0x29","0","0x92","0"
"0x157","0x0","0","0x0","0"
"0x158","0x0","1","0x90","0"
"0x159","0x9","1","0x93","0"
"0x15a","0x2","1","0x91","0"
"0x15b","0x28","0","0x92","0"
"0x15c","0x29","0","0x92","0"
"0x15d","0x0","0","0x0","0"
"0x15e","0x0","1","0x90","0"
"0x15f","0x9","1","0x93","0"
"0x160","0x2","1","0x91","0"
"0x161","0x28","0","0x92","0"
"0x162","0x29","0","0x92","0"
"0x163","0x0","0","0x0","0"
"0x164","0x0","1","0x37","0"
"0x165","0x9","1","0x38","0"
"0x166","0x0","0","0x0","0"
"0x167","0x0","1","0x37","0"
"0x168","0x9","1","0x38","0"
"0x169","0x0","0","0x0","0"
"0x16a","0x0","1","0x37","0"
"0x16b","0x9","1","0x38","0"
"0x16c","0x0","0","0x0","0"
"0x16d","0x0","1","0x4d","0"
"0x16e","0x9","1","0x4f","0"
"0x16f","0x2","1","0x4b","0"
"0x170","0x28","0","0x4c","0"
"0x171","0x29","0","0x4c","0"
"0x172","0x1","1","0x4e","0"
"0x173","0x0","0","0x0","0"
"0x174","0x5","1","0x5e","0"
"0x175","0x6","1","0x5e","0"
"0x176","0x7","1","0x5e","0"
"0x177","0x9","1","0x5e","0"
"0x178","0x4","1","0x5f","0"
"0x179","0x0","0","0x0","0"
"0x17a","0x0","1","0x7b","0"
"0x17b","0x9","1","0x7c","0"
"0x17c","0x0","0","0x0","0"
"0x17d","0x0","1","0x3f","0"
"0x17e","0x9","1","0x40","0"
"0x17f","0x0","0","0x0","0"
"0x180","0x0","1","0x90","0"
"0x181","0x9","1","0x93","0"
"0x182","0x2","1","0x91","0"
"0x183","0x28","0","0x92","0"
"0x184","0x29","0","0x92","0"
"0x185","0x0","0","0x0","0"
"0x186","0x0","1","0x99","0"
"0x187","0x9","1","0x9a","0"
"0x188","0x0","0","0x0","0"
"0x189","0x0","1","0x9b","0"
"0x18a","0x9","1","0x9c","0"
"0x18b","0x0","0","0x0","0"
"0x18c","0x2","1","0x1b","0"
"0x18d","0x9","1","0x1d","0"
"0x18e","0x28","0","0x1c","0"
"0x18f","0x29","0","0x1c","0"
"0x190","0x0","0","0x0","0"
"0x191","0x0","1","0x3f","0"
"0x192","0x9","1","0x40","0"
"0x193","0x0","0","0x0","0"
"0x194","0x0","1","0x3f","0"
"0x195","0x9","1","0x40","0"
"0x196","0x0","0","0x0","0"
"0x197","0x0","0","0x0","0"
"0x198","0x74","149","0xc9","8"
"0x199","0x88","149","0xc9","8"
"0x19a","0xa0","149","0xc9","8"
"0x19b","0xb8","149","0xc9","8"
