"0xc99064","+00 Weapon Type","+01 All weapons or a certain one?","+02 Animation Played","+03 Separator (always zero)","+04 Weapon Type","+05 All weapons or a certain one?","+06 Animation Played","+07 Separator (always zero)","+08 Weapon Type","+09 All weapons or a certain one?","+0A Animation Played","+0B Separator (always zero)","+0C Weapon Type","+0D All weapons or a certain one?","+0E Animation Played","+0F Separator (always zero)"
"FFF800 Pointer - 0x8FFF800","0x0","1","0xf","0","0x9","1","0x10","0","0x0","0","0x0","0","0x2","1","0x7","0"
"FFF810 Pointer - 0x8FFF810","0x9","1","0x9","0","0x28","0","0x8","0","0x29","0","0x8","0","0x0","0","0x0","0"
"FFF820 Pointer - 0x8FFF820","0x0","1","0x1","0","0x9","1","0x2","0","0x0","0","0x0","0","0x0","1","0xf","0"
"FFF830 Pointer - 0x8FFF830","0x9","1","0x10","0","0x0","0","0x0","0","0x2","1","0x7","0","0x9","1","0x9","0"
"FFF840 Pointer - 0x8FFF840","0x28","0","0x8","0","0x29","0","0x8","0","0x0","0","0x0","0","0x0","1","0x3","0"
"FFF850 Pointer - 0x8FFF850","0x9","1","0x6","0","0x1","1","0x5","0","0x84","0","0x4","0","0x0","0","0x0","0"
"FFF860 Pointer - 0x8FFF860","0x0","1","0x11","0","0x9","1","0x14","0","0x8c","0","0x12","0","0x3","1","0x13","0"
"FFF870 Pointer - 0x8FFF870","0x0","0","0x0","0","0x0","1","0xd","0","0x9","1","0xe","0","0x2","1","0xa","0"
"FFF880 Pointer - 0x8FFF880","0x85","0","0xc","0","0x28","0","0xb","0","0x29","0","0xb","0","0x0","0","0x0","0"
"FFF890 Pointer - 0x8FFF890","0x0","1","0x2d","0","0x9","1","0x2e","0","0x0","0","0x0","0","0x0","1","0x2f","0"
"FFF8A0 Pointer - 0x8FFF8A0","0x9","1","0x31","0","0x2","1","0x30","0","0x28","0","0x31","0","0x29","0","0x31","0"
"FFF8B0 Pointer - 0x8FFF8B0","0x0","0","0x0","0","0x0","1","0x2f","0","0x9","1","0x31","0","0x2","1","0x30","0"
"FFF8C0 Pointer - 0x8FFF8C0","0x28","0","0x31","0","0x29","0","0x31","0","0x0","0","0x0","0","0x0","1","0x33","0"
"FFF8D0 Pointer - 0x8FFF8D0","0x9","1","0x34","0","0x0","0","0x0","0","0x0","1","0x33","0","0x9","1","0x34","0"
"FFF8E0 Pointer - 0x8FFF8E0","0x0","0","0x0","0","0x0","1","0x35","0","0x9","1","0x36","0","0x0","0","0x0","0"
"FFF8F0 Pointer - 0x8FFF8F0","0x0","1","0x39","0","0x9","1","0x3a","0","0x0","0","0x0","0","0x2","1","0x1e","0"
"FFF900 Pointer - 0x8FFF900","0x9","1","0x20","0","0x28","0","0x1f","0","0x29","0","0x1f","0","0x0","0","0x0","0"
"FFF910 Pointer - 0x8FFF910","0x2","1","0x21","0","0x9","1","0x24","0","0x3","1","0x23","0","0x28","0","0x22","0"
"FFF920 Pointer - 0x8FFF920","0x29","0","0x22","0","0x0","0","0x0","0","0x1","1","0x52","0","0x9","1","0x53","0"
"FFF930 Pointer - 0x8FFF930","0x0","0","0x0","0","0x1","1","0x52","0","0x9","1","0x53","0","0x0","0","0x0","0"
"FFF940 Pointer - 0x8FFF940","0x1","1","0x54","0","0x9","1","0x57","0","0x2","1","0x55","0","0x28","0","0x56","0"
"FFF950 Pointer - 0x8FFF950","0x29","0","0x56","0","0x0","0","0x0","0","0x1","1","0x54","0","0x9","1","0x57","0"
"FFF960 Pointer - 0x8FFF960","0x2","1","0x55","0","0x28","0","0x56","0","0x29","0","0x56","0","0x0","0","0x0","0"
"FFF970 Pointer - 0x8FFF970","0x3","1","0x25","0","0x9","1","0x26","0","0x34","0","0x8c","0","0x35","0","0x8c","0"
"FFF980 Pointer - 0x8FFF980","0x36","0","0x8c","0","0x0","0","0x0","0","0x3","1","0x27","0","0x9","1","0x28","0"
"FFF990 Pointer - 0x8FFF990","0x34","0","0x8c","0","0x35","0","0x8c","0","0x36","0","0x8c","0","0x0","0","0x0","0"
"FFF9A0 Pointer - 0x8FFF9A0","0x3","1","0x29","0","0x9","1","0x2a","0","0x34","0","0x8c","0","0x35","0","0x8c","0"
"FFF9B0 Pointer - 0x8FFF9B0","0x36","0","0x8c","0","0x0","0","0x0","0","0x3","1","0x2b","0","0x9","1","0x2c","0"
"FFF9C0 Pointer - 0x8FFF9C0","0x34","0","0x8c","0","0x35","0","0x8c","0","0x36","0","0x8c","0","0x0","0","0x0","0"
"FFF9D0 Pointer - 0x8FFF9D0","0x5","1","0x64","0","0x6","1","0x64","0","0x7","1","0x64","0","0x9","1","0x64","0"
