"0xfff800","+00 Weapon Type","+01 All weapons or a certain one?","+02 Animation Played","+03 Separator (always zero)","+04 Weapon Type","+05 All weapons or a certain one?","+06 Animation Played","+07 Separator (always zero)","+08 Weapon Type","+09 All weapons or a certain one?","+0A Animation Played","+0B Separator (always zero)","+0C Weapon Type","+0D All weapons or a certain one?","+0E Animation Played","+0F Separator (always zero)"
"FFF800 Pointer - 0x8FFF800","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF810 Pointer - 0x8FFF810","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF820 Pointer - 0x8FFF820","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF830 Pointer - 0x8FFF830","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF840 Pointer - 0x8FFF840","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF850 Pointer - 0x8FFF850","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF860 Pointer - 0x8FFF860","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF870 Pointer - 0x8FFF870","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF880 Pointer - 0x8FFF880","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF890 Pointer - 0x8FFF890","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF8A0 Pointer - 0x8FFF8A0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF8B0 Pointer - 0x8FFF8B0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF8C0 Pointer - 0x8FFF8C0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF8D0 Pointer - 0x8FFF8D0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF8E0 Pointer - 0x8FFF8E0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF8F0 Pointer - 0x8FFF8F0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF900 Pointer - 0x8FFF900","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF910 Pointer - 0x8FFF910","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF920 Pointer - 0x8FFF920","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF930 Pointer - 0x8FFF930","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF940 Pointer - 0x8FFF940","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF950 Pointer - 0x8FFF950","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF960 Pointer - 0x8FFF960","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF970 Pointer - 0x8FFF970","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF980 Pointer - 0x8FFF980","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF990 Pointer - 0x8FFF990","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF9A0 Pointer - 0x8FFF9A0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF9B0 Pointer - 0x8FFF9B0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF9C0 Pointer - 0x8FFF9C0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
"FFF9D0 Pointer - 0x8FFF9D0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0","0x0","0"
