"0xfd8004","Battle Palette Pointer","##UNKNOWN##"
"0x00 Default Generic Colours (Don't Edit)","0x3fb8","0x6e696c"
"0x01 Lyn unpromoted","0x8fd9000","0x61636361626572"
"0x02 Rebecca unpromoted","0x8fd9050","0x6c6c6977"
"0x03 Wil unpromoted","0x8fd90b4","0x7365696f62"
"0x04 Boies","0x8fd9114","0x6c6f6f62"
"0x05 Bool","0x8fd9180","0x72656b776f62"
"0x06 Bauker","0x8fd91ec","0x72656c676165"
"0x07 Eagler","0x8fd9258","0x6e69736f"
"0x08 Oswin unpromoted","0x8fd92d8","0x6563616c6c6177"
"0x09 Wallace unpromoted","0x8fd935c","0x65726977"
"0x0A Wire","0x8fd93dc","0x676f79"
"0x0B Yogi","0x8fd9448","0x72616666616a"
"0x0C Jaffar","0x8fd94b4","0x656d72656a"
"0x0D Jerme","0x8fd9508","0x6f74726167616c"
"0x0E Legault promoted","0x8fd955c","0x7765687474616d"
"0x0F Matthew promoted","0x8fd95b8","0x6174746162"
"0x10 -","0x8fd9610","0x677562"
"0x11 Bug","0x8fd9664","0x6167696a726163"
"0x12 Carjiga","0x8fd96b4","0x6c6167696d"
"0x13 Migal","0x8fd9704","0x6e6167617a"
"0x14 Zagan","0x8fd9754","0x7567757a"
"0x15 Zugu","0x8fd97a8","0x6579656b776168"
"0x16 Hawkeye","0x8fd97f8","0x6172726573"
"0x17 Serra promoted","0x8fd9848","0x6874656e6e656b"
"0x18 Kenneth","0x8fd98a8","0x6f74616e6572"
"0x19 Renault","0x8fd9908","0x616568747572"
"0x1A Lucius promoted","0x8fd9970","0x6e696c"
"0x1B Lyn promoted","0x8fd99dc","0x6e656b6168"
"0x1C Harken","0x8fd9a2c","0x6d69616b"
"0x1D Kaim","0x8fd9a84","0x6e617679656c"
"0x1E Raven promoted","0x8fd9ad4","0x73756e696c"
"0x1F Linus","0x8fd9b2c","0x736c696e"
"0x20 Nils","0x8fd9b7c","0x7374726164"
"0x21 Dart promoted","0x8fd9bdc","0x737567726566"
"0x22 Fargus","0x8fd9c34","0x67726f6567"
"0x23 Georg","0x8fd9c84","0x6e61696e696e"
"0x24 Ninian","0x8fd9cd4","0x6874616568"
"0x25 Heath unpromoted","0x8fd9d44","0x6874616568"
"0x26 Heath promoted","0x8fd9db4","0x6164696176"
"0x27 Vaida","0x8fd9e34","0x6c616772656e"
"0x28 Nergal","0x8fd9eac","0x73616e6163"
"0x29 Canas promoted","0x8fd9f08","0x726f646f6574"
"0x2A Vaida","0x8fd9f5c","0x646f77696c65"
"0x2B Eliwood unpromoted","0x8fd9fac","0x616e69726166"
"0x2C Farina promoted","0x8fda00c","0x61726f6966"
"0x2D Fiora promoted","0x8fda07c","0x616e696c6f6c66"
"0x2E Florina promoted","0x8fda0ec","0x7274726162"
"0x2F Bartre unpromoted","0x8fda15c","0x736163726f64"
"0x30 Dorcas unpromoted","0x8fda1b4","0x646c616e6c6562"
"0x31 Bernard","0x8fda20c","0x6e6572726164"
"0x32 Darin","0x8fda27c","0x6e69736f"
"0x33 Oswin promoted","0x8fda2ec","0x6563616c6c6177"
"0x34 Wallace promoted","0x8fda374","0x6e656c676e617277"
"0x35 Lundgren","0x8fda3fc","0x726f74636568"
"0x36 Hector promoted","0x8fda46c","0x726f74636568"
"0x37 Hector unpromoted","0x8fda4c8","0x646f77696c65"
"0x38 Eliwood promoted","0x8fda524","0x6f6e696e"
"0x39 Nino unpromoted","0x8fda57c","0x6b7265"
"0x3A Erk unpromoted","0x8fda5e8","0x6472616562"
"0x3B Beyard","0x8fda65c","0x7373616c67"
"0x3C Glass","0x8fda6b8","0x6e617679656c"
"0x3D Raven unpromoted","0x8fda714","0x6e6f7370"
