"0xbdca64","Graphics Pointer","TSA Pointer","Palette Pointer"
"0x01 - Village","0x82ec794","0x82eed48","0x82eec78"
"0x02 - Castle Hallway (Grey)","0x82ef08c","0x82f0298","0x82f01f4"
"0x03 - Plains (Normal)","0x82f05c4","0x82f14a8","0x82f13bc"
"0x04 - Plains with River and Hills","0x82f1660","0x82f2e7c","0x82f2d48"
"0x05 - Riverside with Sky","0x82f312c","0x82f42fc","0x82f4214"
"0x06 - Grass with Rocks and Mountains","0x82f4538","0x82f5670","0x82f556c"
"0x07 - Mountains (Brown)","0x82f5838","0x82f7318","0x82f7210"
"0x08 - Desert","0x82f758c","0x82f8454","0x82f83a8"
"0x09 - Mountains (Different, Grey)","0x82f85e0","0x82f9950","0x82f9890"
"0x0A - Cave","0x82f9b48","0x82fb46c","0x82fb3e0"
"0x0B - Gate (Normal)","0x82fb728","0x82fc8b0","0x82fc7ac"
"0x0C - Thick Forest","0x82fcb7c","0x82fe970","0x82fe904"
"0x0D - Ocean","0x82fec50","0x82ffcf8","0x82ffc6c"
"0x0E - Throne Room Red","0x82ffed0","0x8300d90","0x8300c94"
"0x0F - Hallway (Purple)","0x8301028","0x8301bf4","0x8301b44"
"0x10 - Volcano Platform Area","0x8301dd0","0x8302cc0","0x8302bd8"
"0x11 - After this Point I somehow","0x82ec794","0x82eed48","0x8302ea4"
"0x12 - Messed up doing it, sorry...","0x82f05c4","0x82f14a8","0x8302f6c"
"0x13","0x82f1660","0x82f2e7c","0x8303050"
"0x14","0x82f312c","0x82f42fc","0x8303168"
"0x15","0x82f4538","0x82f5670","0x8303230"
"0x16","0x82f85e0","0x82f9950","0x830332c"
"0x17","0x82fb728","0x82fc8b0","0x83033ec"
"0x18","0x82fcb7c","0x82fe970","0x8303504"
"0x19","0x82ef08c","0x82f0298","0x8303570"
"0x1A","0x82ffed0","0x8300d90","0x8303630"
"0x1B","0x82fcb7c","0x82fe970","0x8303720"
"0x1C","0x83039b4","0x83061f4","0x8303790"
"0x1D","0x82fcb7c","0x82fe970","0x8303838"
"0x1E","0x83039b4","0x83061f4","0x83038a0"
"0x1F","0x82fcb7c","0x82fe970","0x8303948"
"0x20","0x83039b4","0x83061f4","0x8306148"
"0x21","0x8306560","0x8307ae4","0x8307a94"
"0x22","0x8307e2c","0x830a4bc","0x830a3f0"
"0x23","0x8307e2c","0x830a4bc","0x830a7f4"
"0x24","0x82f05c4","0x82f14a8","0x830a8b8"
"0x25","0x82f05c4","0x82f14a8","0x830a9a0"
"0x26","0x82f05c4","0x82f14a8","0x830aaa4"
"0x27","0x82f05c4","0x82f14a8","0x830ab8c"
"0x28","0x82ec794","0x82eed48","0x830ac78"
"0x29","0x82ef08c","0x82f0298","0x830ad3c"
"0x2A","0x82ef08c","0x82f0298","0x830ade4"
"0x2B","0x82ffed0","0x8300d90","0x830ae88"
"0x2C","0x82ffed0","0x8300d90","0x830af90"
"0x2D","0x82fec50","0x82ffcf8","0x830b070"
"0x2E","0x830b0fc","0x830bebc","0x830bd7c"
"0x2F","0x830c074","0x830d0dc","0x830cff4"
"0x30","0x830d2c0","0x830e59c","0x830e494"
"0x31","0x82f1660","0x82f2e7c","0x830e85c"
"0x32","0x82f1660","0x82f2e7c","0x830e99c"
"0x33","0x82f1660","0x82f2e7c","0x830eacc"
"0x34","0x830ec04","0x8310d68","0x8310c78"
"0x35","0x8311048","0x83123bc","0x8312314"
"0x36","0x82f4538","0x82f5670","0x8312678"
"0x37","0x82fb728","0x82fc8b0","0x8312778"
"0x38","0x82ec794","0x82eed48","0x82eec78"
"0x39","0x82ec794","0x82eed48","0x82eec78"
"0x3A","0x82ec794","0x82eed48","0x82eec78"
"0x3B","0x82ec794","0x82eed48","0x82eec78"
"0x3C","0x8312874","0x8315114","0x83150c4"
