"0xb91588","Graphics Pointer","TSA Pointer","Palette Pointer"
"0x00 - Lyn's Tent Background","0x80ccd24","0x80d07f8","0x80d0cac"
"0x01 - House with fireplace","0x80d0dac","0x80d4820","0x80d4cd4"
"0x02 - Village (Garden)","0x80d4dd4","0x80d82ac","0x80d8760"
"0x03 - Village (Garden) (Night)","0x80d4dd4","0x80d82ac","0x80d8860"
"0x04 - On a Road to a Town or Village","0x80d8960","0x80dbc38","0x80dc0ec"
"0x05 - On a Road to a Town or Village (Night)","0x80d8960","0x80dbc38","0x80dc1ec"
"0x06 - On a Road to a Town or Village (Sunset)","0x80d8960","0x80dbc38","0x80dc2ec"
"0x07 - On a Road to a Town or Village (Partial Dark)","0x80d8960","0x80dbc38","0x80dc3ec"
"0x08 - On a Road to a Town or Village (Lighter Thing?)","0x80d8960","0x80dbc38","0x80dc4ec"
"0x09 - Destroyed Village (Originally 0x02)","0x80dc5ec","0x80dfb64","0x80e0018"
"0x0A - Sea Port","0x80e0118","0x80e2b58","0x80e300c"
"0x0B - Ship","0x80e310c","0x80e6374","0x80e6828"
"0x0C - Ocean Coast with Rocks","0x80e6928","0x80e969c","0x80e9b50"
"0x0D - Hotel/House","0x80e9c50","0x80ecd28","0x80ed1dc"
"0x0E - Outside of Palace (One in Bern)","0x80ed2dc","0x80f0548","0x80f09fc"
"0x0F - Outside of Castle (Special)","0x80f0afc","0x80f2a60","0x80f2f14"
"0x10 - Inside of Castle (Bluish-Green Pillars)","0x80f3014","0x80f5f34","0x80f63e8"
"0x11 - Same as 0x10, Darker","0x80f3014","0x80f5f34","0x80f64e8"
"0x12 - Room in a Castle (Used in Laus and Caelin?)","0x80f65e8","0x80f97cc","0x80f9c80"
"0x13 - Same as 0x12, Darker","0x80f65e8","0x80f97cc","0x80f9d80"
"0x14 - Castle Room (Used in Bern)","0x80f9e80","0x80fd980","0x80fde34"
"0x15 - Castle Hall (Light-Colored Walls)","0x80fdf34","0x8100c60","0x8101114"
"0x16 - Same as 0x15, Darker, Purple Walls","0x80fdf34","0x8100c60","0x8101214"
"0x17 - Caelin Castle Garden (used in end of Lyn's Tale)","0x8101314","0x8105008","0x81054bc"
"0x18 - Castle Garden with Bushes","0x81055bc","0x8107850","0x8107d04"
"0x19 - Castle Hallway, Door in Front","0x8107e04","0x810ac3c","0x810b0f0"
"0x1A - Same as 0x19, Darker, Purple Walls","0x8107e04","0x810ac3c","0x810b1f0"
"0x1B - Prison/Cell","0x810b2f0","0x810dc34","0x810e0e8"
"0x1C - Outside, Forest on Left (Grass)","0x810e1e8","0x81103f0","0x81108a4"
"0x1D - Plains with Hill and Mountains in background","0x81109a4","0x8113080","0x8113534"
"0x1E - Same as 0x1C, Sunset","0x810e1e8","0x81103f0","0x8113634"
"0x1F - Same as 0x1C, Dark/Night","0x810e1e8","0x81103f0","0x8113734"
"0x20 - Same as 0x1C, Foggy/Cloudy","0x810e1e8","0x81103f0","0x8113834"
"0x21 - Same as 0x20, More Fog","0x810e1e8","0x81103f0","0x8113934"
"0x22 - Plains","0x8113a34","0x811576c","0x8115c20"
"0x23 - Outside, Forest and Mountains Background","0x8115d20","0x81192c4","0x8119778"
"0x24 - Same as 0x23, Part Darker","0x8115d20","0x81192c4","0x8119878"
"0x25 - Same as 0x23, Fog","0x8115d20","0x81192c4","0x8119978"
"0x26 - Same as 0x23, Sunset","0x8115d20","0x81192c4","0x8119a78"
"0x27 - Same as 0x24, Darker/Night","0x8115d20","0x81192c4","0x8119b78"
"0x28 - Same as 0x24, Lighter","0x8119c78","0x811cd40","0x811d1f4"
"0x29 - Forest/Grass with Mountains (Special)","0x8119c78","0x811cd40","0x811d2f4"
"0x2A - Forest with Tall Trees","0x811d3f4","0x812186c","0x8121d20"
"0x2B - Forest (Special)","0x8121e20","0x8126d40","0x81271f4"
"0x2C - Forest (Different)","0x81272f4","0x812b720","0x812bbd4"
"0x2D - Forest with Light out of Corner","0x812bcd4","0x8130140","0x81305f4"
"0x2E - Forest of 0x2C (Foggy)","0x81272f4","0x812b720","0x81306f4"
"0x2F - City (Bulgar)","0x81307f4","0x8133f90","0x8134444"
"0x30 - City (Bulgar, Golden)","0x81307f4","0x8133f90","0x8134544"
"0x31 - Outside of City Gate","0x8134644","0x81383a8","0x813885c"
"0x32 - Same as 0x31, Sunset","0x8134644","0x81383a8","0x813895c"
"0x33 - Same as 0x31, Darker","0x8134644","0x81383a8","0x8138a5c"
"0x34 - Same as 0x31 (???)","0x8134644","0x81383a8","0x8138b5c"
"0x35 - House/Hotel with Bed","0x8138c5c","0x813b560","0x813ba14"
"0x36 - Outside of Castle/Fortress (Brown)","0x813bb14","0x813f1e4","0x813f698"
"0x37 - Outside of Castle/Fortress (Gray)","0x813f798","0x8142e6c","0x8143320"
"0x38 - Same as 0x36, Night","0x813f798","0x8142e6c","0x8143420"
"0x39 - Outside of Castle/Fortress (Different) (Brown)","0x8143520","0x81463e8","0x814689c"
"0x3A - Outside of Castle/Fortress (Gray)","0x8143520","0x81463e8","0x814699c"
"0x3B - Same as 0x39, Different Palette","0x8143520","0x81463e8","0x8146a9c"
"0x3C - Castle/Dungeon (Inside)","0x8146b9c","0x8149c08","0x814a0bc"
"0x3D - Same as 0x3C, Night? (Purple)","0x8146b9c","0x8149c08","0x814a1bc"
"0x3E - Same as 0x3C, Sunset?","0x8146b9c","0x8149c08","0x814a2bc"
"0x3F - Outside, Abandoned Fortress Background","0x814a3bc","0x814dbb8","0x814e06c"
"0x40 - Same as 0x3F, Sunset","0x814a3bc","0x814dbb8","0x814e16c"
"0x41 - Same as 0x3F, Foggy","0x814a3bc","0x814dbb8","0x814e26c"
"0x42 - Inside Abandoned Fortress (Brown)","0x814e36c","0x8152168","0x815261c"
"0x43 - Inside Abandoned Fortress (Purple/Dark?)","0x814e36c","0x8152168","0x815271c"
"0x44 - Dragon's Gate Hall/Chamber (Brown)","0x815281c","0x8154ce0","0x8155194"
"0x45 - Dragon's Gate Hall/Chamber (Green)","0x815281c","0x8154ce0","0x8155294"
"0x46 - Dungeon Hallway (Brown)","0x8155394","0x8159d60","0x815a214"
"0x47 - Dungeon Hallway (Blue)","0x8155394","0x8159d60","0x815a314"
"0x48 - Dungeon Hallway (Green)","0x8155394","0x8159d60","0x815a414"
"0x49 - Shrine/Alter","0x815a514","0x815f480","0x815f934"
"0x4A - Athos Shrine/Alter","0x815fa34","0x8163dfc","0x81642b0"
"0x4B - Athos Shrine/Alter (Darker)","0x815fa34","0x8163dfc","0x81643b0"
"0x4C - Shrine Hallway","0x81644b0","0x81688d4","0x8168d88"
"0x4D - Shrine Hallway (Darker)","0x81644b0","0x81688d4","0x8168e88"
"0x4E - Shrine Hallway (Purple)","0x81644b0","0x81688d4","0x8168f88"
"0x4F - Shrine/Alter 2 (Brown)","0x8169088","0x816d658","0x816db0c"
"0x50 - Shrine/Alter 2 (Golden)","0x8169088","0x816d658","0x816dc0c"
"0x51 - Desert","0x816dd0c","0x8170498","0x817094c"
"0x52 - Desert (Sunset)","0x816dd0c","0x8170498","0x8170a4c"
"0x53 - Dragon's Gate (Green)","0x8170b4c","0x8174310","0x81747ec"
"0x54 - Dragon's Gate (Dark/Night)","0x8170b4c","0x8174310","0x81748ec"
"0x55 - Fire Pit/Underworld","0x81749ec","0x8179538","0x81799ec"
"0x56 - Shrine/Alter 3 (Durandal?)","0x8179aec","0x817be48","0x817c2fc"
"0x57 - Cave","0x817c3fc","0x818026c","0x8180720"
"0x58 - Shrine/Alter 4","0x8180820","0x818252c","0x81829e0"
"0x59 - Sky","0x8182ae0","0x8186500","0x81869b4"
"0x5A - Camp/Tent with Weapons","0x8186ab4","0x818ab1c","0x818afd0"
"0x5B - Black Background","0x818b0d0","0x818ba50","0x818bf04"
"0x5C - Dragon's Gate (Close-Up)","0x818c004","0x818f2d4","0x818f7b0"
"0x5D - Dragon's Gate (Close-Up) (Lighter)","0x8190104","0x81937d8","0x8193c8c"
"0x5E - To Be Continued","0x83fa298","0x83faf7c","0x83fb430"
