"0xb7b58c","Class Name","Class Description","Class Number","This Class Promotes To","Map Sprite# (standing)","Walking Speed","Default portrait","***UNKNOWN***","***UNKNOWN***","Base HP","Base STR/MGC","Base SKL","Base SPD","Base DEF","Base MDF","Base CON","Base MOV","Max HP","Max STR/MGC","Max SKL","Max SPD","Max DEF","Max MDF","Max CON","Class Relative Power","HP Growth","Str Growth","Skl Growth","Spd Growth","Def Growth","Res Growth","Luck Growth","HP Promotion Bonus","STR/MGC Promotion Bonus","SKL Promotion Bonus","SPD Promotion Bonus","DEF Promotion Bonus","RES Promotion Bonus","Class Ability 1","Class Ability 2","Class Ability 3","Class Ability 4","Base Sword Level","Base Spear Level","Base Axe Level","Base Bow Level","Base Staff Level","Base Anima Level","Base Light Level","Base Dark Level","Battle Animation Pointer","Movement Cost Pointer","Movement Cost(rain) Pointer","Movement Cost(snow) Pointer","Terrain defence bonus","Terrain avoid bonus","Terrain resistance bonus","***UNKNOWN*** Pointer"
"None","0xada8","0xb43b","0xd2","0x97","0xe6","123","0xb4","0xb4","0xc9","30","-83","-20","70","88","37","58","-29","38","93","90","-19","-116","95","-103","0xfa","-44","-14","-121","73","-5","-86","-64","83","-93","-8","92","-40","34","0x32","0x15","0x3c","0xc8","219","15","105","177","43","111","196","75","0xa27b5f08","0xde049e61","0xffed8a7f","0xf0575e60","0x71e1be48","0x6fc2889a","0x19726f62","0x430239ba"
"Eliwood Lord","0x4d62","0xe9c6","0x26","0x76","0xec","25","0x2a","0xb","0x4f","-12","-61","-56","-7","-112","-40","-102","1","32","-35","-95","-2","-56","-3","-10","0xd9","25","-65","123","-67","70","57","59","-55","38","-119","61","104","-108","0x42","0x48","0x16","0x6e","189","96","204","163","65","205","200","25","0xeeb6a0b","0xa9f532bd","0x81d7b473","0x725d54fb","0xe88a1a3e","0xe14dbe64","0x7bd888fb","0x9d5dcd4d"
"Lyn Lord","0x127","0x477e","0xf8","0x6d","0xe3","26","0xb2","0xb4","0x59","-109","-99","-94","-1","-33","28","50","84","42","65","-7","73","111","24","-110","0x28","60","-47","15","35","-25","-61","84","126","-40","42","-70","79","-96","0xfb","0xb0","0xb7","0x54","235","208","128","207","13","181","86","63","0xd02787ee","0xee0b1828","0x9ddffe13","0x24319d0d","0xaf0e876a","0x37ec415a","0x35713120","0xb8625149"
"Hector Lord","0xf69b","0x55b6","0x81","0xf1","0x9b","251","0x5","0xe7","0xc3","84","126","56","31","33","70","123","-19","63","110","37","9","100","-5","-65","0x2e","90","39","-5","67","88","101","-70","-1","-1","-98","-13","-54","-42","0x9b","0xdd","0x57","0x28","164","76","50","182","101","64","225","89","0x88cae5ed","0x57f6ecdd","0x4cb2d0fc","0x6143cbf7","0xd460fe30","0x54e39599","0xbfa6bf7c","0x7ef69532"
"Eliwood Lord Knight (only by class name)","0x8b48","0x5bac","0xdf","0xee","0x2b","72","0x19","0x72","0x23","-48","-23","-116","43","-21","75","-23","-37","-99","17","-65","84","-99","84","-86","0x5b","30","76","-71","65","39","-30","-23","-5","112","-65","-33","-80","10","0xc4","0x92","0xa6","0xdc","64","89","137","126","163","116","59","146","0x3c900f49","0x7e895945","0x923b74a3","0x78510649","0xce461fa2","0xfdcdf8c7","0x3c88e482","0x9f74509"
"Lyn Blade Lord (only by class name)","0xcb4d","0x3535","0x1a","0xac","0x90","254","0x6e","0xea","0xbf","57","-119","53","-125","16","35","119","-67","91","-95","91","-34","-44","98","-55","0x19","-37","-49","-117","-83","-39","55","-113","8","-120","93","121","75","9","0x14","0xc5","0xfb","0x6f","103","44","3","233","90","149","148","190","0x3c673d74","0x1a3c6c05","0xab2ff323","0xaff7bfad","0xc97b133b","0x7d1cceb7","0x8fb3ed95","0x519b6bb0"
"Hector Great Lord (only by class name)","0xbcf1","0x7e17","0xdb","0x17","0x7a","164","0xc8","0x86","0xce","-109","69","-111","-101","107","125","-71","-118","126","72","19","81","-8","77","-20","0xbd","12","69","-122","-95","59","17","-40","86","40","-2","101","-31","-12","0x2a","0xd1","0x59","0x35","66","233","198","216","42","234","202","219","0x1a778590","0x335b120","0x4d37a598","0x6e76527c","0xdee9ba90","0x1b117460","0xdcc2bed4","0x50b5f085"
"Eliwood Lord Knight","0x889e","0xb736","0x62","0xfd","0xf","137","0x96","0xb7","0xfa","-73","-101","-39","108","-110","2","-27","24","-28","-22","-113","118","84","-127","-104","0x29","-38","31","-22","-12","-16","6","70","-17","35","41","-109","-116","87","0xa6","0xda","0x65","0x2c","9","100","251","155","181","226","46","34","0xb26b166c","0x69f5843f","0xcf1674f2","0xf2bd9c8","0x6ed17f81","0x1b5addea","0x2de8dfa1","0x2af887a3"
"Lyn Blade Lord","0x1557","0x5a1e","0xf3","0xf5","0xe0","167","0x3e","0xe5","0x7f","-1","119","121","-93","-25","-36","117","-52","-29","-126","96","108","-106","70","-127","0x7e","-87","-111","-71","84","83","125","16","87","-90","-118","125","-79","-2","0xb7","0xe4","0x9f","0x59","127","60","186","87","5","118","108","127","0x9d6ba6a3","0x8d095208","0x554c4d36","0x6223ef05","0xccbf35cf","0xfb6424f3","0x2ee2b59b","0x6b166c22"
"Hector Great Lord","0x3fb2","0xf584","0x69","0xf2","0x74","22","0xcf","0xc8","0xd9","43","15","-127","127","-47","110","-22","-35","90","27","-95","-33","-24","45","-93","0x87","-8","42","87","21","30","90","-13","-11","-32","-89","62","-27","127","0xff","0x77","0x79","0xa3","231","220","126","149","184","89","11","111","0x76055fb1","0xeb3b5ac9","0x51bf77d6","0xad64bb4d","0x44f0a3bd","0xf9c8c3f","0x83729745","0xc6f2bb10"
"Mercenary","0xfd5","0x1b11","0x68","0x68","0x52","105","0xe1","0x74","0x97","-62","86","43","73","100","-5","-101","-75","-30","46","34","108","22","107","-78","0x3f","-124","-11","105","-14","116","22","-49","-56","-39","43","15","-127","127","0xd1","0x6e","0xea","0xdd","90","27","161","223","232","45","163","135","0x15572af8","0xf5f35a1e","0xe53ea7e0","0x7977ff7f","0x7edce7a3","0xb59b895","0x34f85b5f","0x7e9689d4"
"Mercenary (F)","0x8227","0x53ee","0x48","0x5b","0xb7","78","0x66","0xdd","0x8f","99","-3","113","101","-94","-26","-70","-1","-116","-64","-65","104","23","-1","-87","0x17","127","116","-58","50","52","-23","-46","106","103","124","-98","4","54","0x86","0x5e","0x13","0x64","36","180","145","209","230","112","83","85","0x8999d6b1","0x916e5075","0x32b5a6d8","0xc887a335","0x674f1378","0xc8df995c","0xb861cde7","0x98b8f971"
"Hero","0x1acc","0x3505","0x6d","0x53","0x3f","78","0x8f","0x7f","0x4a","61","122","-77","57","71","-114","-82","50","-29","-74","-73","-107","-18","-2","-120","0x62","91","-101","115","-72","102","-17","18","77","39","2","-29","-18","49","0xda","0x9c","0xa3","0xa9","213","236","189","143","71","201","169","55","0x1a446fbd","0x2495a8d5","0x135e8636","0x91b42464","0x5370e6d1","0x99d6b155","0x6e507589","0xb5a6d891"
"Hero (F)","0x3532","0x87a3","0xc8","0x78","0x13","79","0x67","0x5c","0x99","-33","-56","-25","-51","97","-72","113","-7","-72","-104","-52","26","5","53","109","0x53","63","78","-113","127","74","61","122","-77","57","71","-114","-82","50","0xe3","0xb6","0xb7","0x95","222","37","107","237","29","138","109","109","0xbd9ae1ce","0x89d344b","0x68c7bb8c","0x56a68e73","0x1e3ef7b3","0xf4dea725","0x546911be","0x369256a3"
"Myrmidon","0x5e86","0x6413","0x24","0xb4","0x91","209","0xe6","0x70","0x53","85","-79","-42","-103","-119","117","80","110","-111","-40","-90","-75","50","53","-93","0x87","-56","120","19","79","103","92","-103","-33","-56","-25","-51","97","-72","0x71","0xf9","0xb8","0x98","204","26","5","53","109","83","63","78","0x3d4a7f8f","0x4739b37a","0xe332ae8e","0xce95b7b6","0x14a78b74","0xabb7a9ff","0x689185e0","0x2abefed"
"Myrmidon (F)","0xeee3","0xda31","0x9c","0xa3","0xa9","213","0xec","0xbd","0x8f","71","-55","-87","55","-67","111","68","26","-43","-88","-107","36","79","45","127","0x98","-76","47","-67","-24","-121","125","-26","90","-65","45","77","68","-31","0x37","0xb1","0xe","0xbc","12","69","134","161","109","45","250","97","0x7a9ff15f","0x56d66cbf","0xb97e90ac","0xf18155f7","0xd4836edb","0xdf63e75","0x1b87747c","0x50ca987f"
"Swordmaster","0xb9a2","0xd354","0x53","0xcb","0x1f","134","0x18","0x8a","0x22","-33","-4","-87","-33","81","111","-28","41","11","105","119","-100","124","-77","123","0x73","106","-10","-101","58","-40","-2","-88","91","107","59","123","99","-46","0x7e","0x9c","0x8f","0x46","37","70","108","14","211","5","53","95","0x2d4f092f","0x2fb4987f","0x3b6bd99d","0x46cc15b6","0x39aeae9d","0x8a197863","0x1adb430c","0xdeee3cc4"
