"0xced888","##UNKNOWN##","Graphics Pointer","TSA Pointer","Palette Pointer"
"0x0","0x1","0x8ced6d0","0x84354f8","0x84353f8"
"0x1","0x1","0x8ced6f8","0x843abd8","0x843aad8"
"0x2","0x1","0x8ced720","0x8440444","0x8440344"
"0x3","0x1","0x8ced748","0x84457b0","0x84456b0"
"0x4","0x1","0x8ced770","0x844ac24","0x844ab24"
"0x5","0x1","0x8ced798","0x8450324","0x8450224"
"0x6","0x1","0x8ced7c0","0x845589c","0x845579c"
"0x7","0x1","0x8ced7e8","0x845b0b4","0x845afb4"
"0x8","0x1","0x8ced810","0x8460868","0x8460768"
"0x9","0x1","0x8ced838","0x8465fec","0x8465eec"
"0xa","0x1","0x8ced860","0x842fb50","0x8430004"
"0xb","0x0","0x84664a0","0x846b5a8","0x846b4a8"
"0xc","0x0","0x846ba5c","0x8470944","0x8470844"
"0xd","0x0","0x8470df8","0x8475afc","0x84759fc"
"0xe","0x0","0x8475fb0","0x847b14c","0x847b04c"
"0xf","0x0","0x847b600","0x8480698","0x8480598"
"0x10","0x0","0x8480b4c","0x8485964","0x8485864"
"0x11","0x0","0x8485e18","0x848b1e0","0x848b0e0"
"0x12","0x0","0x848b694","0x8490be0","0x8490ae0"
"0x13","0x0","0x8491094","0x84964a8","0x84963a8"
"0x14","0x0","0x849695c","0x849b9f4","0x849b8f4"
"0x15","0x0","0x849bea8","0x84a1258","0x84a1158"
"0x16","0x0","0x84a170c","0x84a6b58","0x84a6a58"
"0x17","0x0","0x84a700c","0x84ac260","0x84ac160"
"0x18","0x0","0x84ac714","0x84b1000","0x84b0f00"
"0x19","0x0","0x84b14b4","0x84b67ac","0x84b66ac"
"0x1a","0x0","0x84b6c60","0x84bb798","0x84bb698"
"0x1b","0x0","0x84bbc4c","0x84c0bdc","0x84c0adc"
"0x1c","0x0","0x84c1090","0x84c5cc8","0x84c5bc8"
"0x1d","0x0","0x84c617c","0x84cb2c8","0x84cb1c8"
"0x1e","0x0","0x84cb77c","0x84d0550","0x84d0450"
"0x1f","0x0","0x84d0a04","0x84d5d84","0x84d5c84"
"0x20","0x0","0x84d6238","0x84db8e4","0x84db7e4"
"0x21","0x0","0x84dbde8","0x84e0de8","0x84e0ce8"
"0x22","0x0","0x84e129c","0x84e466c","0x84e456c"
"0x23","0x0","0x84e4b20","0x84e6000","0x84e5f00"
"0x24","0x0","0x84e64b4","0x84ebb20","0x84eba20"
"0x25","0x0","0x84ec024","0x84f0f90","0x84f0e90"
"0x26","0x0","0x84f1444","0x84f66a0","0x84f65a0"
"0x27","0x0","0x84f6b54","0x84fbdc0","0x84fbcc0"
"0x28","0x0","0x84fc274","0x850145c","0x850135c"
"0x29","0x0","0x8501910","0x8506c08","0x8506b08"
"0x2a","0x0","0x85070bc","0x850be54","0x850bd54"
"0x2b","0x0","0x850c308","0x8511364","0x8511264"
"0x2c","0x0","0x8511818","0x851624c","0x851614c"
"0x2d","0x0","0x8516700","0x8519a10","0x8519910"
"0x2e","0x0","0x8519ec4","0x851efd8","0x851eed8"
"0x2f","0x0","0x851f48c","0x85243f8","0x85242f8"
"0x30","0x0","0x85248ac","0x85298e0","0x85297e0"
"0x31","0x0","0x8529d94","0x852ebd8","0x852ead8"
"0x32","0x0","0x852f08c","0x8533e80","0x8533d80"
"0x33","0x0","0x8534334","0x853962c","0x853952c"
"0x34","0x0","0x8539ae0","0x853eae0","0x853e9e0"
"0x35","0x0","0x853ef94","0x8544470","0x8544370"
"0x36","0x0","0x8544924","0x8549ab4","0x85499b4"
"0x37","0x0","0x8549f68","0x854f280","0x854f180"
"0x38","0x0","0x854f734","0x8554730","0x8554630"
"0x39","0x0","0x8554be4","0x8559c24","0x8559b24"
"0x3a","0x0","0x855a0d8","0x855adb0","0x855acb0"
"0x3b","0x0","0x855b264","0x856007c","0x855ff7c"
"0x3c","0x0","0x8560530","0x8565468","0x8565368"
"0x3d","0x0","0x856591c","0x856aa94","0x856a994"
"0x3e","0x0","0x856af48","0x856fde8","0x856fce8"
"0x3f","0x0","0x857029c","0x85744dc","0x85743dc"
"0x40","0x0","0x8544924","0x842566c","0x85499b4"
