"0xd00000","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xff","0xff","0xff","0xff","0","0","0x0","0x10","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x1","0xff","0xff","0xff","0xbf","0","0","0x0","0x0","0xdf","0xff","0xf7","0xff","0x0","0x0","0x0","0x0"
"0x2","0xff","0xff","0xfd","0xff","0","0","0x40","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x3","0xff","0xff","0xf9","0xff","0","0","0x0","0x0","0xff","0xff","0xbf","0xff","0x0","0x0","0x0","0x0"
"0x4","0xfb","0xdf","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x5","0xbf","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0x9b","0x0","0x0","0x0","0x0"
"0x6","0xff","0xff","0xff","0xff","0","0","0x80","0x0","0xf7","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x7","0xde","0x7f","0xfd","0xff","0","0","0x0","0x0","0xfe","0xff","0x7b","0xff","0x0","0x0","0x0","0x0"
"0x8","0xff","0xff","0xff","0xff","0","0","0x40","0x2","0xff","0xfb","0xff","0xff","0x0","0x0","0x0","0x0"
"0x9","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0x9e","0xfb","0x0","0x0","0x0","0x0"
"0xa","0xff","0xbf","0xff","0xff","0","0","0x0","0x0","0xff","0xdf","0x7b","0xff","0x0","0x0","0x0","0x0"
"0xb","0xff","0xff","0x7f","0xff","0","0","0x0","0x0","0xff","0xff","0xcf","0xff","0x0","0x0","0x0","0x0"
"0xc","0xff","0xff","0xff","0xfd","0","0","0x0","0x4","0xff","0xff","0xfd","0xff","0x0","0x0","0x0","0x0"
"0xd","0xff","0xff","0xff","0xef","0","0","0x0","0x0","0xff","0xff","0x77","0xfd","0x0","0x0","0x0","0x0"
"0xe","0xbf","0xf9","0xff","0xff","0","0","0x84","0x0","0xff","0xfb","0xff","0xff","0x0","0x0","0x0","0x0"
"0xf","0xff","0xff","0xf7","0xff","0","0","0x0","0x0","0xff","0xfe","0xff","0xbf","0x0","0x0","0x0","0x0"
"0x10","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xf7","0xfe","0x0","0x0","0x0","0x0"
"0x11","0xff","0xff","0xef","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xbf","0x0","0x0","0x0","0x0"
"0x12","0xff","0xff","0xff","0xff","0","0","0x31","0x0","0xf7","0xff","0x6d","0xdf","0x0","0x0","0x0","0x0"
"0x13","0xff","0xf7","0xf6","0xff","0","0","0x0","0x0","0xff","0xff","0xf7","0xcf","0x0","0x0","0x0","0x0"
"0x14","0xff","0xff","0xff","0xff","0","0","0x40","0x0","0xff","0xf7","0xff","0xff","0x0","0x0","0x0","0x0"
"0x15","0xff","0xff","0xf3","0xb7","0","0","0x0","0x0","0xff","0xff","0xff","0xfd","0x0","0x0","0x0","0x0"
"0x16","0xff","0xff","0xff","0xff","0","0","0x20","0x0","0xff","0xff","0xbf","0xaf","0x0","0x0","0x0","0x0"
"0x17","0xff","0xff","0xfb","0xe6","0","0","0x0","0x0","0xff","0xff","0xff","0xfb","0x0","0x0","0x0","0x0"
"0x18","0xff","0xff","0xff","0xfe","0","0","0x0","0x0","0xdf","0xbf","0xbf","0xff","0x0","0x0","0x0","0x0"
"0x19","0xff","0xff","0x7f","0xff","0","0","0x0","0x0","0xdf","0xff","0xbb","0xfc","0x0","0x0","0x0","0x0"
"0x1a","0xff","0xff","0xff","0xff","64","0","0x0","0x2c","0xff","0xff","0xb7","0xfd","0x0","0x0","0x0","0x0"
"0x1b","0xff","0xff","0xbf","0xfe","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x1c","0xff","0xff","0xfd","0xff","0","0","0x0","0x0","0xff","0xff","0xa7","0xef","0x0","0x0","0x0","0x0"
"0x1d","0xff","0xdd","0xde","0xff","0","0","0x0","0x0","0xfb","0xff","0x7f","0xbe","0x0","0x0","0x0","0x0"
"0x1e","0xff","0xff","0xfd","0xf7","0","0","0x0","0x0","0xef","0xff","0xff","0xfe","0x0","0x0","0x0","0x0"
"0x1f","0xff","0xff","0xfe","0xde","0","0","0x0","0x0","0xff","0xff","0xee","0x66","0x0","0x0","0x0","0x0"
"0x20","0xff","0xff","0xef","0xff","0","0","0x0","0x0","0xfd","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x21","0xff","0xff","0xef","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x22","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xbf","0xff","0xdf","0xff","0x0","0x0","0x0","0x0"
"0x23","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xf7","0xff","0x0","0x0","0x0","0x0"
"0x24","0xff","0xff","0x7f","0xff","0","0","0x0","0x0","0xff","0xff","0x7f","0xff","0x0","0x0","0x0","0x0"
"0x25","0xbf","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xef","0x0","0x0","0x0","0x0"
"0x26","0xff","0xfe","0xff","0xef","0","0","0x0","0x0","0xf7","0xff","0xf7","0xff","0x0","0x0","0x0","0x0"
"0x27","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x28","0xdf","0xef","0xef","0xff","0","0","0x0","0x0","0xff","0xff","0x7f","0xff","0x0","0x0","0x0","0x0"
"0x29","0xff","0xff","0xbf","0xff","0","0","0x0","0x0","0xff","0xff","0xbb","0xfb","0x0","0x0","0x0","0x0"
"0x2a","0xff","0xdf","0x7f","0xff","0","0","0x0","0x0","0xff","0xff","0xfb","0xff","0x0","0x0","0x0","0x0"
"0x2b","0xff","0xff","0xff","0xbe","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x2c","0xfd","0xff","0xff","0xd7","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x2d","0xff","0xff","0xff","0xfe","0","0","0x0","0x0","0xff","0xff","0xf3","0xff","0x0","0x0","0x0","0x0"
"0x2e","0xff","0xdf","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xf7","0xff","0x0","0x0","0x0","0x0"
"0x2f","0xff","0xff","0xfe","0xfd","0","0","0x0","0x0","0xff","0xff","0xff","0xfd","0x0","0x0","0x0","0x0"
"0x30","0xff","0xff","0x7f","0xfb","128","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x31","0xfd","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xf7","0xff","0x0","0x80","0x0","0x0"
"0x32","0xbf","0xfb","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xdf","0xff","0x0","0x0","0x0","0x0"
"0x33","0xff","0xff","0xfb","0xff","0","0","0x0","0x0","0xff","0xff","0xfb","0xfd","0x0","0x0","0x0","0x0"
"0x34","0xff","0xff","0xff","0xfe","0","0","0x0","0x0","0xff","0xff","0xff","0xef","0x0","0x0","0x0","0x0"
"0x35","0xff","0xdf","0xbf","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x36","0xff","0xff","0x7e","0xff","0","0","0x0","0x0","0xfd","0xff","0xff","0xfe","0x0","0x0","0x0","0x0"
"0x37","0xff","0xfd","0xff","0xef","0","0","0x0","0x0","0x7f","0xf6","0xfd","0xff","0x0","0x0","0x0","0x0"
"0x38","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x39","0xff","0xff","0xfd","0xff","2","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x3a","0xff","0x3f","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xbe","0xff","0x0","0x0","0x0","0x0"
"0x3b","0xfb","0xff","0xff","0xef","0","0","0x0","0x0","0xff","0xdf","0x77","0xdf","0x0","0x0","0x0","0x0"
"0x3c","0xfc","0xff","0xf7","0xff","0","0","0x0","0x0","0xff","0x7f","0xff","0xff","0x0","0x0","0x0","0x0"
"0x3d","0xff","0x7f","0x6b","0xff","0","0","0x0","0x0","0xff","0xf7","0xfd","0xef","0x0","0x0","0x0","0x0"
"0x3e","0xef","0xff","0xff","0xfd","0","0","0x0","0x0","0xff","0xff","0xa7","0xbf","0x0","0x0","0x0","0x0"
"0x3f","0xff","0xff","0xbb","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xbf","0x0","0x0","0x0","0x0"
"0x40","0xff","0xff","0xfd","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xfe","0x0","0x0","0x0","0x0"
"0x41","0xff","0xff","0xff","0xfd","0","0","0x0","0x0","0xff","0xff","0x7f","0xff","0x0","0x0","0x0","0x0"
"0x42","0xff","0xff","0xdf","0x7f","0","0","0x0","0x0","0xff","0xff","0xfd","0xff","0x0","0x0","0x0","0x0"
"0x43","0xff","0xfe","0xfe","0xff","0","0","0x0","0x0","0xff","0xff","0xbb","0xf5","0x40","0x0","0x0","0x0"
"0x44","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0x7d","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x45","0xff","0xff","0x77","0x7f","0","0","0x0","0x0","0xff","0xff","0xf6","0xff","0x0","0x0","0x0","0x0"
"0x46","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x47","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xfe","0xd7","0xff","0x0","0x0","0x0","0x0"
