"0xcc5bd0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x10","2","8","0x2","0x8","0x1","0x6b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x89","0x39","0x0","0x24","13","1","0xd","0x1","0x1f","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x8a","0x39","0x89","0xc","7","4","0x4","0x6","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x5","0x8b","0x39","0x89","0x15","13","1","0xc","0x1","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x6","0x8a","0x39","0x89","0xc","11","6","0x9","0x9","0x1f","0x0","0x0","0x0","0x0","0x19","0x1","0x0"
"0x7","0x8b","0x39","0x89","0x15","11","6","0xd","0x5","0x1f","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x18","0x28","0x3","0x8","0","5","0x0","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x17","0x28","0x3","0x8","0","7","0x0","0x7","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
