"0xcc820c","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x8","3","14","0x3","0xe","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1a","0x2a","0x1","0x8","3","12","0x3","0xc","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0xe","0x19","0x1","0x8","2","13","0x2","0xd","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x19","0x28","0x1","0x10","4","13","0x4","0xd","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x8","0x12","0x1","0x18","5","14","0x5","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x9","0x12","0x1","0x10","4","15","0x4","0xf","0x1f","0x28","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x3f","0x12","0x0","0x4c","16","0","0x10","0x0","0x20","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x9","0x42","0x39","0x3f","0x15","9","0","0x9","0x0","0x28","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xa","0x42","0x32","0x3f","0x2d","15","9","0xf","0x9","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xb","0x42","0xa","0x3f","0xd","6","9","0x6","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xc","0x42","0x39","0x3f","0x1d","12","13","0xc","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xd","0x42","0x39","0x3f","0xd","16","10","0x10","0xa","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xe","0x42","0x32","0x3f","0x1d","15","3","0xf","0x3","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xf","0x42","0x32","0x3f","0x1d","14","2","0xe","0x2","0x14","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x10","0x42","0x18","0x3f","0x15","10","9","0xa","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x11","0x42","0x39","0x3f","0xd","5","5","0x5","0x5","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x12","0x42","0x18","0x3f","0x15","7","6","0x7","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x13","0x42","0x32","0x3f","0x1d","12","6","0xc","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x42","0x39","0x3f","0x15","16","4","0x10","0x5","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x16","0x42","0x39","0x3f","0x15","16","4","0xe","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x17","0x42","0x39","0x3f","0x15","16","4","0xf","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x18","0x42","0x39","0x3f","0x15","16","4","0x6","0x8","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x19","0x42","0x39","0x3f","0x15","16","4","0x6","0x1","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x42","0x32","0x3f","0x1d","14","2","0x8","0x2","0x14","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x1c","0x42","0x32","0x3f","0x1d","14","2","0xd","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x1d","0x42","0x32","0x3f","0x1d","14","2","0xb","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x1e","0x42","0x39","0x3f","0xd","5","5","0xe","0xc","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
