"0xcc86d4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x21","9","4","0x9","0x4","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1a","0x2a","0x1","0x11","14","3","0xe","0x3","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x19","0x28","0x1","0x21","17","5","0x11","0x5","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x3","0xe","0x19","0x1","0x21","16","4","0x10","0x4","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x8","0x12","0x1","0x21","11","3","0xb","0x3","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x9","0x12","0x1","0x29","11","4","0xb","0x4","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x3","0x1","0x19","13","5","0xd","0x5","0x1f","0x26","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0xb","0x14","0x1","0x49","13","4","0xd","0x4","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x8","0x23","0x3c","0x1","0x10","16","3","0xc","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x11","0x1d","0x1","0x8","17","3","0xf","0x3","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x3","0x0","0x8","13","5","0xd","0x5","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x1","0x2","0x8","15","4","0xf","0x4","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x1a","0x2a","0x2","0x8","14","3","0xe","0x3","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x19","0x28","0x2","0x10","17","5","0x11","0x5","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0xe","0x19","0x2","0x8","16","4","0x10","0x4","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x8","0x12","0x2","0x18","11","3","0xb","0x3","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x9","0x12","0x2","0x10","11","4","0xb","0x4","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x12","0xb","0x14","0x2","0x48","13","4","0xd","0x4","0x14","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x23","0x3c","0x2","0x10","12","2","0xc","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x11","0x1d","0x2","0x8","15","3","0xf","0x3","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x40","0x14","0x0","0x6c","6","6","0x6","0x6","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x18","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x42","0x18","0x40","0x1d","2","10","0x2","0xd","0x2c","0x6b","0x0","0x0","0x0","0x6","0x29","0x0"
"0x1a","0x42","0x38","0x40","0x15","2","10","0x1","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x42","0x38","0x40","0x15","2","10","0x3","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x42","0xa","0x40","0x15","2","10","0x3","0x6","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1d","0x42","0x38","0x40","0x15","2","10","0x5","0xa","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1e","0x42","0x18","0x40","0x25","13","13","0x10","0xe","0x2d","0x0","0x0","0x0","0x0","0x0","0x29","0x0"
"0x1f","0x42","0x39","0x40","0xd","13","13","0x11","0xa","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x20","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x6","0xe","0x0","0x1c","8","15","0x7","0xe","0xd","0x6b","0x0","0x0","0x0","0x3","0x0","0x0"
