"0xcc8c64","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x29","6","10","0x6","0xa","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x21","8","10","0x8","0xa","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x2","0x23","0x3c","0x0","0x19","9","10","0x9","0xa","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x1a","0x2a","0x0","0x19","6","11","0x6","0xb","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x8","0x12","0x0","0x29","7","11","0x7","0xb","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x19","0x28","0x0","0x29","7","13","0x7","0xd","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x6","0xb","0x14","0x0","0x49","8","13","0x8","0xd","0x14","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x6","0xe","0x0","0x21","6","14","0x6","0xe","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x9","0x12","0x0","0x29","7","14","0x7","0xe","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x9","0xe","0x19","0x0","0x31","9","14","0x9","0xe","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x11","0x1d","0x0","0x19","10","14","0xa","0xe","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x41","0xa","0x0","0x54","1","3","0x1","0x3","0x3","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0xd","0x3e","0x39","0x41","0x1d","2","1","0x2","0x1","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0xe","0x3e","0x39","0x41","0x15","16","11","0x10","0xb","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0xf","0x3e","0x39","0x41","0x1d","2","9","0x2","0x9","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x10","0x3e","0xe","0x41","0xd","0","10","0x0","0xa","0x1","0x6b","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x11","0x3e","0xa","0x41","0x1d","7","6","0x7","0x6","0x1","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x12","0x3e","0x18","0x41","0x15","6","8","0x6","0x8","0x2c","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x13","0x3e","0x39","0x41","0x15","15","12","0xf","0xc","0x1f","0x6b","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x14","0x3e","0x39","0x41","0x15","16","14","0x10","0xe","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x15","0x3e","0x39","0x41","0x1d","2","2","0x2","0x2","0x20","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
