"0xcca198","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x31","3","3","0x3","0x3","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x1","0x29","0","5","0x0","0x5","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x2","0xb","0x14","0x1","0x49","1","4","0x1","0x4","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0xe","0x19","0x1","0x39","1","1","0x1","0x1","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x13","0x20","0x1","0x19","2","2","0x2","0x2","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x19","0x28","0x1","0x39","1","3","0x1","0x3","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x1b","0x2c","0x1","0x21","4","3","0x4","0x3","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x7","0x1a","0x2a","0x1","0x19","2","5","0x2","0x5","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x23","0x3c","0x1","0x21","2","4","0x2","0x4","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x11","0x1d","0x1","0x19","3","4","0x3","0x4","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x6","0xe","0x1","0x21","4","4","0x4","0x4","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x1","0x0","0x31","3","3","0x3","0x3","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xd","0x2","0x6","0x1","0x29","0","5","0x0","0x5","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0xe","0xb","0x14","0x1","0x49","1","4","0x1","0x4","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0xe","0x19","0x1","0x39","1","1","0x1","0x1","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x13","0x20","0x1","0x19","2","2","0x2","0x2","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x19","0x28","0x1","0x39","1","3","0x1","0x3","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x12","0x1b","0x2c","0x1","0x21","4","3","0x4","0x3","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x13","0x23","0x3c","0x1","0x21","2","5","0x2","0x5","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
