"0xccabe0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x39","11","25","0xb","0x19","0x9","0x1","0x0","0x0","0x0","0x0","0x8","0x0"
"0x1","0x2","0x3","0x0","0x29","8","26","0x8","0x1a","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x2","0x0","0x18","10","26","0xa","0x1a","0xa","0x6b","0x74","0x0","0x0","0x0","0x0","0x0"
"0x3","0x13","0x20","0x0","0x31","11","26","0xb","0x1a","0x37","0x37","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x19","0x28","0x0","0x49","12","26","0xc","0x1a","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x5","0xe","0x19","0x0","0x49","14","26","0xe","0x1a","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x1b","0x2c","0x0","0x19","7","27","0x7","0x1b","0x4a","0x4b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x23","0x3c","0x0","0x19","9","27","0x9","0x1b","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0xb","0x14","0x0","0x49","11","27","0xb","0x1b","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x30","0x28","0x0","0x29","13","27","0xd","0x1b","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2f","0x28","0x0","0x29","15","27","0xf","0x1b","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x1","0x0","0x39","11","25","0xb","0x19","0x9","0x1","0x0","0x0","0x0","0x0","0x8","0x0"
"0xd","0x2","0x4","0x0","0x29","8","26","0x8","0x1a","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0xe","0x13","0x20","0x0","0x31","10","26","0xa","0x1a","0x37","0x37","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x19","0x28","0x0","0x49","11","26","0xb","0x1a","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x10","0xe","0x19","0x0","0x49","12","26","0xc","0x1a","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x1b","0x2c","0x0","0x19","14","26","0xe","0x1a","0x4a","0x4b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x23","0x3c","0x0","0x19","7","27","0x7","0x1b","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0xb","0x14","0x0","0x49","9","27","0x9","0x1b","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
