"0xccb970","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x39","21","9","0x15","0x9","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x9","20","7","0x14","0x7","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x2","0x0","0x8","19","8","0x13","0x8","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x13","0x20","0x0","0x31","19","10","0x13","0xa","0x37","0x37","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xe","0x19","0x0","0x41","22","10","0x16","0xa","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x31","0x32","0x0","0x29","22","8","0x16","0x8","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0xb","0x14","0x0","0x49","20","9","0x14","0x9","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x23","0x3c","0x0","0x19","20","10","0x14","0xa","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x30","0x28","0x0","0x39","21","10","0x15","0xa","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x1","0x1","0x0","0x39","21","9","0x15","0x9","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0xe","0x19","0x0","0x41","20","7","0x14","0x7","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x31","0x32","0x0","0x29","19","8","0x13","0x8","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x2","0x3","0x0","0x9","19","10","0x13","0xa","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
