"0xccc1cc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x41","9","3","0x9","0x3","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0xe","0x19","0x0","0x49","8","2","0x8","0x2","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x23","0x3c","0x0","0x29","11","2","0xb","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2d","0x5","0x0","0x31","7","3","0x7","0x3","0x1","0xa","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x3","0x0","0x41","8","3","0x8","0x3","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x5","0x30","0x28","0x0","0x41","10","3","0xa","0x3","0x1","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0"
"0x6","0x31","0x32","0x0","0x31","12","3","0xc","0x3","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x7","0x1b","0x2c","0x0","0x29","11","4","0xb","0x4","0x4a","0x4b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2f","0x28","0x0","0x29","8","5","0x8","0x5","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x6","0xe","0x0","0x29","8","6","0x8","0x6","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2e","0x18","0x0","0x29","10","6","0xa","0x6","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x1","0x0","0x41","9","3","0x9","0x3","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0xe","0x19","0x0","0x49","10","3","0xa","0x3","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x23","0x3c","0x0","0x29","12","3","0xc","0x3","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x10","0x1c","0x0","0x31","11","2","0xb","0x2","0x3e","0x3e","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x2","0x3","0x0","0x41","9","2","0x9","0x2","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x11","0x30","0x28","0x0","0x41","8","2","0x8","0x2","0x1","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0"
"0x12","0x31","0x32","0x0","0x31","7","3","0x7","0x3","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x13","0x1b","0x2c","0x0","0x29","10","2","0xa","0x2","0x4a","0x4b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x4a","0x24","0x0","0x94","1","17","0x1","0x11","0x45","0x5d","0x0","0x0","0x3","0x3","0x9","0x0"
"0x16","0x6e","0x24","0x4a","0x35","0","17","0x0","0x11","0x44","0x67","0x0","0x0","0x0","0x0","0x9","0x0"
"0x17","0x6e","0xa","0x4a","0x2d","18","9","0x12","0x9","0x13","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x18","0x6e","0xa","0x4a","0x2d","17","13","0x11","0xd","0x12","0x6d","0x0","0x0","0x0","0x0","0x9","0x0"
"0x19","0x6e","0x18","0x4a","0x25","18","11","0x12","0xb","0x2d","0x75","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1a","0xf3","0x24","0x4a","0x35","1","13","0x1","0xd","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0xf3","0x24","0x4a","0x25","7","10","0x7","0xa","0x44","0x6d","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1c","0xf3","0x24","0x4a","0x3d","0","10","0x0","0xa","0x44","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1d","0xf3","0xa","0x4a","0x35","17","8","0x11","0x8","0x1","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1e","0xf3","0x24","0x4a","0x3d","2","12","0x2","0xc","0x44","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1f","0xf3","0xa","0x4a","0x45","18","4","0x12","0x4","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x20","0xf3","0xa","0x4a","0x45","12","10","0xc","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0xf3","0xa","0x4a","0x35","17","10","0x11","0xa","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0xf3","0x24","0x4a","0x3d","9","12","0x9","0xc","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0xf3","0xa","0x4a","0x35","10","12","0xa","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x24","0xf3","0x24","0x4a","0x3d","2","18","0x2","0x12","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0xf3","0xa","0x4a","0x35","15","6","0xf","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0xf3","0x24","0x4a","0x3d","5","11","0x5","0xb","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0x4a","0x24","0x0","0x94","1","17","0x1","0x11","0x45","0x5d","0x0","0x0","0x3","0x3","0x9","0x0"
"0x29","0x6e","0x24","0x4a","0x35","0","17","0x0","0x11","0x44","0x67","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2a","0x6e","0xa","0x4a","0x2d","18","9","0x12","0x9","0x13","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0x6e","0xa","0x4a","0x2d","17","13","0x11","0xd","0x12","0x6d","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2c","0x6e","0x18","0x4a","0x25","18","11","0x12","0xb","0x2d","0x75","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0xf3","0x24","0x4a","0x35","1","13","0x1","0xd","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2e","0xf3","0x24","0x4a","0x25","8","9","0x8","0x9","0x44","0x6d","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0xf3","0x32","0x4a","0x3d","5","18","0x5","0x12","0x14","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0xf3","0x32","0x4a","0x45","17","20","0x11","0x14","0x14","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x31","0xf3","0x32","0x4a","0x35","14","16","0xe","0x10","0x16","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x32","0xf3","0xa","0x4a","0x45","17","6","0x11","0x6","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x4a","0x24","0x0","0x94","1","17","0x1","0x11","0x45","0x67","0x0","0x0","0x3","0x3","0x9","0x0"
