"0xccceb4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x49","3","6","0x3","0x6","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x41","7","3","0x7","0x3","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2e","0x18","0x0","0x18","7","4","0x7","0x4","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2d","0x2","0x0","0x41","1","5","0x1","0x5","0xa","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x4","0xb","0x14","0x0","0x49","3","5","0x3","0x5","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0xe","0x19","0x0","0x51","6","5","0x6","0x5","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x13","0x20","0x0","0x49","4","6","0x4","0x6","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x16","0x24","0x0","0x41","6","6","0x6","0x6","0x37","0x38","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x8","0x30","0x28","0x0","0x49","3","7","0x3","0x7","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x19","0x28","0x0","0x51","5","7","0x5","0x7","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x1b","0x2c","0x0","0x29","6","7","0x6","0x7","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb","0x31","0x32","0x0","0x39","2","8","0x2","0x8","0x15","0x1c","0x14","0x6b","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x1","0x1","0x0","0x49","3","6","0x3","0x6","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x2","0x3","0x0","0x41","6","5","0x6","0x5","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xf","0x2d","0x2","0x0","0x41","6","7","0x6","0x7","0xa","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x10","0x30","0x28","0x0","0x49","7","3","0x7","0x3","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x11","0x16","0x24","0x0","0x41","1","5","0x1","0x5","0x37","0x38","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x12","0xe","0x19","0x0","0x51","3","5","0x3","0x5","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x1b","0x2c","0x0","0x29","4","6","0x4","0x6","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x14","0x13","0x20","0x0","0x49","7","6","0x7","0x6","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0xb","0x14","0x0","0x49","5","7","0x5","0x7","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x19","0x28","0x0","0x51","2","8","0x2","0x8","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x17","0x31","0x32","0x0","0x39","4","3","0x4","0x3","0x15","0x1c","0x14","0x6b","0x0","0x0","0x0","0x0"
"0x18","0x23","0x3c","0x0","0x29","5","4","0x5","0x4","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
