"0xccda30","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x49","17","6","0x11","0x6","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x41","16","4","0x10","0x4","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x2","0xe","0x19","0x0","0x61","18","4","0x12","0x4","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x16","0x26","0x0","0x41","16","5","0x10","0x5","0x44","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x30","0x28","0x0","0x51","17","5","0x11","0x5","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x1b","0x2c","0x0","0x31","18","5","0x12","0x5","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x6","0x31","0x32","0x0","0x39","15","6","0xf","0x6","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x7","0x23","0x3c","0x0","0x31","18","6","0x12","0x6","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x6","0xe","0x0","0x21","19","6","0x13","0x6","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x8","0x12","0x0","0x29","16","7","0x10","0x7","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x9","0x12","0x0","0x29","18","7","0x12","0x7","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2f","0x28","0x0","0x29","19","8","0x13","0x8","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x1","0x1","0x0","0x49","17","6","0x11","0x6","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x2","0x3","0x0","0x41","15","6","0xf","0x6","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xf","0xe","0x19","0x0","0x61","16","7","0x10","0x7","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x16","0x26","0x0","0x41","18","5","0x12","0x5","0x44","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x30","0x28","0x0","0x51","16","5","0x10","0x5","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x12","0x1b","0x2c","0x0","0x31","18","7","0x12","0x7","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x13","0x31","0x32","0x0","0x39","19","6","0x13","0x6","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
