"0xcc5ce8","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x10","2","0","0x2","0x0","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x18","0x28","0x3","0x8","1","0","0x1","0x0","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x2","0x17","0x28","0x3","0x8","0","0","0x0","0x0","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xcd","0x51","0x0","0xa","1","0","0x1","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x8d","0xa","0x0","0x1c","11","9","0xb","0x2","0x1","0x6b","0x0","0x0","0x3","0x3","0x2","0x20"
"0x8","0x8a","0x39","0x8d","0xd","7","0","0x7","0x0","0x1f","0x0","0x0","0x0","0x8","0x0","0x1","0x0"
"0x9","0x8b","0x39","0x8d","0x15","11","9","0xb","0x3","0x1f","0x0","0x0","0x0","0x8","0x3","0x1","0x0"
"0xa","0x8a","0x39","0x8d","0xd","10","9","0x7","0x9","0x1f","0x0","0x0","0x0","0x8","0x0","0x1","0x0"
"0xb","0x8a","0x39","0x8d","0xd","11","9","0xb","0x9","0x1f","0x0","0x0","0x0","0x8","0x0","0x1","0x0"
"0xc","0x8b","0x39","0x8d","0x15","12","9","0xd","0x8","0x1f","0x0","0x0","0x0","0x8","0x3","0x1","0x0"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0xda","0x1e","0x0","0xa","11","1","0xb","0x1","0x0","0x0","0x0","0x0","0x6","0x3","0x1","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0xdb","0x48","0x0","0xa","7","5","0x7","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
