"0xccecec","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x49","6","19","0x6","0x13","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x1","0x41","6","17","0x6","0x11","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x2","0x1","0x41","8","17","0x8","0x11","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
"0x3","0xb","0x14","0x1","0x49","5","18","0x5","0x12","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xe","0x19","0x1","0x61","7","18","0x7","0x12","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x13","0x20","0x1","0x51","9","18","0x9","0x12","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x16","0x26","0x1","0x41","7","19","0x7","0x13","0x44","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x30","0x28","0x1","0x51","8","19","0x8","0x13","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x19","0x28","0x1","0x59","10","19","0xa","0x13","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x1b","0x2c","0x1","0x31","4","20","0x4","0x14","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xa","0x31","0x32","0x1","0x39","7","20","0x7","0x14","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb","0x23","0x3c","0x1","0x31","9","20","0x9","0x14","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x6","0xe","0x1","0x21","7","21","0x7","0x15","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x1","0x1","0x0","0x49","6","19","0x6","0x13","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x2","0x3","0x1","0x41","7","18","0x7","0x12","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x10","0x2d","0x2","0x1","0x41","5","18","0x5","0x12","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
"0x11","0xb","0x14","0x1","0x49","4","20","0x4","0x14","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0xe","0x19","0x1","0x61","8","19","0x8","0x13","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x13","0x20","0x1","0x51","7","19","0x7","0x13","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x16","0x26","0x1","0x41","10","19","0xa","0x13","0x44","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x30","0x28","0x1","0x51","11","20","0xb","0x14","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x16","0x19","0x28","0x1","0x59","7","21","0x7","0x15","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x17","0x1b","0x2c","0x1","0x31","9","20","0x9","0x14","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x18","0x31","0x32","0x1","0x39","10","20","0xa","0x14","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x19","0x23","0x3c","0x1","0x31","9","18","0x9","0x12","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x4d","0x16","0x0","0x2c","12","2","0xc","0x2","0x17","0x28","0x0","0x0","0x3","0x3","0x9","0x20"
"0x1c","0x4e","0x2a","0x4d","0x24","10","7","0xa","0x7","0x25","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1d","0x6e","0x18","0x4d","0x4d","11","12","0xb","0xc","0x33","0x69","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x1e","0x6e","0x14","0x4d","0x3d","1","2","0x1","0x2","0x95","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1f","0x6e","0x28","0x4d","0x3d","17","14","0x11","0xe","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x20","0x6e","0x14","0x4d","0x3d","1","9","0x1","0x9","0x14","0x78","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0x6e","0x1a","0x4d","0x15","2","18","0x2","0x12","0x2e","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x6e","0x28","0x4d","0x3d","16","8","0x10","0x8","0xe","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x6d","0x14","0x4d","0x35","20","2","0x14","0x2","0x18","0x6e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x24","0x6d","0x14","0x4d","0x45","0","13","0x0","0xd","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0x6d","0x2e","0x4d","0x3d","11","8","0xb","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0x6d","0x2e","0x4d","0x3d","11","7","0xb","0x7","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x27","0x6d","0x28","0x4d","0x3d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x28","0x6d","0x28","0x4d","0x3d","9","8","0x9","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x29","0x6d","0x14","0x4d","0x45","6","15","0x6","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0x6d","0x38","0x4d","0x45","2","1","0x2","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2b","0x6d","0xe","0x4d","0x4d","0","3","0x0","0x3","0xe","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2c","0x6d","0x24","0x4d","0x45","13","3","0xd","0x3","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x6d","0x2e","0x4d","0x3d","15","16","0xf","0x10","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0x6d","0x2c","0x4d","0x45","18","16","0x12","0x10","0x4b","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0x6d","0x14","0x4d","0x3d","21","1","0x15","0x1","0x1e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x30","0x6d","0x20","0x4d","0x3d","4","5","0x4","0x5","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x31","0x6d","0x24","0x4d","0x3d","11","3","0xb","0x3","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x32","0x6d","0x28","0x4d","0x3d","17","15","0x11","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x33","0x6d","0x28","0x4d","0x3d","16","15","0x10","0xf","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x34","0x6d","0x2e","0x4d","0x3d","17","16","0x11","0x10","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x4d","0x16","0x0","0x2c","12","2","0xc","0x2","0x1d","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x37","0x4e","0x2a","0x4d","0x24","10","7","0xa","0x7","0x25","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x38","0x6e","0x18","0x4d","0x4d","11","12","0xb","0xc","0x33","0x69","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x39","0x6e","0x14","0x4d","0x3d","1","2","0x1","0x2","0x95","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3a","0x6e","0x28","0x4d","0x3d","17","14","0x11","0xe","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3b","0x6e","0x14","0x4d","0x3d","1","9","0x1","0x9","0x14","0x78","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3c","0x6e","0x1a","0x4d","0x15","2","18","0x2","0x12","0x2e","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3d","0x6e","0x28","0x4d","0x3d","9","7","0x9","0x7","0xe","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3e","0x6d","0x14","0x4d","0x35","20","2","0x14","0x2","0x18","0x6e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3f","0x6d","0xe","0x4d","0x4d","0","3","0x0","0x3","0xe","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x40","0x6d","0x2e","0x4d","0x3d","11","8","0xb","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x6d","0x2e","0x4d","0x3d","11","7","0xb","0x7","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x42","0x6d","0x28","0x4d","0x3d","9","8","0x9","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0x6d","0x14","0x4d","0x45","6","15","0x6","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x44","0x6d","0x14","0x4d","0x45","21","15","0x15","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x45","0x6d","0x38","0x4d","0x45","2","1","0x2","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x46","0x6d","0x24","0x4d","0x45","13","3","0xd","0x3","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x47","0x6d","0x2e","0x4d","0x3d","15","16","0xf","0x10","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x48","0x6d","0x2c","0x4d","0x45","18","16","0x12","0x10","0x4b","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x49","0x6d","0x14","0x4d","0x3d","21","1","0x15","0x1","0x1e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4a","0x6d","0x20","0x4d","0x3d","4","5","0x4","0x5","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4b","0x6d","0x24","0x4d","0x3d","11","3","0xb","0x3","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4c","0x6d","0x14","0x4d","0x45","0","13","0x0","0xd","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
