"0xccfdcc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x50","7","8","0x7","0x8","0x9","0x1","0x3","0x6f","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x48","6","7","0x6","0x7","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x2","0xe","0x19","0x0","0x68","4","7","0x4","0x7","0x2c","0x2d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x13","0x20","0x0","0x50","5","6","0x5","0x6","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x30","0x28","0x0","0x60","8","7","0x8","0x7","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x1b","0x2c","0x0","0x38","5","8","0x5","0x8","0x4a","0x4b","0x6b","0x6f","0x0","0x0","0x0","0x0"
"0x6","0x31","0x32","0x0","0x40","7","9","0x7","0x9","0x14","0x1c","0x16","0x6b","0x0","0x0","0x0","0x0"
"0x7","0x23","0x3c","0x0","0x38","6","10","0x6","0xa","0x1","0x6a","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x8","0x6","0xe","0x0","0x21","8","10","0x8","0xa","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x8","0x12","0x0","0x29","5","11","0x5","0xb","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x1","0x1","0x0","0x50","7","8","0x7","0x8","0x9","0x1","0x3","0x6f","0x0","0x0","0x0","0x0"
"0xc","0x2","0x3","0x0","0x48","5","8","0x5","0x8","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xd","0xe","0x19","0x0","0x68","8","7","0x8","0x7","0x2c","0x2d","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x13","0x20","0x0","0x50","7","13","0x7","0xd","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x30","0x28","0x0","0x60","6","10","0x6","0xa","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x10","0x1b","0x2c","0x0","0x38","5","6","0x5","0x6","0x4a","0x4b","0x6b","0x6f","0x0","0x0","0x0","0x0"
"0x11","0x31","0x32","0x0","0x40","8","10","0x8","0xa","0x14","0x1c","0x16","0x6b","0x0","0x0","0x0","0x0"
"0x12","0x23","0x3c","0x0","0x38","5","11","0x5","0xb","0x1","0x6b","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x13","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x4f","0x13","0x4f","0x2c","24","13","0x18","0xd","0x21","0x2d","0x63","0x0","0x3","0x3","0xa","0x0"
"0x15","0x6e","0x28","0x4f","0x3d","19","7","0x13","0x7","0x3","0x6f","0x0","0x0","0x0","0x0","0xa","0x0"
"0x16","0x6e","0x18","0x4f","0x3d","22","13","0x16","0xd","0x2f","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x17","0x6e","0x1c","0x4f","0x3d","10","3","0xa","0x3","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x18","0x6d","0x39","0x4f","0x3d","23","12","0x17","0xc","0x22","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x19","0x6d","0x39","0x4f","0x3d","23","14","0x17","0xe","0x28","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x1a","0x6d","0x39","0x4f","0x3d","24","11","0x18","0xb","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1b","0x6d","0x1c","0x4f","0x3d","11","7","0xb","0x7","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1c","0x6d","0x1c","0x4f","0x3d","12","13","0xc","0xd","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1d","0x6d","0x1c","0x4f","0x3d","10","8","0xa","0x8","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1e","0x6d","0x34","0x4f","0x35","25","2","0x19","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1f","0x6d","0x34","0x4f","0x35","25","10","0x19","0xa","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x20","0x6d","0x28","0x4f","0x3d","19","8","0x13","0x8","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x21","0x6d","0x1c","0x4f","0x3d","20","3","0x14","0x3","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x22","0x6d","0x18","0x4f","0x3d","24","1","0x18","0x1","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0x6d","0x1c","0x4f","0x3d","21","6","0x15","0x6","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x24","0x6d","0x1c","0x4f","0x3d","3","0","0x3","0x0","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x25","0x6d","0x1c","0x4f","0x3d","0","12","0x0","0xc","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x26","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x4f","0x13","0x4f","0x2c","24","13","0x18","0xd","0x24","0x2d","0x63","0x0","0x0","0x3","0xa","0x0"
"0x28","0x6e","0x34","0x4f","0x35","25","10","0x19","0xa","0x18","0x6f","0x0","0x0","0x0","0x0","0xa","0x0"
"0x29","0x6e","0x18","0x4f","0x3d","22","13","0x16","0xd","0x2f","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2a","0x6e","0x1c","0x4f","0x3d","10","3","0xa","0x3","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0x6d","0x39","0x4f","0x3d","23","12","0x17","0xc","0x22","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2c","0x6d","0x39","0x4f","0x3d","23","14","0x17","0xe","0x28","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x2d","0x6d","0x39","0x4f","0x3d","24","11","0x18","0xb","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x6d","0x32","0x4f","0x3d","19","13","0x13","0xd","0x18","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2f","0x6d","0x1c","0x4f","0x3d","17","12","0x11","0xc","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x30","0x6d","0x32","0x4f","0x3d","14","1","0xe","0x1","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x31","0x6d","0x34","0x4f","0x35","25","2","0x19","0x2","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0x6d","0x32","0x4f","0x3d","22","5","0x16","0x5","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0x6d","0x32","0x4f","0x3d","23","3","0x17","0x3","0x18","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x34","0x6d","0x18","0x4f","0x3d","24","1","0x18","0x1","0x2f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x35","0x6d","0x1c","0x4f","0x3d","21","6","0x15","0x6","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0x6d","0x32","0x4f","0x3d","22","7","0x16","0x7","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x4f","0x13","0x4f","0x2c","25","12","0x19","0xc","0x21","0x28","0x63","0x0","0x3","0x3","0xa","0x0"
"0x39","0x6d","0x39","0x4f","0x3d","24","13","0x18","0xd","0x28","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x3a","0x6d","0x39","0x4f","0x3d","24","11","0x18","0xb","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3b","0x6d","0x39","0x4f","0x3d","23","12","0x17","0xc","0x22","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3c","0x6d","0x1c","0x4f","0x3d","11","7","0xb","0x7","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3d","0x6e","0x1c","0x4f","0x3d","12","13","0xc","0xd","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3e","0x6d","0x1c","0x4f","0x3d","10","8","0xa","0x8","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3f","0x6d","0x34","0x4f","0x35","25","2","0x19","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x40","0x6d","0x34","0x4f","0x35","25","10","0x19","0xa","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x41","0x6d","0x28","0x4f","0x3d","19","7","0x13","0x7","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x42","0x6d","0x28","0x4f","0x3d","19","8","0x13","0x8","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x43","0x6d","0x1c","0x4f","0x3d","20","3","0x14","0x3","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x44","0x6d","0x18","0x4f","0x3d","24","1","0x18","0x1","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x45","0x6d","0x18","0x4f","0x3d","22","13","0x16","0xd","0x2f","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0x6e","0x1c","0x4f","0x3d","10","3","0xa","0x3","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x47","0x6d","0x1c","0x4f","0x3d","21","6","0x15","0x6","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0x6d","0x1c","0x4f","0x3d","3","0","0x3","0x0","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x49","0x6d","0x1c","0x4f","0x3d","0","12","0x0","0xc","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4a","0x6d","0x1c","0x4f","0x3d","1","1","0x1","0x1","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4b","0x6d","0x1c","0x4f","0x3d","0","0","0x0","0x0","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4c","0x6d","0x1c","0x4f","0x3d","1","13","0x1","0xd","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4d","0x6d","0x1c","0x4f","0x3d","0","7","0x0","0x7","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4e","0x6d","0x14","0x4f","0x3d","13","3","0xd","0x3","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4f","0x6d","0x14","0x4f","0x3d","14","3","0xe","0x3","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x50","0x6d","0x14","0x4f","0x3d","19","10","0x13","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x51","0x6d","0x14","0x4f","0x3d","20","10","0x14","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0x4f","0x13","0x4f","0x2c","25","12","0x19","0xc","0x24","0x2d","0x63","0x0","0x0","0x3","0xa","0x0"
"0x54","0x6d","0x39","0x4f","0x4d","24","13","0x18","0xd","0x28","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x55","0x6d","0x39","0x4f","0x4d","24","11","0x18","0xb","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x56","0x6d","0x39","0x4f","0x4d","23","12","0x17","0xc","0x22","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x57","0x6d","0x32","0x4f","0x4d","19","13","0x13","0xd","0x18","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x58","0x6e","0x1c","0x4f","0x4d","17","12","0x11","0xc","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0x6d","0x32","0x4f","0x45","14","1","0xe","0x1","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0x6d","0x34","0x4f","0x45","25","2","0x19","0x2","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0x6d","0x34","0x4f","0x45","25","10","0x19","0xa","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5c","0x6d","0x32","0x4f","0x4d","22","5","0x16","0x5","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5d","0x6d","0x32","0x4f","0x4d","23","3","0x17","0x3","0x18","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0x6d","0x18","0x4f","0x4d","24","1","0x18","0x1","0x2f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5f","0x6d","0x18","0x4f","0x4d","22","13","0x16","0xd","0x2f","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x60","0x6d","0x1c","0x4f","0x4d","10","3","0xa","0x3","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x61","0x6d","0x1c","0x4f","0x4d","21","6","0x15","0x6","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x62","0x6d","0x32","0x4f","0x4d","22","7","0x16","0x7","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0x6e","0x1c","0x4f","0x75","2","1","0x2","0x1","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x64","0x6d","0x1c","0x4f","0x4d","6","3","0x6","0x3","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x65","0x6d","0x1c","0x4f","0x4d","1","13","0x1","0xd","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x66","0x6d","0x1c","0x4f","0x4d","0","12","0x0","0xc","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x67","0x6d","0x34","0x4f","0x45","19","5","0x13","0x5","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x68","0x6d","0x34","0x4f","0x45","19","8","0x13","0x8","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x69","0x6d","0x1c","0x4f","0x4d","17","2","0x11","0x2","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6b","0x6d","0x1c","0x4f","0x35","25","8","0x19","0x8","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6c","0x6d","0x1c","0x4f","0x35","25","5","0x19","0x5","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x6d","0x2e","0x4f","0x35","23","0","0x17","0x0","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6f","0x6d","0x28","0x4f","0x35","22","14","0x16","0xe","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x70","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x71","0x6d","0x32","0x4f","0x35","23","0","0x17","0x0","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x72","0x6d","0x32","0x4f","0x35","22","14","0x16","0xe","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x73","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x74","0x6d","0x34","0x4f","0x4d","23","0","0x17","0x0","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x75","0x6d","0x34","0x4f","0x4d","22","14","0x16","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x76","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x77","0x6d","0x2e","0x4f","0x35","23","14","0x17","0xe","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x78","0x6d","0x28","0x4f","0x35","22","0","0x16","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
