"0xcd19fc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x71","19","4","0x13","0x4","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x1","0x61","19","1","0x13","0x1","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x2","0x0","0x49","18","2","0x12","0x2","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x3","0x16","0x24","0x0","0x49","17","3","0x11","0x3","0x44","0x44","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x11","0x1d","0x1","0x51","19","3","0x13","0x3","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x5","0x25","0x40","0x0","0x29","20","3","0x14","0x3","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x23","0x3c","0x0","0x41","18","4","0x12","0x4","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x31","0x32","0x0","0x59","18","5","0x12","0x5","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x6","0xe","0x0","0x21","20","5","0x14","0x5","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x8","0x12","0x0","0x29","20","6","0x14","0x6","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x9","0x12","0x0","0x29","19","7","0x13","0x7","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x1","0x0","0x71","19","4","0x13","0x4","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x2","0x3","0x1","0x61","17","3","0x11","0x3","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xe","0x2d","0x2","0x0","0x49","20","6","0x14","0x6","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xf","0x16","0x24","0x0","0x49","18","4","0x12","0x4","0x44","0x44","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x25","0x40","0x0","0x29","19","7","0x13","0x7","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x23","0x3c","0x0","0x41","19","3","0x13","0x3","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x11","0x1d","0x1","0x51","20","5","0x14","0x5","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x13","0x31","0x32","0x0","0x59","20","3","0x14","0x3","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x1","0x1","0x0","0x71","16","14","0x10","0xe","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x2","0x3","0x1","0x61","15","13","0xf","0xd","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x17","0x2d","0x2","0x0","0x49","17","12","0x11","0xc","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x18","0x16","0x24","0x0","0x49","14","15","0xe","0xf","0x44","0x44","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x25","0x40","0x0","0x29","20","15","0x14","0xf","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x23","0x3c","0x0","0x41","21","14","0x15","0xe","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x11","0x1d","0x1","0x51","18","15","0x12","0xf","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x1c","0x31","0x32","0x0","0x59","19","13","0x13","0xd","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x6","0xe","0x0","0x21","20","13","0x14","0xd","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x9","0x12","0x0","0x29","19","14","0x13","0xe","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x8","0x12","0x0","0x29","18","14","0x12","0xe","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x1","0x1","0x0","0x71","16","14","0x10","0xe","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x2","0x3","0x1","0x61","15","13","0xf","0xd","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x23","0x2d","0x2","0x0","0x49","17","12","0x11","0xc","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x24","0x16","0x24","0x0","0x49","14","15","0xe","0xf","0x44","0x44","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x25","0x40","0x0","0x29","20","15","0x14","0xf","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x23","0x3c","0x0","0x41","21","14","0x15","0xe","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x11","0x1d","0x1","0x51","18","15","0x12","0xf","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x28","0x31","0x32","0x0","0x59","19","13","0x13","0xd","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2a","0x53","0x13","0x0","0x44","6","2","0x6","0x2","0x24","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0x54","0x13","0x53","0x4c","11","6","0xb","0x6","0x20","0x28","0x67","0x0","0x0","0x3","0xa","0x0"
"0x2c","0xee","0x24","0x53","0x4d","0","13","0x0","0xd","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2d","0xe8","0x39","0x53","0x4d","6","6","0x6","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0xe8","0x18","0x53","0x4d","4","10","0x4","0xa","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2f","0xe8","0x20","0x53","0x4d","1","1","0x1","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x30","0xe8","0x2e","0x53","0x4d","13","1","0xd","0x1","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x31","0xe8","0x28","0x53","0x4d","14","1","0xe","0x1","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0xe8","0x18","0x53","0x4d","15","8","0xf","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0xe8","0x14","0x53","0x4d","13","2","0xd","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0xe8","0x14","0x53","0x4d","7","12","0x7","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x35","0xe8","0x18","0x53","0x4d","9","6","0x9","0x6","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x36","0xe8","0x1c","0x53","0x4d","8","5","0x8","0x5","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x37","0xe8","0x20","0x53","0x4d","9","14","0x9","0xe","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x38","0xe8","0x20","0x53","0x4d","11","8","0xb","0x8","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x39","0xe8","0x18","0x53","0x4d","10","12","0xa","0xc","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3a","0xe8","0x20","0x53","0x4d","9","1","0x9","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3b","0xe8","0x20","0x53","0x4d","14","14","0xe","0xe","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3c","0xe8","0x20","0x53","0x4d","13","10","0xd","0xa","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3d","0xe8","0x20","0x53","0x4d","0","9","0x0","0x9","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0x53","0x13","0x0","0x44","2","10","0x2","0xa","0x24","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x40","0x54","0x13","0x53","0x4c","7","6","0x7","0x6","0x20","0x28","0x67","0x0","0x0","0x3","0xa","0x0"
"0x41","0xee","0x24","0x53","0x4d","0","13","0x0","0xd","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x42","0xe8","0x39","0x53","0x4d","18","6","0x12","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x43","0xe8","0x18","0x53","0x4d","20","4","0x14","0x4","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x44","0xe8","0x20","0x53","0x4d","1","1","0x1","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x45","0xe8","0x2e","0x53","0x4d","14","0","0xe","0x0","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0xe8","0x28","0x53","0x4d","15","0","0xf","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x47","0xe8","0x18","0x53","0x4d","15","8","0xf","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x48","0xe8","0x14","0x53","0x4d","20","7","0x14","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x49","0xe8","0x14","0x53","0x4d","21","8","0x15","0x8","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4a","0xe8","0x18","0x53","0x4d","10","13","0xa","0xd","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4b","0xe8","0x1c","0x53","0x4d","1","8","0x1","0x8","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4c","0xe8","0x20","0x53","0x4d","9","14","0x9","0xe","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4d","0xe8","0x20","0x53","0x4d","5","7","0x5","0x7","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4e","0xe8","0x18","0x53","0x4d","8","15","0x8","0xf","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4f","0xe8","0x20","0x53","0x4d","9","1","0x9","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x50","0xe8","0x20","0x53","0x4d","13","5","0xd","0x5","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x51","0xe8","0x20","0x53","0x4d","13","10","0xd","0xa","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x52","0xe8","0x20","0x53","0x4d","0","9","0x0","0x9","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x53","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x53","0x13","0x0","0x2c","6","2","0x6","0x2","0x24","0x73","0x0","0x0","0x0","0x0","0xa","0x0"
"0x55","0x54","0x13","0x53","0x24","11","6","0xb","0x6","0x20","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x56","0xe8","0x39","0x53","0x4d","6","6","0x6","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x57","0xe8","0x18","0x53","0x4d","4","10","0x4","0xa","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x58","0xee","0x24","0x53","0x4d","0","13","0x0","0xd","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0xe8","0x20","0x53","0x4d","1","1","0x1","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0xe8","0x2e","0x53","0x4d","14","0","0xe","0x0","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0xe8","0x28","0x53","0x4d","15","0","0xf","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5c","0xe8","0x18","0x53","0x4d","15","8","0xf","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
