"0xcd2f58","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x71","2","22","0x2","0x16","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2d","0x2","0x0","0x61","2","20","0x2","0x14","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x2","0x25","0x40","0x0","0x39","1","21","0x1","0x15","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x13","0x20","0x0","0x79","3","21","0x3","0x15","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x1b","0x2c","0x0","0x51","4","21","0x4","0x15","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x5","0x23","0x3c","0x0","0x41","0","22","0x0","0x16","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x30","0x28","0x0","0x81","3","22","0x3","0x16","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x3","0x0","0x69","5","22","0x5","0x16","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x8","0x10","0x1c","0x0","0x61","1","23","0x1","0x17","0x3e","0x3f","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x19","0x28","0x0","0x79","3","23","0x3","0x17","0x3","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x31","0x32","0x0","0x61","4","23","0x4","0x17","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x20","0x34","0x0","0x51","2","24","0x2","0x18","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x6","0xe","0x0","0x21","5","24","0x5","0x18","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x1","0x1","0x0","0x71","1","23","0x1","0x17","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x2d","0x2","0x0","0x61","0","22","0x0","0x16","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x10","0x25","0x40","0x0","0x39","3","22","0x3","0x16","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x13","0x20","0x0","0x79","5","22","0x5","0x16","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x1b","0x2c","0x0","0x51","7","23","0x7","0x17","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
