"0xcd53bc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x79","10","10","0xa","0xa","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x1","0x71","11","10","0xb","0xa","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x2","0x1","0x61","9","10","0x9","0xa","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x3","0x5","0x13","0x1","0x31","10","16","0xa","0x10","0x20","0x28","0x2e","0x0","0x0","0x0","0x0","0x0"
"0x4","0xe","0x1b","0x1","0x19","9","17","0x9","0x11","0x2c","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x5","0x13","0x20","0x1","0x81","11","17","0xb","0x11","0x38","0x39","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x16","0x26","0x1","0x9","12","17","0xc","0x11","0x44","0x45","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x7","0x30","0x2a","0x1","0x9","10","18","0xa","0x12","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x8","0x19","0x28","0x1","0x89","9","19","0x9","0x13","0x14","0x3","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x1b","0x2c","0x1","0x69","10","19","0xa","0x13","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0xa","0x31","0x32","0x1","0x71","17","15","0x11","0xf","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x20","0x34","0x1","0x61","16","16","0x10","0x10","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x23","0x3c","0x1","0x59","17","17","0x11","0x11","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x25","0x40","0x1","0x41","18","17","0x12","0x11","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x6","0xe","0x0","0x21","18","18","0x12","0x12","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x1","0x1","0x0","0x79","10","10","0xa","0xa","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x2","0x3","0x1","0x71","11","10","0xb","0xa","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x12","0x2d","0x2","0x1","0x61","9","10","0x9","0xa","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x13","0x5","0x13","0x1","0x31","10","18","0xa","0x12","0x20","0x28","0x2e","0x0","0x0","0x0","0x0","0x0"
"0x14","0xe","0x1b","0x1","0x19","18","17","0x12","0x11","0x2c","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x15","0x13","0x20","0x1","0x81","10","17","0xa","0x11","0x38","0x39","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x16","0x26","0x1","0x9","19","17","0x13","0x11","0x44","0x45","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x17","0x30","0x2a","0x1","0x9","9","19","0x9","0x13","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x18","0x19","0x28","0x1","0x89","17","17","0x11","0x11","0x14","0x3","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x19","0x1b","0x2c","0x1","0x69","9","17","0x9","0x11","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x1a","0x31","0x32","0x1","0x71","17","15","0x11","0xf","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x20","0x34","0x1","0x61","11","18","0xb","0x12","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x23","0x3c","0x1","0x59","19","15","0x13","0xf","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x25","0x40","0x1","0x41","10","19","0xa","0x13","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x2b","0x37","0x0","0x54","2","2","0x2","0x2","0x77","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x20","0x6d","0x2e","0x2b","0x5d","1","25","0x1","0x19","0x32","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0x70","0x34","0x2b","0x5d","3","1","0x3","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x22","0x70","0x34","0x2b","0x5d","1","1","0x1","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
