"0xcd8498","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x89","14","3","0xe","0x3","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x81","13","1","0xd","0x1","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x2","0x16","0x26","0x0","0x29","11","2","0xb","0x2","0x44","0x45","0x4a","0x4b","0x0","0x0","0x0","0x0"
"0x3","0x30","0x2a","0x0","0x19","12","2","0xc","0x2","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x4","0x1b","0x2c","0x0","0x79","15","2","0xf","0x2","0x4b","0x4d","0x4f","0x53","0x0","0x0","0x0","0x0"
"0x5","0x31","0x32","0x0","0x91","16","2","0x10","0x2","0x14","0x16","0x1c","0x1e","0x0","0x0","0x0","0x0"
"0x6","0x23","0x3c","0x0","0x71","11","3","0xb","0x3","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x25","0x40","0x0","0x59","13","3","0xd","0x3","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2f","0x28","0x0","0x29","16","3","0x10","0x3","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x9","0x13","0x22","0x0","0x29","12","4","0xc","0x4","0x38","0x39","0x4a","0x4b","0x0","0x0","0x0","0x0"
"0xa","0x6","0xe","0x0","0x21","14","4","0xe","0x4","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x8","0x12","0x0","0x29","17","4","0x11","0x4","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x9","0x12","0x0","0x29","13","5","0xd","0x5","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xd","0x34","0x2b","0x0","0x29","15","5","0xf","0x5","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0xe","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x1","0x1","0x0","0x89","14","3","0xe","0x3","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x2","0x3","0x0","0x81","12","4","0xc","0x4","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x11","0x16","0x26","0x0","0x29","14","4","0xe","0x4","0x44","0x45","0x4a","0x4b","0x0","0x0","0x0","0x0"
"0x12","0x30","0x2a","0x0","0x19","13","3","0xd","0x3","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x13","0x1b","0x2c","0x0","0x79","13","1","0xd","0x1","0x4b","0x4d","0x4f","0x53","0x0","0x0","0x0","0x0"
"0x14","0x31","0x32","0x0","0x91","17","4","0x11","0x4","0x14","0x16","0x1c","0x1e","0x0","0x0","0x0","0x0"
"0x15","0x23","0x3c","0x0","0x71","16","2","0x10","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x25","0x40","0x0","0x59","11","2","0xb","0x2","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x2f","0x28","0x0","0x29","15","5","0xf","0x5","0x14","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x18","0x13","0x22","0x0","0x29","13","5","0xd","0x5","0x38","0x39","0x4a","0x4b","0x0","0x0","0x0","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x51","0x2d","0x0","0x7c","7","26","0x7","0x1a","0x3a","0x39","0x0","0x0","0x3","0x3","0xa","0x0"
"0x1b","0x5a","0x2a","0x51","0x34","6","26","0x6","0x1a","0x17","0x0","0x0","0x0","0x0","0x0","0x2","0x0"
