"0xcda738","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x91","25","23","0x19","0x17","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x3","0x0","0x91","25","21","0x19","0x15","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x8","0x0","0x9","24","22","0x18","0x16","0xa","0x3","0x12","0x2c","0x0","0x0","0x0","0x0"
"0x3","0x38","0xc","0x0","0x61","26","22","0x1a","0x16","0x3","0xd","0xe","0x0","0x0","0x0","0x0","0x0"
"0x4","0x5","0x13","0x0","0x49","23","23","0x17","0x17","0x20","0x28","0x2d","0x2a","0x0","0x0","0x0","0x0"
"0x5","0xe","0x1b","0x0","0x49","27","23","0x1b","0x17","0x30","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x6","0x10","0x1e","0x0","0x9","22","24","0x16","0x18","0x3e","0x3f","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x7","0x16","0x26","0x0","0x51","24","24","0x18","0x18","0x44","0x45","0x46","0x4a","0x0","0x0","0x0","0x0"
"0x8","0x30","0x2a","0x0","0x49","26","24","0x1a","0x18","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x9","0x1b","0x2d","0x0","0x29","23","25","0x17","0x19","0x4b","0x4d","0x4f","0x37","0x0","0x0","0x0","0x0"
"0xa","0x15","0x22","0x0","0x39","25","25","0x19","0x19","0x37","0x39","0x4b","0x4d","0x0","0x0","0x0","0x0"
"0xb","0x22","0x3b","0x0","0x21","27","25","0x1b","0x19","0x24","0x1f","0x28","0x26","0x0","0x0","0x0","0x0"
"0xc","0x6","0xe","0x0","0x21","23","26","0x17","0x1a","0xd","0x1","0x0","0x1","0x0","0x0","0x0","0x0"
"0xd","0x8","0x12","0x0","0x29","24","26","0x18","0x1a","0x1f","0x6b","0x0","0x26","0x0","0x0","0x0","0x0"
"0xe","0x9","0x12","0x0","0x29","26","26","0x1a","0x1a","0x1f","0x28","0x6b","0x1","0x0","0x0","0x0","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x1","0x1","0x0","0x91","25","23","0x19","0x17","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x11","0x2","0x3","0x0","0x91","26","25","0x1a","0x19","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
