"0xcdbd3c","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x7","0x0","0x9","8","25","0x8","0x19","0x3","0x9","0xd","0x14","0x0","0x0","0x0","0x0"
"0x1","0xe","0x1b","0x0","0x41","4","27","0x4","0x1b","0x30","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x2","0x1b","0x2d","0x0","0x19","3","28","0x3","0x1c","0x4b","0x4d","0x4f","0x37","0x0","0x0","0x0","0x0"
"0x3","0x16","0x26","0x0","0x41","13","28","0xd","0x1c","0x44","0x45","0x46","0x4a","0x0","0x0","0x0","0x0"
"0x4","0x30","0x2a","0x0","0x39","12","27","0xc","0x1b","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x1","0x7","0x0","0x9","8","25","0x8","0x19","0x3","0x9","0xd","0x14","0x0","0x0","0x0","0x0"
"0x7","0xe","0x1b","0x0","0x41","4","27","0x4","0x1b","0x30","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x8","0x30","0x2a","0x0","0x39","12","27","0xc","0x1b","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x5d","0x3b","0x0","0x7c","8","3","0x8","0x3","0x29","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb","0xf0","0x13","0x5d","0x1d","8","6","0x8","0x6","0x28","0x6c","0x0","0x0","0x0","0x3","0xa","0x0"
"0xc","0xf0","0x13","0x5d","0xd","10","14","0xa","0xe","0x28","0x6c","0x0","0x0","0x3","0x3","0xa","0x0"
"0xd","0xf0","0xe","0x5d","0x55","12","11","0xc","0xb","0x3","0x9","0x0","0x0","0x0","0x3","0xa","0x0"
"0xe","0xf0","0x14","0x5d","0x55","16","15","0x10","0xf","0x1c","0x6c","0x0","0x0","0x3","0x3","0xa","0x0"
"0xf","0xf0","0x26","0x5d","0x15","0","15","0x0","0xf","0x44","0x6c","0x0","0x0","0x0","0x3","0xa","0x0"
"0x10","0xea","0x20","0x5d","0x55","1","22","0x1","0x16","0x38","0x6d","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11","0xea","0x14","0x5d","0x55","3","18","0x3","0x12","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
