"0xcdc3b4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x2","0x9","0x0","0x19","25","13","0x19","0xd","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x1","0x23","0x3c","0x0","0x89","26","14","0x1a","0xe","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x1b","0x2d","0x0","0x29","24","15","0x18","0xf","0x4b","0x4d","0x4f","0x37","0x0","0x0","0x0","0x0"
"0x3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x9","0x0","0x19","25","13","0x19","0xd","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x5","0x23","0x3c","0x0","0x89","26","14","0x1a","0xe","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x5e","0xc","0x0","0x84","4","1","0x4","0x1","0x29","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x8","0xea","0x14","0x5e","0x65","11","13","0xb","0xd","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9","0xea","0x20","0x5e","0x65","26","1","0x1a","0x1","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa","0xea","0x20","0x5e","0x4d","16","5","0x10","0x5","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb","0xea","0x20","0x5e","0x4d","3","2","0x3","0x2","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xc","0xea","0x20","0x5e","0x4d","5","2","0x5","0x2","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xd","0xea","0x20","0x5e","0x4d","5","13","0x5","0xd","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe","0xea","0x20","0x5e","0x4d","4","8","0x4","0x8","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xf","0xf0","0x12","0x5e","0x65","9","3","0x9","0x3","0x21","0x8d","0x0","0x0","0x0","0x3","0xa","0x0"
"0x10","0xea","0x14","0x5e","0x65","12","12","0xc","0xc","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11","0xea","0x14","0x5e","0x65","10","1","0xa","0x1","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12","0xea","0x12","0x5e","0x65","12","0","0xc","0x0","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x13","0xea","0x14","0x5e","0x65","21","6","0x15","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x14","0xea","0x14","0x5e","0x65","28","9","0x1c","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x15","0xea","0x14","0x5e","0x65","23","9","0x17","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x16","0xea","0x14","0x5e","0x65","21","1","0x15","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
