"0xcddc9c","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x7","0x0","0x29","4","2","0x4","0x2","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
"0x1","0x2","0x9","0x0","0x19","3","3","0x3","0x3","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x2","0x16","0x26","0x0","0x51","9","4","0x9","0x4","0x44","0x45","0x46","0x4a","0x0","0x0","0x0","0x0"
"0x3","0x30","0x2a","0x0","0x49","10","4","0xa","0x4","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x4","0x2d","0x8","0x0","0x29","3","5","0x3","0x5","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0x5","0x22","0x3b","0x0","0x21","9","5","0x9","0x5","0x28","0x26","0x25","0x24","0x0","0x0","0x0","0x0"
"0x6","0x5","0x13","0x0","0x51","1","6","0x1","0x6","0x21","0x2e","0x2a","0x0","0x0","0x0","0x0","0x0"
"0x7","0xe","0x1b","0x0","0x61","2","7","0x2","0x7","0x30","0x2e","0x33","0x0","0x0","0x0","0x0","0x0"
"0x8","0x31","0x33","0x0","0x21","7","8","0x7","0x8","0x1a","0x1c","0x1e","0x1","0x0","0x0","0x0","0x0"
"0x9","0x23","0x3c","0x0","0x81","8","9","0x8","0x9","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x7","0x0","0x29","4","4","0x4","0x4","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
"0xd","0x2","0x9","0x0","0x19","4","2","0x4","0x2","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0xe","0x2d","0xb","0x0","0x29","3","3","0x3","0x3","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0xf","0x1a","0x2a","0x0","0x8","5","3","0x5","0x3","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x28","0x44","0x0","0x8","3","2","0x3","0x2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x2","0x9","0x0","0x19","0","8","0x3","0x3","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x44","0x45","0x0","0xa4","12","6","0xc","0x6","0x8e","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x16","0x85","0x23","0x0","0xa4","12","8","0xc","0x8","0x3a","0x3b","0x4e","0x0","0x3","0x3","0xa","0x0"
"0x17","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x37","0x11","0x0","0x2a","5","7","0x5","0x7","0xc","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
