"0xcdded0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x7","0x0","0x29","3","27","0x3","0x1b","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
"0x1","0x2","0x9","0x0","0x19","3","24","0x3","0x18","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x8","0x0","0x29","1","25","0x1","0x19","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0x3","0x22","0x3b","0x0","0x21","2","25","0x2","0x19","0x28","0x26","0x25","0x24","0x0","0x0","0x0","0x0"
"0x4","0x5","0x13","0x0","0x51","5","25","0x5","0x19","0x21","0x2e","0x2a","0x0","0x0","0x0","0x0","0x0"
"0x5","0xe","0x1b","0x0","0x61","2","26","0x2","0x1a","0x30","0x2e","0x33","0x0","0x0","0x0","0x0","0x0"
"0x6","0x15","0x22","0x0","0xa1","4","26","0x4","0x1a","0x39","0x3a","0x4c","0x4d","0x0","0x0","0x0","0x0"
"0x7","0x16","0x26","0x0","0x61","1","27","0x1","0x1b","0x44","0x45","0x46","0x4b","0x0","0x0","0x0","0x0"
"0x8","0x10","0x1e","0x0","0x9","5","27","0x5","0x1b","0x3f","0x40","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x9","0x1b","0x2d","0x0","0x39","2","28","0x2","0x1c","0x4b","0x4d","0x4f","0x38","0x0","0x0","0x0","0x0"
"0xa","0x30","0x2a","0x0","0x59","3","28","0x3","0x1c","0x17","0x4","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0xb","0x31","0x33","0x0","0x31","5","28","0x5","0x1c","0x1a","0x1c","0x1e","0x1","0x0","0x0","0x0","0x0"
"0xc","0x20","0x34","0x0","0x79","1","29","0x1","0x1d","0x1a","0x17","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xd","0x23","0x3c","0x0","0x89","2","29","0x2","0x1d","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0xb","0x16","0x0","0x61","4","29","0x4","0x1d","0x1a","0x17","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xf","0x6","0xe","0x0","0x21","6","29","0x6","0x1d","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x1","0x7","0x0","0x29","1","27","0x1","0x1b","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
