"0xcdf7e4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0xa1","15","14","0xf","0xe","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0xe","0x19","0x0","0xa1","16","15","0x10","0xf","0x2d","0x33","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x11","0x1d","0x0","0xa1","15","16","0xf","0x10","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x13","0x20","0x0","0xa1","13","14","0xd","0xe","0x38","0x37","0x79","0x0","0x0","0x0","0x0","0x0"
"0x4","0xb","0x14","0x0","0xa1","17","14","0x11","0xe","0x16","0x6b","0x7a","0x0","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x1","0x1","0x0","0xa1","15","14","0xf","0xe","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0xe","0x19","0x0","0xa1","16","15","0x10","0xf","0x2d","0x33","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x11","0x1d","0x0","0xa1","15","16","0xf","0x10","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x13","0x20","0x0","0xa1","13","14","0xd","0xe","0x38","0x37","0x79","0x0","0x0","0x0","0x0","0x0"
"0xa","0xb","0x14","0x0","0xa1","17","14","0x11","0xe","0x16","0x6b","0x7a","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x3b","0x43","0x0","0x95","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xd","0x73","0x16","0x3b","0x75","10","4","0xa","0x4","0x1d","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0xe","0x74","0x16","0x3b","0x75","10","14","0xa","0xe","0x29","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0xf","0x73","0x16","0x3b","0x75","5","10","0x5","0xa","0x1d","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x10","0x73","0x16","0x3b","0x75","2","14","0x2","0xe","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11","0x73","0x16","0x3b","0x75","14","18","0xe","0x12","0x1d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12","0x73","0x16","0x3b","0x75","18","6","0x12","0x6","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x13","0x73","0x16","0x3b","0x75","3","7","0x3","0x7","0x1d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x14","0x74","0x10","0x3b","0x75","4","8","0x4","0x8","0x11","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x15","0x73","0x1a","0x3b","0x75","8","3","0x8","0x3","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x16","0x73","0x1a","0x3b","0x75","8","5","0x8","0x5","0x2e","0x33","0x0","0x0","0x0","0x3","0xa","0x0"
"0x17","0x73","0x1a","0x3b","0x75","15","4","0xf","0x4","0x2e","0x33","0x0","0x0","0x0","0x3","0xa","0x0"
"0x18","0x73","0xc","0x3b","0x75","7","16","0x7","0x10","0xb","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x19","0x73","0xc","0x3b","0x75","10","16","0xa","0x10","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1a","0x73","0x10","0x3b","0xa5","10","12","0xa","0xc","0xc","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1b","0x73","0x1a","0x3b","0x75","14","4","0xe","0x4","0x2e","0x33","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1c","0x73","0x16","0x3b","0x75","13","2","0xd","0x2","0x1d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x3b","0x43","0x0","0x95","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1f","0x73","0x3b","0x3b","0x75","10","4","0xa","0x4","0x29","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x20","0x74","0x3b","0x3b","0x95","9","15","0x9","0xf","0x27","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0x73","0x3b","0x3b","0x75","5","10","0x5","0xa","0x29","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x22","0x73","0x3b","0x3b","0x75","2","14","0x2","0xe","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x23","0x74","0x3b","0x3b","0xa5","14","18","0xe","0x12","0x2b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x24","0x73","0x3b","0x3b","0x75","18","6","0x12","0x6","0x2b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x25","0x73","0x3b","0x3b","0x75","3","7","0x3","0x7","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x26","0x73","0x3b","0x3b","0x85","4","8","0x4","0x8","0x27","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0x73","0x3b","0x3b","0x75","8","3","0x8","0x3","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x28","0x73","0x3b","0x3b","0x75","8","5","0x8","0x5","0x27","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x29","0x73","0x3b","0x3b","0x65","15","4","0xf","0x4","0x29","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
