"0xcc64e0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","0","0","0x4","0x5","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0xcd","0x51","0x0","0xa","0","0","0x2","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x17","0x28","0x3","0x8","17","9","0x11","0xa","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x18","0x28","0x3","0x8","0","0","0x4","0x3","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x4","0x1d","0x32","0x3","0x8","0","0","0x6","0x5","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0xd","0x18","0x3","0x10","0","0","0x2","0x3","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x23","0x3c","0x3","0x12","0","12","0x0","0xd","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x8","0x12","0x3","0x18","4","7","0x3","0x9","0x1f","0x28","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x13","0x20","0x3","0x8","4","7","0x6","0xb","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x11","0x1d","0x3","0x8","4","7","0x4","0x9","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0xda","0x47","0x0","0x3b","0","9","0x0","0x9","0x0","0x0","0x0","0x0","0x6","0x0","0x0","0x0"
"0xd","0xda","0x47","0x0","0x3b","2","8","0x2","0x8","0x0","0x0","0x0","0x0","0x6","0x0","0x0","0x0"
"0xe","0xda","0x47","0x0","0x3b","6","12","0x6","0xc","0x0","0x0","0x0","0x0","0x6","0x0","0x0","0x0"
