"0xcc6cd8","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xd","0x18","0x3","0x18","6","9","0xd","0x9","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x3","0x2","0x0","0x8","4","9","0xb","0x8","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x17","0x28","0x3","0x8","5","9","0xc","0x7","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x18","0x28","0x3","0x8","6","9","0xa","0x7","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x5","0x26","0x41","0x3","0x18","5","9","0xb","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0xda","0x40","0x0","0xa","4","9","0xa","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x23","0x3c","0x3","0x10","6","9","0x8","0x7","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x1d","0x32","0x3","0x8","5","9","0x9","0x8","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0xcd","0x51","0x0","0xa","4","9","0x8","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x51","0x2d","0x0","0x7c","10","2","0xa","0x2","0x3a","0x39","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x3","0x2","0x0","0x8","12","14","0xc","0xe","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x17","0x28","0x3","0x8","7","16","0x7","0x10","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
