"0xcc70f4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","3","0","0x3","0x2","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0xcd","0x51","0x0","0xa","4","0","0x4","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x17","0x28","0x3","0x8","2","0","0x2","0x3","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x18","0x28","0x3","0x8","5","0","0x5","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x4","0x1d","0x32","0x3","0x8","4","0","0x4","0x2","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0xd","0x18","0x3","0x10","2","0","0x1","0x2","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x26","0x41","0x3","0x8","2","0","0x2","0x2","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0xda","0x40","0x0","0xa","2","0","0x2","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0xb9","0x18","0xb6","0x15","9","8","0x9","0x8","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x3","0x2","0x0","0x8","2","2","0x2","0x2","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xc","0x17","0x28","0x3","0x8","0","1","0x0","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xd","0x18","0x28","0x3","0x8","1","2","0x1","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xe","0x1d","0x32","0x3","0x8","2","1","0x2","0x1","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0xd","0x18","0x3","0x10","2","3","0x2","0x3","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x8","0x12","0x3","0x18","3","1","0x3","0x1","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x11","0x11","0x1d","0x3","0x8","3","3","0x3","0x3","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x13","0x20","0x3","0x8","4","2","0x4","0x2","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x26","0x41","0x3","0x8","5","2","0x5","0x2","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x3","0x2","0x0","0x8","2","2","0x2","0x2","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
