"0xcc7484","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","1","8","0x1","0x8","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x17","0x28","0x3","0x8","3","8","0x2","0x6","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x2","0x18","0x28","0x3","0x8","3","9","0x2","0xb","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x1d","0x32","0x3","0x8","0","9","0x0","0x9","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xd","0x18","0x3","0x10","2","7","0x3","0x7","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x8","0x12","0x3","0x18","4","6","0x3","0x6","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x6","0x11","0x1d","0x3","0x8","1","10","0x1","0xa","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x13","0x20","0x3","0x8","2","10","0x2","0xa","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x1c","0x2e","0x3","0x38","1","7","0x1","0x7","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x23","0x3c","0x3","0x10","3","9","0x3","0x9","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x3","0x2","0x0","0x8","1","8","0x1","0x8","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xc","0x17","0x28","0x3","0x8","3","8","0x2","0x6","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xd","0x18","0x28","0x3","0x8","3","9","0x2","0xb","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xe","0x1d","0x32","0x3","0x8","0","9","0x0","0x9","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0xd","0x18","0x3","0x10","2","7","0x3","0x7","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x8","0x12","0x3","0x18","4","6","0x3","0x6","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x11","0x11","0x1d","0x3","0x8","1","10","0x1","0xa","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x13","0x20","0x3","0x8","2","10","0x2","0xa","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x1c","0x2e","0x3","0x38","1","7","0x1","0x7","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x23","0x3c","0x3","0x10","3","9","0x3","0x9","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x1","0x1","0x0","0xa","1","5","0x1","0x5","0x3","0x9","0xd","0x14","0x0","0x0","0x0","0x0"
"0x17","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x3","0x2","0x0","0x8","1","5","0x1","0x8","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x19","0xcd","0x51","0x0","0xa","1","5","0x2","0x8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x17","0x28","0x3","0x8","1","5","0x0","0x9","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x18","0x28","0x3","0x8","1","5","0x2","0x9","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x1d","0x32","0x3","0x8","1","5","0x1","0x7","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0xd","0x18","0x3","0x8","1","5","0x0","0x6","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0xbe","0x2a","0x0","0xc","17","13","0x11","0xd","0x1c","0x28","0x0","0x0","0x3","0x3","0x9","0x20"
"0x20","0xc9","0x38","0xbe","0x1d","16","14","0x10","0xe","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0xc9","0x38","0xbe","0x1d","18","14","0x12","0xe","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x22","0xc7","0xe","0xbe","0x15","13","3","0xd","0x3","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x23","0xc7","0xa","0xbe","0x1d","10","9","0xa","0x9","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x24","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0xbf","0x39","0xbe","0xd","1","14","0x1","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0xc9","0x38","0xbe","0x15","1","1","0x1","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0xbf","0x39","0xbe","0xd","7","5","0x7","0x5","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x29","0xc4","0x28","0xbe","0xd","14","7","0xe","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0xbf","0x39","0xbe","0x15","9","13","0x9","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2c","0xc2","0x18","0xbe","0xd","18","1","0x12","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x2c","0x14","0x3","0x60","4","6","0x2","0x8","0x14","0x1f","0x6b","0x64","0x0","0x0","0x0","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
