"0xce0898","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x7","0x0","0xa1","12","16","0xc","0x10","0x9","0x84","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x9","0x0","0x79","13","17","0xd","0x11","0xb","0x85","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2d","0x8","0x0","0xa1","11","17","0xb","0x11","0xc","0x8c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x4","0xa","0x0","0xa1","12","20","0xc","0x14","0xb","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0xe","0x19","0x0","0xa1","10","22","0xa","0x16","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x11","0x1d","0x0","0xa1","13","21","0xd","0x15","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x13","0x20","0x0","0xa1","14","22","0xe","0x16","0x38","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0xb","0x14","0x0","0xa1","11","22","0xb","0x16","0x14","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x8","0x12","0x0","0xa1","11","21","0xb","0x15","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x23","0x3c","0x0","0x79","14","20","0xe","0x14","0xd","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x27","0x42","0x0","0xa0","12","22","0xc","0x16","0x3c","0x86","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x26","0x41","0x0","0xa0","14","21","0xe","0x15","0x3c","0x86","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x1","0x7","0x0","0xa1","12","9","0xc","0x9","0x9","0x84","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x2","0x9","0x0","0x79","11","10","0xb","0xa","0xb","0x85","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x2d","0x8","0x0","0xa1","13","10","0xd","0xa","0xc","0x8c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x4","0xa","0x0","0xa1","10","11","0xa","0xb","0xb","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0xe","0x19","0x0","0xa1","14","11","0xe","0xb","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x11","0x1d","0x0","0xa1","13","12","0xd","0xc","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
