"0xcdfe84","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x7","0x0","0x41","8","19","0x8","0x13","0x4","0x9","0x10","0x16","0x0","0x0","0x0","0x0"
"0x1","0x2","0x9","0x0","0x29","7","20","0x7","0x14","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x8","0x0","0x41","9","20","0x9","0x14","0xa","0x4","0x2d","0xb","0x0","0x0","0x0","0x0"
"0x3","0x27","0x42","0x0","0xa0","9","19","0x9","0x13","0x3c","0x86","0x84","0x85","0x0","0x0","0x0","0x0"
"0x4","0x26","0x41","0x0","0x41","8","20","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x31","0x33","0x0","0x61","6","21","0x6","0x15","0x19","0x1a","0x1e","0x1c","0x0","0x0","0x0","0x0"
"0x6","0xe","0x1b","0x0","0x71","8","21","0x8","0x15","0x30","0x2e","0x31","0x33","0x0","0x0","0x0","0x0"
"0x7","0x16","0x26","0x0","0x79","10","21","0xa","0x15","0x45","0x46","0x48","0x4b","0x0","0x0","0x0","0x0"
"0x8","0x30","0x2a","0x0","0x71","7","22","0x7","0x16","0x17","0x4","0x1d","0xd","0x0","0x0","0x0","0x0"
"0x9","0x1b","0x2d","0x0","0x51","9","22","0x9","0x16","0x4c","0x4d","0x4f","0x4e","0x0","0x0","0x0","0x0"
"0xa","0x15","0x22","0x0","0x71","6","23","0x6","0x17","0x3b","0x3a","0x4c","0x4d","0x0","0x0","0x0","0x0"
"0xb","0x22","0x3b","0x0","0x41","8","23","0x8","0x17","0x21","0x2b","0x29","0x24","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x1","0x7","0x0","0x41","8","19","0x8","0x13","0x4","0x9","0x10","0x16","0x0","0x0","0x0","0x0"
"0xe","0x2","0x9","0x0","0x29","7","20","0x7","0x14","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0xf","0x2d","0x8","0x0","0x41","9","20","0x9","0x14","0xa","0x4","0x2d","0xb","0x0","0x0","0x0","0x0"
"0x10","0x27","0x42","0x0","0xa0","9","19","0x9","0x13","0x3c","0x86","0x84","0x85","0x0","0x0","0x0","0x0"
"0x11","0x26","0x41","0x0","0x41","8","20","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x31","0x33","0x0","0x61","6","21","0x6","0x15","0x19","0x1a","0x1e","0x1c","0x0","0x0","0x0","0x0"
