"0xce1384","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x90","0","2","0x0","0x2","0x9","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x1","0x13","0x20","0x1","0x88","0","6","0x0","0x6","0x37","0x38","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x2","0xf","0x1a","0x1","0x70","1","6","0x1","0x6","0x2e","0x33","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x3","0x1b","0x2c","0x1","0x98","1","7","0x1","0x7","0x55","0x4b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x4","0x21","0x36","0x1","0x70","8","3","0x8","0x3","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5","0x25","0x40","0x1","0x50","9","3","0x9","0x3","0x7c","0x7d","0x7e","0x7f","0x0","0x0","0x0","0x0"
"0x6","0x9","0x12","0x1","0x60","8","4","0x8","0x4","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x6","0x1","0x70","9","4","0x9","0x4","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x39","0x3d","0x1","0x70","5","8","0x5","0x8","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x24","0x3e","0x1","0x70","6","7","0x6","0x7","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x28","0x44","0x1","0x28","6","3","0x6","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1f","0x32","0x1","0x50","0","6","0x0","0x6","0x14","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0xd","0x4","0xa","0x1","0x50","0","3","0x0","0x3","0x5","0xe","0x79","0x7a","0x0","0x0","0x0","0x0"
"0xe","0x6","0xe","0x1","0x50","0","4","0x0","0x4","0xd","0x1","0x79","0x7a","0x0","0x0","0x0","0x0"
"0xf","0x5","0x13","0x1","0x50","0","7","0x0","0x7","0x24","0x1f","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x10","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x40","0x16","0x0","0x64","13","4","0xd","0x4","0x20","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x13","0x88","0x2c","0x40","0x8d","10","4","0xa","0x4","0x16","0x50","0x0","0x0","0x0","0x3","0x1","0x0"
"0x14","0x88","0x2c","0x40","0xa5","10","6","0xa","0x6","0x16","0x4f","0x0","0x0","0x0","0x3","0x1","0x0"
"0x15","0x88","0x10","0x40","0x7c","9","5","0x9","0x5","0x1","0x0","0x0","0x0","0x0","0x6","0x29","0x0"
"0x16","0x88","0x14","0x40","0x95","9","7","0x9","0x7","0x16","0x1c","0x0","0x0","0x0","0x3","0x1","0x0"
"0x17","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x1","0x1","0x0","0x78","2","4","0x2","0x4","0x9","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x19","0x2","0x3","0x0","0x78","3","4","0x3","0x4","0x20","0x28","0x27","0x7a","0x0","0x0","0x0","0x0"
"0x1a","0x2d","0x2","0x0","0x78","4","4","0x4","0x4","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x1b","0x4","0xa","0x0","0x78","5","4","0x5","0x4","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x1c","0x5","0x13","0x0","0x78","6","4","0x6","0x4","0x20","0x28","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x1d","0x6","0xe","0x0","0x78","7","4","0x7","0x4","0x5","0x1","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x1e","0x7","0x10","0x0","0x78","8","4","0x8","0x4","0x5","0xb","0x1","0x7a","0x0","0x0","0x0","0x0"
"0x1f","0x8","0x12","0x0","0x78","9","4","0x9","0x4","0x25","0x1f","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x20","0x9","0x12","0x0","0x78","10","4","0xa","0x4","0x1f","0x28","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x21","0xb","0x14","0x0","0x78","11","4","0xb","0x4","0x16","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x22","0xe","0x19","0x0","0x78","12","4","0xc","0x4","0x2d","0x33","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x23","0xf","0x1b","0x0","0x78","13","4","0xd","0x4","0x2e","0x33","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x24","0x10","0x1c","0x0","0x78","14","4","0xe","0x4","0x3e","0x39","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x25","0x11","0x1d","0x0","0x78","2","5","0x2","0x5","0x55","0x57","0x7a","0x0","0x0","0x0","0x0","0x0"
"0x26","0x12","0x1e","0x0","0x78","3","5","0x3","0x5","0x3f","0x40","0x41","0x42","0x0","0x0","0x0","0x0"
"0x27","0x13","0x20","0x0","0x78","4","5","0x4","0x5","0x38","0x37","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x28","0x14","0x21","0x0","0x78","5","5","0x5","0x5","0x38","0x37","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x29","0x15","0x22","0x0","0x78","6","5","0x6","0x5","0x3a","0x39","0x3b","0x7a","0x0","0x0","0x0","0x0"
"0x2a","0x19","0x28","0x0","0x78","7","5","0x7","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x2b","0x1a","0x2a","0x0","0x78","8","5","0x8","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x2c","0x1b","0x2c","0x0","0x78","9","5","0x9","0x5","0x4b","0x55","0x57","0x7a","0x0","0x0","0x0","0x0"
"0x2d","0x31","0x32","0x0","0x78","10","5","0xa","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x2e","0x1e","0x32","0x0","0x78","11","5","0xb","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x2f","0x1f","0x32","0x0","0x78","12","5","0xc","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x30","0x25","0x40","0x0","0x78","13","5","0xd","0x5","0x7c","0x7d","0x7e","0x7f","0x0","0x0","0x0","0x0"
"0x31","0x26","0x41","0x0","0x78","14","5","0xe","0x5","0x7c","0x7d","0x7e","0x7f","0x0","0x0","0x0","0x0"
"0x32","0x28","0x44","0x0","0x28","15","5","0xf","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x3a","0x26","0x0","0x64","1","8","0x1","0x8","0x46","0x4a","0x0","0x0","0x3","0x3","0x9","0x0"
"0x35","0x3b","0x43","0x0","0x64","2","8","0x2","0x8","0x37","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x36","0x3c","0x39","0x0","0x64","3","8","0x3","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x37","0x3d","0x14","0x0","0x64","4","8","0x4","0x8","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x38","0x3f","0x12","0x0","0x64","5","8","0x5","0x8","0x25","0x1f","0x0","0x0","0x3","0x3","0x9","0x0"
"0x39","0x40","0x14","0x0","0x64","6","8","0x6","0x8","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
