"0xbdce18","Name","Description","Character ID","Class ID (support viewer only)","Portrait ID","Mini Portrait","Affinity","Sort Order","Level","HP Base","Strength/Magic Base","Skill Base","Speed","Defense Base","Resistance Base","Luck Base","Constitution Bonus","Sword Rank","Lance Rank","Axe Rank","Bow Rank","Staff Rank","Anima Rank","Light Rank","Dark Rank","HP Growth","Strength/Magic Growth","Skill Growth","Speed Growth","Defense Growth","Resistance Growth","Luck Growth","Battle Palette T1","Battle Palette T2","Unique Battle Anim T1","Unique Battle Anim T2","Zero","Ability Bitfield","Support Pointer","Conversation Group","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)"
"0x00 None","0xb8dd","0x806","0x0","0x0","0x0","0","0","0","0","25","0","0","0","0","0","0","0","3","0","0","0","253","184","6","8","3","0","0","0","41","-71","6","0x8","0x3","0x0","0x0","0x0","0x806b98d","0x0","0","0x0","0x0","0x0"
"0x01 Eliwood","0x4dc","0x1af","0x1","0x1","0x2","0","7","1","1","0","0","0","0","0","0","7","0","71","0","0","0","0","0","0","0","80","45","50","40","30","35","45","0x2b","0x38","0x0","0x0","0x0","0x0","0x8c98b18","0","0x0","0x0","0x0"
"0x02 Hector","0x4dd","0x1b0","0x2","0x3","0xc","0","2","2","1","0","0","0","0","0","0","3","0","0","0","71","0","0","0","0","0","90","60","45","35","50","25","30","0x37","0x36","0x0","0x0","0x0","0x0","0x8c98b30","2","0x0","0x0","0x0"
"0x03 Lyn (tutorial)","0x4de","0x1b1","0x3","0x2","0x16","0","3","3","1","0","0","0","0","0","0","5","0","31","0","0","0","0","0","0","0","70","40","60","60","20","30","55","0x1","0x1b","0x0","0x0","0x0","0x4000","0x0","7","0x0","0x0","0x0"
"0x04 Raven","0x4df","0x1b4","0x4","0xa","0x23","0","4","8","1","7","4","3","5","1","1","2","-1","71","0","0","0","0","0","0","0","85","55","40","45","25","15","35","0x3d","0x1e","0x0","0xd","0x0","0x0","0x8c98b60","1","0x0","0x0","0x0"
"0x05 Geitz","0x4e0","0x1b5","0x5","0x13","0x24","0","2","5","3","12","9","7","7","6","3","10","0","0","0","121","121","0","0","0","0","85","50","30","40","20","20","40","0x0","0x73","0x0","0x0","0x0","0x0","0x8c98bf0","2","0x0","0x0","0x0"
"0x06 Guy","0x4e1","0x1b6","0x6","0xe","0x2c","0","1","6","1","5","2","2","2","3","0","5","-3","71","0","0","0","0","0","0","0","75","30","50","70","15","25","45","0x40","0x67","0xe","0xf","0x0","0x0","0x8c98b90","5","0x0","0x0","0x0"
"0x07 Karel","0x4e2","0x1b7","0x7","0x10","0x26","0","6","7","1","10","10","12","10","8","10","15","0","181","0","0","0","0","0","0","0","70","30","50","50","10","15","30","0x0","0x68","0x0","0x0","0x0","0x0","0x8c98ba8","1","0x0","0x0","0x0"
"0x08 Dorcas","0x4e3","0x1b2","0x8","0x12","0x27","0","1","8","3","10","2","5","2","1","0","3","3","0","0","71","0","0","0","0","0","80","60","40","20","25","15","45","0x30","0x72","0x0","0x0","0x0","0x0","0x8c98bc0","1","0x0","0x0","0x0"
"0x09 Bartre","0x4e4","0x1b3","0x9","0x12","0x28","0","2","9","2","9","4","3","-1","2","0","4","2","0","0","31","0","0","0","0","0","85","50","35","40","30","25","30","0x2f","0x70","0x0","0x0","0x0","0x0","0x8c98bd8","4","0x0","0x0","0x0"
"0x0A Citizen","0x54b","0x54b","0xa","0x47","0x0","6","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
