"0xc9c9cc","Pointer"
"0x01 Sacae Plains","0x834c74c"
"0x02 Sacae Plains: Light Sand Palette","0x8362e78"
"0x03 Sacae Plains Config","0x835ee10"
"0x04 Prologue Map","0x836af00"
"0x05 Water (Fields; Plains; M&S) Tile Anim","0x8b95d38"
"0x06 Prologue Events","0x8ca0720"
"0x07 Sacae Plains: Dark Sand Palette","0x8362d38"
"0x08 Ch.1 Map","0x836ae00"
"0x09 Ch.1 Events","0x8ca0974"
"0x0A Plains&Castle","0x83464f0"
"0x0B Plains&Castle: Bright Palette","0x8362bf8"
"0x0C Plains&Castle Config","0x835db50"
"0x0D Ch.2 Map","0x836ace4"
"0x0E Ch.2 Map Changes","0x8ce1d20"
"0x0F Ch.2 Events","0x8ca0b08"
"0x10 Town&Docks","0x833f2c8"
"0x11 Town: Cliffs&stone road unusable Palette","0x8362ab8"
"0x12 Town&Docks Config","0x835c63c"
"0x13 Ch.3 Map","0x836abac"
"0x14 Ch.3 Map Changes","0x8ce1d6c"
"0x15 Ch.3 Events","0x8ca0ca4"
"0x16 Fortress&Fields","0x833bc70"
"0x17 Fortress&Fields: Dawn Palette","0x8362978"
"0x18 Fortress&Fields Config","0x835b72c"
"0x19 Ch.4 Map","0x836aa64"
"0x1A Ch.4 Map Changes","0x8ce1db8"
"0x1B Ch.4 Events","0x8ca0ea8"
"0x1C Fields","0x836b01c"
"0x1D Fields","0x836ec28"
"0x1E Fields: Sunny weather Palette","0x8362838"
"0x1F Fields Config","0x8359f3c"
"0x20 Ch.5 Map","0x836a940"
"0x21 Ch.5 Events","0x8ca1030"
"0x22 Town: Cliffs&ship unusable Palette","0x83626f8"
"0x23 Ch.6 Map","0x836a7b4"
"0x24 Ch.6 Map Changes","0x8ce1ec0"
"0x25 Ch.6 Events","0x8ca1270"
"0x26 Ch.7 Map","0x836a5b0"
"0x27 Ch.7 Map Changes","0x8ce1f88"
"0x28 Ch.7 Events","0x8ca13a0"
"0x29 Plains&Castle: Neutral Palette","0x83625b8"
"0x2A Ch.7x Map","0x836a48c"
"0x2B Ch.7x Map Changes","0x8ce1fe4"
"0x2C Ch.7x Events","0x8ca146c"
"0x2D Ch.8 Map","0x836a2ac"
"0x2E Ch.8 Map Changes","0x8ce2058"
"0x2F Ch.8 Events","0x8ca1538"
"0x30 Ch.9 Map","0x836a0a8"
"0x31 Ch.9 Map Changes","0x8ce2090"
"0x32 Ch.9 Events","0x8ca1654"
"0x33 Fields: Darker; suitable for rain Palette","0x8362478"
"0x34 Ch.10 Map","0x8369e54"
"0x35 Ch.10 Map Changes","0x8ce20d4"
"0x36 Ch.10 Events","0x8ca18b0"
"0x37 Ch.11E Map","0x8369c90"
"0x38 Ch.11E Map Changes","0x8ce2114"
"0x39 Ch.11E Events","0x8ca1974"
"0x3A Plains&Castle: Castle Ostia/Laus Palette","0x8362338"
"0x3B Ch.11H Map","0x8369bb0"
"0x3C Ch.11H Map Changes","0x8ce2158"
"0x3D Ch.11H Events","0x8ca1a34"
"0x3E Ch.12 Map","0x83699ac"
"0x3F Ch.12 Map Changes","0x8ce21e4"
"0x40 Ch.12 Events","0x8ca1b84"
"0x41 Ch.13 Map","0x8369750"
"0x42 Ch.13 Map Changes","0x8ce2244"
"0x43 Ch.13 Events","0x8ca1d58"
"0x44 Fields: Night Palette","0x83621f8"
"0x45 Ch.13x Map","0x836959c"
"0x46 Ch.13x Map Changes","0x8ce22ec"
"0x47 Ch.13x Events","0x8ca1ecc"
"0x48 Fields: Darker; suitable for rain Palette","0x83620b8"
"0x49 Ch.14 Map","0x836927c"
"0x4A Ch.14 Map Changes","0x8ce238c"
"0x4B Ch.14 Events","0x8ca21c0"
"0x4C Ch.15H Map","0x836913c"
"0x4D Ch.15H Map Changes","0x8ce23e0"
"0x4E Ch.15H Events","0x8ca2304"
"0x4F Ch.15/16 Map","0x8368e68"
"0x50 Ch.15/16 Map Changes","0x8ce245c"
"0x51 Ch.15/16 Events","0x8ca2604"
"0x52 Plains&Castle: Castle Caelin Palette","0x8361f78"
"0x53 Ch.16/17 Map","0x8368c98"
"0x54 Ch.16/17 Map Changes","0x8ce24bc"
"0x55 Ch.16/17 Events","0x8ca2908"
"0x56 Town: Ship&stone road unusable Palette","0x8361e38"
"0x57 Ch.16x/17x Map","0x8368a6c"
"0x58 Water (Town&Docks) Tile Anim","0x8b95e08"
"0x59 Ch.16x/17x Map Changes","0x8ce254c"
"0x5A Ch.16x/17x Events","0x8ca2a58"
"0x5B Ship","0x8336f24"
"0x5C Ship Palette","0x8361cf8"
"0x5D Ship Config","0x8359304"
"0x5E Ch.17/18 Map","0x836889c"
"0x5F Water (Ship) Tile Anim","0x8b95dc0"
"0x60 Ch.17/18 Map Changes","0x8ce27f0"
"0x61 Ch.17/18 Events","0x8ca2c98"
"0x62 Fields: Dull; suitable for fog Palette","0x8361bb8"
"0x63 Ch.18/19 Map","0x8368650"
"0x64 Ch.18/19 Map Changes","0x8ce2834"
"0x65 Ch.18/19 Events","0x8ca2db0"
"0x66 Fields: Sunny weather Palette","0x8361a78"
"0x67 Ch.18x/19x Map","0x8368438"
"0x68 Ch.18x/19x Map Changes","0x8ce2874"
"0x69 Ch.18x/19x Events","0x8ca2ef8"
"0x6A Mountains&Shrine","0x8330140"
"0x6B Mountains&Shrine: Neutral Palette","0x8361938"
"0x6C Mountains&Shrine Config","0x835801c"
"0x6D Ch.19x pt2 Map","0x836821c"
"0x6E Ch.19x pt2 Map Changes","0x8ce28ac"
"0x6F Ch.19x pt2 Events","0x8ca2fd0"
"0x70 Ch.19/20 Map","0x8367fac"
"0x71 Ch.19/20 Map Changes","0x8ce2968"
"0x72 Ch.19/20 Events","0x8ca34ec"
"0x73 Town: Night Palette","0x83617f8"
"0x74 Ch.20/21 Map","0x8367d3c"
"0x75 Ch.20/21 Map Changes","0x8ce2a70"
"0x76 Ch.20/21 Events","0x8ca3798"
"0x77 Fortress&Fields: Daytime Palette","0x83616b8"
"0x78 Ch.21/22 Map","0x8367a80"
"0x79 Ch.21/22 Map Changes","0x8ce2b04"
"0x7A Ch.21/22 Events","0x8ca3b20"
"0x7B Desert","0x8329534"
"0x7C Desert Palette","0x8361578"
"0x7D Desert Config","0x8356fd0"
"0x7E Ch.22/23 Map","0x836785c"
"0x7F Ch.22/23 Events","0x8ca3d7c"
"0x80 Plains&Castle: Green&blue Palette","0x8361438"
"0x81 Ch.22x/23x Map","0x836768c"
"0x82 Ch.22x/23x Map Changes","0x8ce2bf4"
"0x83 Ch.22x/23x Events","0x8ca3e98"
"0x84 Ch.23/24 Map (Lloyd)","0x8367324"
"0x85 Ch.23/24 Map Changes (Lloyd)","0x8ce2d30"
"0x86 Ch.23/24 (Lloyd) Events","0x8ca4260"
"0x87 Ch.23/24 Map (Linus)","0x8367064"
"0x88 Ch.23/24 Map Changes (Linus)","0x8ce2da4"
"0x89 Ch.23/24 (Linus) Events","0x8ca4570"
"0x8A Fields: Neutral Palette","0x83612f8"
"0x8B Ch.25H Map","0x8366d04"
"0x8C Ch.25H Map Changes","0x8ce2e0c"
"0x8D Ch.25H Events","0x8ca478c"
"0x8E Ch.24/26 Map","0x8366950"
"0x8F Ch.24/26 Map Changes","0x8ce2e44"
"0x90 Ch.24/26 Events","0x8ca4950"
"0x91 Snow","0x83230bc"
"0x92 Snow Palette","0x83611b8"
"0x93 Snow Config","0x835580c"
"0x94 Ch.25/27 Map (Kenneth)","0x8366608"
"0x95 Ch.25/27 Map Changes (Kenneth)","0x8ce2e78"
"0x96 Ch.25/27 (Kenneth) Events","0x8ca4d2c"
"0x97 Ch.25/27 Map (Jerme)","0x8366378"
"0x98 Shimmering ice (Snow) Tile Anim","0x8b95fe0"
"0x99 Ch.25/27 Map Changes (Jerme)","0x8ce3178"
"0x9A Ch.25/27 (Jerme) Events","0x8ca50e0"
"0x9B Plains&Castle: Night Palette","0x8361078"
