"0xc999c0","Weapon","No. of Chars to Display (1 or 2)","Animation Used","##UNKNOWN##","Alternate Pointer","Return to original position (map)","Facing position (map)","Enemy's flashing colour (map)","##UNKNOWN##"
"0x0","0x1","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1","0x5","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2","0x3","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x3","0x4","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x4","0x2","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5","0x8","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x6","0xb","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x7","0x10","2","0x1f","0x0","0x0","0x1","0x0","0x5","0x0"
"0x8","0x84","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x9","0xe","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0xa","0x9","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0xb","0xa","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0xc","0x8c","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0xd","0xd","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0xe","0x12","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0xf","0x13","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x10","0xc","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x11","0x14","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x12","0x16","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x13","0x17","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x14","0x15","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x15","0x18","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x16","0x19","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x17","0x1c","2","0x3","0x0","0x0","0x1","0x0","0x0","0x0"
"0x18","0x1b","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x19","0x1a","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1a","0x1e","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1b","0x94","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1c","0x95","2","0x3","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1d","0x91","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1e","0x1f","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1f","0x20","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x20","0x21","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x21","0x22","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x22","0x23","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x23","0x28","2","0x1","0x0","0x0","0x1","0x0","0x0","0x0"
"0x24","0x85","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x25","0x26","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x26","0x24","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x27","0x2b","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x28","0x2a","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x29","0x27","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2a","0x25","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2b","0x8d","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2c","0x92","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2d","0x90","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2e","0x2c","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2f","0x2d","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x30","0x2e","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x31","0x2f","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x32","0x30","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x33","0x31","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x34","0x32","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x35","0x33","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x36","0x93","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x37","0x34","2","0x10","0x0","0x0","0x1","0x0","0x0","0x0"
"0x38","0x35","2","0x10","0x0","0x0","0x1","0x0","0x0","0x0"
"0x39","0x36","2","0x10","0x0","0x0","0x1","0x0","0x0","0x0"
"0x3a","0x37","2","0x16","0x0","0x0","0x1","0x0","0x2","0x0"
"0x3b","0x38","2","0x19","0x0","0x0","0x1","0x0","0x0","0x0"
"0x3c","0x3b","2","0x1b","0x0","0x0","0x1","0x0","0x4","0x0"
"0x3d","0x39","2","0x17","0x0","0x0","0x1","0x0","0x2","0x0"
"0x3e","0x48","2","0x25","0x0","0x0","0x1","0x0","0x1","0x0"
"0x3f","0x3a","2","0x1a","0x0","0x0","0x1","0x0","0x0","0x0"
"0x40","0x3c","2","0x18","0x0","0x0","0x1","0x0","0x2","0x0"
"0x41","0x3e","2","0x1f","0x0","0x0","0x1","0x0","0x5","0x0"
"0x42","0x40","2","0x22","0x0","0x0","0x1","0x0","0x5","0x0"
"0x43","0x41","2","0x20","0x0","0x0","0x1","0x0","0x5","0x0"
"0x44","0x44","2","0x1d","0x0","0x0","0x1","0x0","0x1","0x0"
"0x45","0x46","2","0x1e","0x0","0x0","0x1","0x0","0x1","0x0"
"0x46","0x47","2","0x24","0x0","0x0","0x1","0x0","0x1","0x0"
"0x47","0x4a","2","0x26","0x0","0x8c9e1fc","0x1","0x0","0x0","0x0"
"0x48","0x4b","2","0x27","0x0","0x8c9e264","0x1","0x0","0x0","0x0"
"0x49","0x4c","2","0x28","0x0","0x8c9e2cc","0x1","0x0","0x0","0x0"
"0x4a","0x4d","2","0x29","0x0","0x8c9e334","0x1","0x0","0x0","0x0"
"0x4b","0x4e","1","0x2a","0x0","0x8c9e044","0x0","0x1","0x0","0x0"
"0x4c","0x53","2","0xfffe","0x0","0x8c9e8a4","0x0","0x0","0x0","0x0"
"0x4d","0x54","2","0xfffe","0x0","0x8c9e8a4","0x0","0x0","0x0","0x0"
"0x4e","0x4f","2","0x2c","0x0","0x8c9e64c","0x0","0x0","0x0","0x0"
"0x4f","0x50","2","0x2d","0x0","0x8c9e5ac","0x0","0x0","0x0","0x0"
"0x50","0x51","2","0x2e","0x0","0x8c9e50c","0x0","0x0","0x0","0x0"
"0x51","0x55","1","0xfffe","0x0","0x8c9e39c","0x0","0x1","0x0","0x0"
"0x52","0x56","2","0x2f","0x0","0x8c9e6d4","0x0","0x0","0x0","0x0"
"0x53","0x52","2","0x30","0x0","0x8c9e46c","0x0","0x0","0x0","0x0"
"0x54","0x57","1","0xfffe","0x0","0x8c9e3e4","0x0","0x2","0x0","0x0"
"0x55","0x58","2","0x31","0x0","0x8c9e81c","0x0","0x0","0x0","0x0"
"0x56","0x63","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x57","0x64","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x58","0x65","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x59","0x66","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5a","0x67","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5b","0x87","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5c","0x89","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5d","0x8b","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5e","0x96","2","0x32","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5f","0x6b","1","0xfffe","0x0","0x8c9e1a4","0x1","0x1","0x0","0x0"
"0x60","0x9a","1","0xfffe","0x0","0x8c9e1a4","0x1","0x1","0x0","0x0"
"0x61","0x6c","1","0xfffe","0x0","0x8c9e14c","0x1","0x1","0x0","0x0"
"0x62","0x6d","1","0xfffe","0x0","0x8c9e104","0x0","0x1","0x0","0x0"
"0x63","0x6f","1","0xfffe","0x0","0x8c9e39c","0x0","0x1","0x0","0x0"
"0x64","0x6e","1","0xfffe","0x0","0x8c9e0bc","0x0","0x1","0x0","0x0"
"0x65","0x6","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x66","0x7","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x67","0xf","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x68","0x11","2","0x1e","0x0","0x0","0x1","0x0","0x0","0x0"
"0x69","0x1d","2","0x3","0x0","0x0","0x1","0x0","0x0","0x0"
"0x6a","0x77","2","0x3","0x0","0x0","0x1","0x0","0x0","0x0"
"0x6b","0x29","2","0x1","0x0","0x0","0x1","0x0","0x0","0x0"
