"0xfff2a0","HP Bonus","STR/MGC Bonus","SKL Bonus","SPD Bonus","DEF Bonus","MDF Bonus","LCK Bonus","##UNKNOWN##"
"FFF2A0 Pointer - 0x8FFF2A0","0","0","0","0","0","0","0","0x0"
"FFF2A8 Pointer - 0x8FFF2A8","0","0","0","0","0","0","0","0x0"
"FFF2B0 Pointer - 0x8FFF2B0","0","0","0","0","0","0","0","0x0"
"FFF2B8 Pointer - 0x8FFF2B8","0","0","0","0","0","0","0","0x0"
"FFF2C0 Pointer - 0x8FFF2C0","0","0","0","0","0","0","0","0x0"
"FFF2C8 Pointer - 0x8FFF2C8","0","0","0","0","0","0","0","0x0"
"FFF2D0 Pointer - 0x8FFF2D0","0","0","0","0","0","0","0","0x0"
"FFF2D8 Pointer - 0x8FFF2D8","0","0","0","0","0","0","0","0x0"
"FFF2E0 Pointer - 0x8FFF2E0","0","0","0","0","0","0","0","0x0"
"FFF2E8 Pointer - 0x8FFF2E8","0","0","0","0","0","0","0","0x0"
"FFF2F0 Pointer - 0x8FFF2F0","0","0","0","0","0","0","0","0x0"
"FFF2F8 Pointer - 0x8FFF2F8","0","0","0","0","0","0","0","0x0"
"FFF300 Pointer - 0x8FFF300","0","0","0","0","0","0","0","0x0"
"FFF308 Pointer - 0x8FFF308","0","0","0","0","0","0","0","0x0"
"FFF310 Pointer - 0x8FFF310","0","0","0","0","0","0","0","0x0"
"FFF318 Pointer - 0x8FFF318","0","0","0","0","0","0","0","0x0"
"FFF320 Pointer - 0x8FFF320","0","0","0","0","0","0","0","0x0"
"FFF328 Pointer - 0x8FFF328","0","0","0","0","0","0","0","0x0"
"FFF330 Pointer - 0x8FFF330","0","0","0","0","0","0","0","0x0"
"FFF338 Pointer - 0x8FFF338","0","0","0","0","0","0","0","0x0"
"FFF340 Pointer - 0x8FFF340","0","0","0","0","0","0","0","0x0"
"FFF348 Pointer - 0x8FFF348","0","0","0","0","0","0","0","0x0"
"FFF350 Pointer - 0x8FFF350","0","0","0","0","0","0","0","0x0"
"FFF358 Pointer - 0x8FFF358","0","0","0","0","0","0","0","0x0"
"FFF360 Pointer - 0x8FFF360","0","0","0","0","0","0","0","0x0"
"FFF368 Pointer - 0x8FFF368","0","0","0","0","0","0","0","0x0"
"FFF370 Pointer - 0x8FFF370","0","0","0","0","0","0","0","0x0"
"FFF378 Pointer - 0x8FFF378","0","0","0","0","0","0","0","0x0"
"FFF380 Pointer - 0x8FFF380","0","0","0","0","0","0","0","0x0"
"FFF388 Pointer - 0x8FFF388","0","0","0","0","0","0","0","0x0"
"FFF390 Pointer - 0x8FFF390","0","0","0","0","0","0","0","0x0"
"FFF398 Pointer - 0x8FFF398","0","0","0","0","0","0","0","0x0"
"FFF3A0 Pointer - 0x8FFF3A0","0","0","0","0","0","0","0","0x0"
"FFF3A8 Pointer - 0x8FFF3A8","0","0","0","0","0","0","0","0x0"
"FFF3B0 Pointer - 0x8FFF3B0","0","0","0","0","0","0","0","0x0"
"FFF3B8 Pointer - 0x8FFF3B8","0","0","0","0","0","0","0","0x0"
"FFF3C0 Pointer - 0x8FFF3C0","0","0","0","0","0","0","0","0x0"
"FFF3C8 Pointer - 0x8FFF3C8","0","0","0","0","0","0","0","0x0"
"FFF3D0 Pointer - 0x8FFF3D0","0","0","0","0","0","0","0","0x0"
"FFF3D8 Pointer - 0x8FFF3D8","0","0","0","0","0","0","0","0x0"
"FFF3E0 Pointer - 0x8FFF3E0","0","0","0","0","0","0","0","0x0"
"FFF3E8 Pointer - 0x8FFF3E8","0","0","0","0","0","0","0","0x0"
"FFF3F0 Pointer - 0x8FFF3F0","0","0","0","0","0","0","0","0x0"
"FFF3F8 Pointer - 0x8FFF3F8","0","0","0","0","0","0","0","0x0"
"FFF400 Pointer - 0x8FFF400","0","0","0","0","0","0","0","0x0"
"FFF408 Pointer - 0x8FFF408","0","0","0","0","0","0","0","0x0"
"FFF410 Pointer - 0x8FFF410","0","0","0","0","0","0","0","0x0"
"FFF418 Pointer - 0x8FFF418","0","0","0","0","0","0","0","0x0"
"FFF420 Pointer - 0x8FFF420","0","0","0","0","0","0","0","0x0"
"FFF428 Pointer - 0x8FFF428","0","0","0","0","0","0","0","0x0"
"FFF430 Pointer - 0x8FFF430","0","0","0","0","0","0","0","0x0"
"FFF438 Pointer - 0x8FFF438","0","0","0","0","0","0","0","0x0"
"FFF440 Pointer - 0x8FFF440","0","0","0","0","0","0","0","0x0"
"FFF448 Pointer - 0x8FFF448","0","0","0","0","0","0","0","0x0"
"FFF450 Pointer - 0x8FFF450","0","0","0","0","0","0","0","0x0"
"FFF458 Pointer - 0x8FFF458","0","0","0","0","0","0","0","0x0"
"FFF460 Pointer - 0x8FFF460","0","0","0","0","0","0","0","0x0"
"FFF468 Pointer - 0x8FFF468","0","0","0","0","0","0","0","0x0"
"FFF470 Pointer - 0x8FFF470","0","0","0","0","0","0","0","0x0"
"FFF478 Pointer - 0x8FFF478","0","0","0","0","0","0","0","0x0"
"FFF480 Pointer - 0x8FFF480","0","0","0","0","0","0","0","0x0"
"FFF488 Pointer - 0x8FFF488","0","0","0","0","0","0","0","0x0"
"FFF490 Pointer - 0x8FFF490","0","0","0","0","0","0","0","0x0"
"FFF498 Pointer - 0x8FFF498","0","0","0","0","0","0","0","0x0"
"FFF4A0 Pointer - 0x8FFF4A0","0","0","0","0","0","0","0","0x0"
"FFF4A8 Pointer - 0x8FFF4A8","0","0","0","0","0","0","0","0x0"
"FFF4B0 Pointer - 0x8FFF4B0","0","0","0","0","0","0","0","0x0"
"FFF4B8 Pointer - 0x8FFF4B8","0","0","0","0","0","0","0","0x0"
"FFF4C0 Pointer - 0x8FFF4C0","0","0","0","0","0","0","0","0x0"
"FFF4C8 Pointer - 0x8FFF4C8","0","0","0","0","0","0","0","0x0"
"FFF4D0 Pointer - 0x8FFF4D0","0","0","0","0","0","0","0","0x0"
"FFF4D8 Pointer - 0x8FFF4D8","0","0","0","0","0","0","0","0x0"
