0xc999c0,Weapon,No. of Chars to Display (1 or 2),Animation Used,##UNKNOWN##,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0x0,IronSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1,IronBlade,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2,SteelSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x3,SilverSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x4,SlimSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x5,PoisonSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x6,BraveSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7,LightBrand,2,0x1f,0x0,0x0,0x1,0x0,0x5,0x0
0x8,Durandal,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9,Armorslayer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xa,Rapier,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xb,ManiKatti,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xc,SolKatti,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xd,KillingEdge,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xe,Lancereaver,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xf,Longsword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x10,WoDao,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x11,IronLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x12,SteelLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x13,SilverLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x14,SlimLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x15,PoisonLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x16,BraveLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x17,Javelin,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x18,Horseslayer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x19,KillerLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,Axereaver,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,HeavySpear,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,ShortSpear,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,RexHasta,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,IronAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,SteelAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x20,SilverAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x21,PoisonAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x22,BraveAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x23,HandAxe,2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x24,Armads,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x25,Hammer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x26,KillerAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x27,Swordslayer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x28,Swordreaver,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x29,DevilAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,Halberd,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,WolfBeil,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,Basilikos,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2d,RegalBlade,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,IronBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,SteelBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x30,SilverBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x31,PoisonBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x32,KillerBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x33,BraveBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x34,ShortBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x35,Longbow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x36,Rienfleche,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x37,Ballista,2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
0x38,IronBallista,2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
0x39,KillerBallista,2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
0x3a,Fire,2,0x16,0x0,0x0,0x1,0x0,0x2,0x0
0x3b,Thunder,2,0x19,0x0,0x0,0x1,0x0,0x0,0x0
0x3c,Fimbulvetr,2,0x1b,0x0,0x0,0x1,0x0,0x4,0x0
0x3d,Elfire,2,0x17,0x0,0x0,0x1,0x0,0x2,0x0
0x3e,Fenrir,2,0x25,0x0,0x0,0x1,0x0,0x1,0x0
0x3f,Bolting,2,0x1a,0x0,0x0,0x1,0x0,0x0,0x0
0x40,Forblaze,2,0x18,0x0,0x0,0x1,0x0,0x2,0x0
