0xbe222c,Name,Description,Use Description,Item ID,Item/Weapon Type,Item Ability Bitfield,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Might,Hit%,Weight,Critical%,Min - Max Range,Cost Per Use (0 = Unsellable),Weapon Rank,Item Icon,Staff/Use Effect,Weapon Effect,Weapon Experience,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
0x00 None,0x0,0x0,0x0,0x0,0,0x0,0x0,0x0,0,0,0,0,0,0x0,0,0,0x0,0x0,0x0,0,0,0,0
0x01 Iron Sword,0x3f3,0x279,0x0,0x1,WSword,IsWeapon,0x0,0x0,46,5,90,5,0,0x11,10,ERank,0x0,0x0,0x0,1,1,0,0
0x02 Slim Sword,0x3f4,0x27a,0x0,0x2,WSword,IsWeapon,0x0,0x0,30,3,100,2,5,0x11,16,ERank,0x1,0x0,0x0,1,1,0,0
0x03 Steel Sword,0x3f5,0x27b,0x0,0x3,WSword,IsWeapon,0x0,0x0,30,8,75,10,0,0x11,20,DRank,0x2,0x0,0x0,1,1,0,0
0x04 Silver Sword,0x3f6,0x27c,0x0,0x4,WSword,IsWeapon,0x0,0x0,20,13,80,8,0,0x11,75,ARank,0x3,0x0,0x0,1,1,0,0
0x05 Iron Blade,0x3f7,0x27d,0x0,0x5,WSword,IsWeapon,0x0,0x0,35,9,70,12,0,0x11,28,DRank,0x4,0x0,0x0,2,1,0,0
0x06 Steel Blade,0x3f8,0x27e,0x0,0x6,WSword,IsWeapon,0x0,0x0,25,11,65,14,0,0x11,50,CRank,0x5,0x0,0x0,2,1,0,0
0x07 Silver Blade,0x3f9,0x27f,0x0,0x7,WSword,IsWeapon,0x0,0x0,15,14,60,13,0,0x11,120,ARank,0x6,0x0,0x0,2,1,0,0
0x08 Poison Sword,0x3fa,0x280,0x0,0x8,WSword,IsWeapon,0x0,0x0,40,3,70,6,0,0x11,0,DRank,0x7,0x0,0x1,1,1,0,0
0x09 Rapier,0x3fb,0x281,0x0,0x9,WSword,IsWeapon|EliwoodLock,0x0,EffRapier|IsPointer,40,7,95,5,10,0x11,150,NoRank,0x8,0x0,0x0,2,1,0,0
0x0A Mani Katti,0x3fc,0x282,0x0,0xa,WSword,IsWeapon|Unsellable|LynLock,0x0,EffRapier|IsPointer,45,8,80,3,20,0x11,0,NoRank,0x9,0x0,0x0,2,1,0,0
0x0B Brave Sword,0x3fe,0x284,0x0,0xb,WSword,IsWeapon|IsBrave,0x0,0x0,30,9,75,12,0,0x11,100,BRank,0xa,0x0,0x0,1,1,0,0
0x0C Wo Dao,0x3ff,0x285,0x0,0xc,WSword,IsWeapon|SwordmasterLock,0x0,0x0,20,8,75,5,35,0x11,60,DRank,0xb,0x0,0x0,1,1,0,0
0x0D Killing Edge,0x400,0x286,0x0,0xd,WSword,IsWeapon,0x0,0x0,20,9,75,7,30,0x11,65,CRank,0xc,0x0,0x0,1,1,0,0
0x0E Armorslayer,0x401,0x287,0x0,0xe,WSword,IsWeapon,0x0,EffArmor|IsPointer,18,8,80,11,0,0x11,70,DRank,0xd,0x0,0x0,1,1,0,0
0x0F Wyrmslayer,0x402,0x288,0x0,0xf,WSword,IsWeapon,0x0,EffDragon|IsPointer,20,7,75,5,0,0x11,150,CRank,0xe,0x0,0x0,1,1,0,0
0x10 Light Brand,0x403,0x289,0x0,0x10,WSword,IsWeapon|MagicDamage,0x0,0x0,25,9,70,9,0,0x12,50,CRank,0xf,0x0,0x0,1,1,0,0
0x11 Runesword,0x404,0x28a,0x0,0x11,WSword,IsWeapon|MagicDamage,0x0,0x0,15,12,65,11,0,0x12,220,ARank,0x10,0x0,0x2,1,1,0,0
0x12 Lancereaver,0x405,0x28b,0x0,0x12,WSword,IsWeapon|IsReaver,0x0,0x0,15,9,75,9,5,0x11,120,CRank,0x11,0x0,0x0,2,1,0,0
0x13 Longsword,0x406,0x28c,0x0,0x13,WSword,IsWeapon,0x0,EffHorse|IsPointer,18,6,85,11,0,0x11,70,DRank,0x12,0x0,0x0,1,1,0,0
0x14 Iron Lance,0x408,0x28f,0x0,0x14,WLance,IsWeapon,0x0,0x0,45,7,80,8,0,0x11,8,ERank,0x13,0x0,0x0,1,1,0,0
0x15 Slim Lance,0x409,0x290,0x0,0x15,WLance,IsWeapon,0x0,0x0,30,4,85,4,5,0x11,15,ERank,0x14,0x0,0x0,1,1,0,0
0x16 Steel Lance,0x40a,0x291,0x0,0x16,WLance,IsWeapon,0x0,0x0,30,10,70,13,0,0x11,16,DRank,0x15,0x0,0x0,2,1,0,0
0x17 Silver Lance,0x40b,0x292,0x0,0x17,WLance,IsWeapon,0x0,0x0,20,14,75,10,0,0x11,60,ARank,0x16,0x0,0x0,1,1,0,0
0x18 Poison Lance,0x40c,0x293,0x0,0x18,WLance,IsWeapon,0x0,0x0,40,4,65,8,0,0x11,0,ERank,0x17,0x0,0x1,1,1,0,0
0x19 Brave Lance,0x40d,0x294,0x0,0x19,WLance,IsWeapon|IsBrave,0x0,0x0,30,10,70,14,0,0x11,250,BRank,0x18,0x0,0x0,1,1,0,0
0x1A Killer Lance,0x40e,0x295,0x0,0x1a,WLance,IsWeapon,0x0,0x0,20,10,70,9,30,0x11,60,CRank,0x19,0x0,0x0,1,1,0,0
0x1B Horseslayer,0x40f,0x296,0x0,0x1b,WLance,IsWeapon,0x0,EffHorse|IsPointer,16,7,70,13,0,0x11,65,DRank,0x1a,0x0,0x0,1,1,0,0
0x1C Javelin,0x410,0x297,0x0,0x1c,WLance,IsWeapon,0x0,0x0,20,6,65,11,0,0x12,20,ERank,0x1b,0x0,0x0,1,1,0,0
0x1D Spear,0x411,0x298,0x0,0x1d,WLance,IsWeapon,0x0,0x0,15,12,70,10,5,0x12,600,BRank,0x1c,0x0,0x0,1,1,0,0
