"0xca5418","Type?","##UNKNOWN##","UNKNOWN","##UNKNOWN##","Chest/???","##UNKNOWN##","X Coordinate","Y Coordinate","Type","##UNKNOWN##"
"0x0","0x7","0x0","0xd","0x0","0x61","0x0","0x5","0xd","0x12","0x0"
"0x1","0x7","0x0","0xe","0x0","0x19","0x0","0x6","0xd","0x12","0x0"
"0x2","0x7","0x0","0xf","0x0","0x54","0x0","0x15","0xd","0x12","0x0"
"0x3","0x7","0x0","0x10","0x0","0x70","0x0","0x16","0xe","0x12","0x0"
"0x4","0x8","0x0","0x0","0x0","0x1","0x0","0x6","0x3","0x10","0x0"
"0x5","0x8","0x0","0x0","0x0","0x1","0x0","0x1a","0x6","0x10","0x0"
"0x6","0x8","0x0","0x0","0x0","0x1","0x0","0x5","0xf","0x10","0x0"
"0x7","0x8","0x0","0x0","0x0","0x1","0x0","0xd","0x12","0x10","0x0"
"0x8","0x8","0x0","0x0","0x0","0x1","0x0","0x15","0x10","0x10","0x0"
"0x9","0x8","0x0","0x0","0x0","0x1","0x0","0xe","0x12","0x10","0x0"
