"0xc99700","Unknown","##UNKNOWN##","Size","##UNKNOWN##","Poiner to graphics"
"0x0","0x2","0x0","0x1","0x0","0x83728f0"
"0x1","0x2","0x0","0x0","0x0","0x8372a7c"
"0x2","0x2","0x0","0x1","0x0","0x8372b98"
"0x3","0x2","0x0","0x1","0x0","0x8372d70"
"0x4","0x2","0x0","0x0","0x0","0x8372f60"
"0x5","0x2","0x0","0x1","0x0","0x837308c"
"0x6","0x2","0x0","0x0","0x0","0x8373270"
"0x7","0x2","0x0","0x2","0x0","0x83733a8"
"0x8","0x2","0x0","0x0","0x0","0x8373538"
"0x9","0x2","0x0","0x0","0x0","0x8373698"
"0xa","0x2","0x0","0x0","0x0","0x83737d4"
"0xb","0x2","0x0","0x0","0x0","0x83738e8"
"0xc","0x2","0x0","0x0","0x0","0x83739f8"
"0xd","0x2","0x0","0x0","0x0","0x8373ae0"
"0xe","0x2","0x0","0x1","0x0","0x8373bbc"
"0xf","0x2","0x0","0x1","0x0","0x8373ce8"
"0x10","0x2","0x0","0x0","0x0","0x8373e68"
"0x11","0x0","0x0","0x1","0x0","0x8373f74"
"0x12","0x2","0x0","0x0","0x0","0x8374114"
"0x13","0x2","0x0","0x0","0x0","0x837422c"
"0x14","0x2","0x0","0x0","0x0","0x8374340"
"0x15","0x2","0x0","0x0","0x0","0x8374484"
"0x16","0x2","0x0","0x0","0x0","0x83745a8"
"0x17","0x2","0x0","0x0","0x0","0x83746c4"
"0x18","0x2","0x0","0x0","0x0","0x8374800"
"0x19","0x2","0x0","0x0","0x0","0x8374954"
"0x1a","0x2","0x0","0x0","0x0","0x8374aac"
"0x1b","0x2","0x0","0x0","0x0","0x8374be4"
"0x1c","0x2","0x0","0x0","0x0","0x8374d24"
"0x1d","0x2","0x0","0x0","0x0","0x8374e80"
"0x1e","0x2","0x0","0x0","0x0","0x8374fe0"
"0x1f","0x2","0x0","0x0","0x0","0x8375138"
"0x20","0x2","0x0","0x0","0x0","0x837527c"
"0x21","0x2","0x0","0x0","0x0","0x83753f0"
"0x22","0x2","0x0","0x1","0x0","0x837553c"
"0x23","0x2","0x0","0x1","0x0","0x83756f8"
"0x24","0x2","0x0","0x1","0x0","0x83758c8"
"0x25","0x2","0x0","0x1","0x0","0x8375a84"
"0x26","0x2","0x0","0x1","0x0","0x8375c34"
"0x27","0x2","0x0","0x1","0x0","0x8375e04"
"0x28","0x2","0x0","0x1","0x0","0x8375fe0"
"0x29","0x2","0x0","0x1","0x0","0x83761bc"
"0x2a","0x2","0x0","0x1","0x0","0x83763a0"
"0x2b","0x2","0x0","0x1","0x0","0x8376544"
"0x2c","0x2","0x0","0x1","0x0","0x83766f0"
"0x2d","0x2","0x0","0x1","0x0","0x83768e4"
"0x2e","0x2","0x0","0x0","0x0","0x8376ad8"
"0x2f","0x2","0x0","0x1","0x0","0x8376c2c"
"0x30","0x2","0x0","0x0","0x0","0x8376da0"
"0x31","0x2","0x0","0x1","0x0","0x8376f1c"
"0x32","0x2","0x0","0x0","0x0","0x83770f4"
"0x33","0x2","0x0","0x0","0x0","0x8377230"
"0x34","0x2","0x0","0x0","0x0","0x8377360"
"0x35","0x2","0x0","0x0","0x0","0x837749c"
"0x36","0x2","0x0","0x0","0x0","0x8377524"
"0x37","0x2","0x0","0x0","0x0","0x837763c"
"0x38","0x2","0x0","0x1","0x0","0x837773c"
"0x39","0x2","0x0","0x0","0x0","0x8377848"
"0x3a","0x2","0x0","0x1","0x0","0x8377940"
"0x3b","0x3","0x0","0x1","0x0","0x8377a34"
"0x3c","0x3","0x0","0x2","0x0","0x8377bf0"
"0x3d","0x2","0x0","0x0","0x0","0x8377fb0"
"0x3e","0x2","0x0","0x0","0x0","0x8378090"
"0x3f","0x2","0x0","0x0","0x0","0x8378174"
"0x40","0x2","0x0","0x1","0x0","0x83781f8"
"0x41","0x2","0x0","0x0","0x0","0x8378380"
"0x42","0x2","0x0","0x1","0x0","0x837845c"
"0x43","0x2","0x0","0x0","0x0","0x8378570"
"0x44","0x2","0x0","0x0","0x0","0x8378648"
"0x45","0x2","0x0","0x0","0x0","0x83786fc"
"0x46","0x2","0x0","0x0","0x0","0x8378794"
"0x47","0x2","0x0","0x0","0x0","0x8378850"
"0x48","0x2","0x0","0x0","0x0","0x83788dc"
"0x49","0x2","0x0","0x0","0x0","0x8378990"
"0x4a","0x2","0x0","0x2","0x0","0x8378a10"
"0x4b","0x2","0x0","0x2","0x0","0x8378c10"
"0x4c","0x2","0x0","0x0","0x0","0x8378d48"
"0x4d","0x2","0x0","0x0","0x0","0x8378e18"
"0x4e","0x2","0x0","0x1","0x0","0x8378eec"
"0x4f","0x2","0x0","0x1","0x0","0x8379094"
"0x50","0x2","0x0","0x1","0x0","0x8379228"
"0x51","0x2","0x0","0x1","0x0","0x83793bc"
"0x52","0x2","0x0","0x1","0x0","0x8379550"
"0x53","0x2","0x0","0x1","0x0","0x83796c4"
"0x54","0x2","0x0","0x1","0x0","0x8379838"
"0x55","0x2","0x0","0x0","0x0","0x83799ac"
"0x56","0x2","0x0","0x0","0x0","0x83799e4"
"0x57","0x0","0x0","0x0","0x0","0x8379a1c"
