"0xc9d174","AP Pointer","Graphics Pointer"
"0x01 Eliwood Lord","0x83b8cac","0x83b9670"
"0x02 Lyn Lord","0x83b97c8","0x83b9f88"
"0x03 Hector Lord","0x83ba0e0","0x83ba990"
"0x04 Dummy (Knight Lord)","0x83b8cac","0x83b9670"
"0x05 Dummy (Blade Lord)","0x83b97c8","0x83b9f88"
"0x06 Dummy (Great Lord)","0x83ba0e0","0x83ba990"
"0x07 Knight Lord","0x83baae8","0x83bb458"
"0x08 Blade Lord","0x83bb5b8","0x83bbe44"
"0x09 Great Lord","0x83bbfa4","0x83bca90"
"0x0A Mercenary","0x83bcbe8","0x83bd38c"
"0x0B Mercenary (F)","0x83bd4e4","0x83bdc4c"
"0x0C Hero","0x83bdda4","0x83be700"
"0x0D Hero (F)","0x83be860","0x83bf1e0"
"0x0E Myrmidon","0x83bf340","0x83bfb28"
"0x0F Myrmidon (F)","0x83bfc80","0x83c04c4"
"0x10 Swordmaster","0x83c061c","0x83c0e68"
"0x11 Swordmaster (F)","0x83c0fc8","0x83c184c"
"0x12 Fighter","0x83c19ac","0x83c21a8"
"0x13 Warrior","0x83c2300","0x83c2d0c"
"0x14 Knight","0x83c2e64","0x83c3758"
"0x15 Knight (F)","0x83c2e64","0x83c3758"
"0x16 General","0x83c38b0","0x83c4364"
"0x17 General (F)","0x83c38b0","0x83c4364"
"0x18 Archer","0x83c44c4","0x83c4c88"
"0x19 Archer (F)","0x83c4de0","0x83c55d4"
"0x1A Sniper","0x83c572c","0x83c5f54"
"0x1B Sniper (F)","0x83c60ac","0x83c6920"
"0x1C Monk","0x83c6a78","0x83c7164"
"0x1D Cleric","0x83c72bc","0x83c79d4"
"0x1E Bishop","0x83c7b2c","0x83c8398"
"0x1F Bishop (F)","0x83c84f8","0x83c8d4c"
"0x20 Mage","0x83c8eac","0x83c96ec"
"0x21 Mage (F)","0x83c9844","0x83ca110"
"0x22 Sage","0x83ca268","0x83cabdc"
"0x23 Sage (F)","0x83cad34","0x83cb718"
"0x24 Shaman","0x83cb870","0x83cc054"
"0x25 Shaman (F)","0x83cc1ac","0x83cc9e0"
"0x26 Druid","0x83ccb38","0x83cd41c"
"0x27 Druid (F)","0x83cd574","0x83cde30"
"0x28 Cavalier","0x83cdf88","0x83ce8d0"
"0x29 Cavalier (F)","0x83cdf88","0x83ce8d0"
"0x2A Paladin","0x83cea28","0x83cf3cc"
"0x2B Paladin (F)","0x83cea28","0x83cf3cc"
"0x2C Troubadour","0x83cf524","0x83cfec8"
"0x2D Valkyrie","0x83d0020","0x83d0a28"
"0x2E Nomad","0x83d0b80","0x83d1494"
"0x2F Nomad (F)","0x83d15ec","0x83d1f88"
"0x30 Nomad Trooper","0x83d20e0","0x83d2a68"
"0x31 Nomad Trooper (F)","0x83d2bc0","0x83d35dc"
"0x32 Pegasus Knight","0x83d3734","0x83d4454"
"0x33 Falcoknight","0x83d45ac","0x83d5340"
"0x34 Wyvern Rider","0x83d5498","0x83d61e8"
"0x35 Wyvern Rider (F)","0x83d5498","0x83d61e8"
"0x36 Wyvern Lord","0x83d6348","0x83d7154"
"0x37 Wyvern Lord (F)","0x83d6348","0x83d7154"
"0x38 Soldier","0x83d72bc","0x83d7a68"
"0x39 Brigand","0x83d7bc0","0x83d83f0"
"0x3A Pirate","0x83d8548","0x83d8e78"
"0x3B Berserker","0x83d8fd0","0x83d98d0"
"0x3C Thief","0x83d9a28","0x83da2a4"
"0x3D Thief (F)","0x83da3fc","0x83dabfc"
"0x3E Assassin","0x83dad54","0x83db4fc"
"0x3F Civilian","0x83db654","0x83dba34"
"0x40 Dancer","0x83dbb8c","0x83dc578"
"0x41 Bard","0x83dc770","0x83dcf00"
"0x42 Archsage","0x83dd090","0x83dd7f8"
"0x43 Magic Seal","0x83dd950","0x83ddfa0"
"0x44 Transporter","0x83de0f8","0x83de518"
"0x45 Transporter","0x83de670","0x83def18"
"0x46 Fire Dragon","0x83df070","0x83dfc14"
"0x47 Civilian","0x83dfd6c","0x83e0450"
"0x48 Civilian (F)","0x83e05a8","0x83e0c9c"
"0x49 Child","0x83e0df4","0x83e11d8"
"0x4A Brammimond","0x83e1330","0x83e1a64"
"0x4B Peer","0x83e1bbc","0x83e2438"
"0x4C Peer (F)","0x83e2590","0x83e2ae4"
"0x4D Prince","0x83e2c3c","0x83e3248"
"0x4E Queen","0x83e33a0","0x83e3880"
"0x4F Hung Leila","0x83e39d8","0x83e3dc8"
"0x50 Corsair","0x83d8548","0x83d8e78"
"0x51 Prince (Tactician)","0x83e3f20","0x83e4410"
"0x52 Fallen Prince","0x83e4568","0x83e4954"
"0x53 Prince facing upward","0x83e4aac","0x83e4ebc"
"0x54 Fallen Ninian","0x83e5014","0x83e54bc"
"0x55 Fallen Ice Dragon","0x83e5614","0x83e5cd4"
"0x56 Fallen Warrior","0x83e5e2c","0x83e623c"
"0x57 Child","0x83e6394","0x83e69b8"
"0x58 Child (F)","0x83e6b10","0x83e716c"
"0x59 Transporter w/ Horse","0x83e72c4","0x83e7cec"
"0x5A Uber Sage","0x83cad34","0x83cb718"
"0x5B Archer in Ballista","0x83e7e44","0x83e84cc"
"0x5C Archer in Iron Ballista","0x83e8624","0x83e8cac"
"0x5D Archer in Killer Ballista","0x83e8e04","0x83e948c"
"0x5E Empty Ballista","0x83e95e4","0x83e9b38"
"0x5F Empty Iron Ballista","0x83e9ca0","0x83ea18c"
"0x60 Empty Killer Ballista","0x83ea2e4","0x83ea880"
"0x61","0x83ea9e8","0x83eb02c"
"0x62","0x83eb194","0x83eb800"
"0x63","0x83eb968","0x83ebcfc"
