"0xc965a0","Main Portrait Pointer","Mini Portrait Pointer","Palette Pointer","Mouth Pointer","Generic Portrait Pointer (usually 00s)","Mouth X-Position","Mouth Y-Position","Eye X-Position","Eye Y-Position","Eye Control","##UNKNOWN##"
"0x01 Question mark circle on a shadowed box","0x8c96354","0x8c962bc","0x8c95c9c","0x8c95cbc","0x0","2","5","0","0","0x1","0x0"
"0x02 Eliwood","0x8c95488","0x8c952d0","0x8c94cb0","0x8c94cd0","0x0","2","5","3","3","0x1","0x0"
"0x03 Angry Eliwood","0x8c944a4","0x8c942ec","0x8c93ccc","0x8c93cec","0x0","2","5","3","3","0x1","0x0"
"0x04 Sad Eliwood","0x8c93500","0x8c9332c","0x8c92d0c","0x8c92d2c","0x0","2","6","3","4","0x1","0x0"
"0x05 Eliwood dressed as a commoner","0x8c92568","0x8c92394","0x8c91d74","0x8c91d94","0x0","2","5","3","3","0x1","0x0"
"0x06 Eliwood (Looking at you)","0x8c91568","0x8c913b0","0x8c90d90","0x8c90db0","0x0","2","5","3","3","0x1","0x0"
"0x07 Eliwood dressed as a commoner (Looking at you)","0x8c905ec","0x8c90418","0x8c8fdf8","0x8c8fe18","0x0","2","5","3","3","0x1","0x0"
"0x08 Eliwood in noble clothing","0x8c8f54c","0x8c8f378","0x8c8ed58","0x8c8ed78","0x0","2","5","3","3","0x1","0x0"
"0x09 Happy Eliwood in noble clothing","0x8c8e4c0","0x8c8e2ec","0x8c8dccc","0x8c8dcec","0x0","2","5","3","3","0x1","0x0"
"0x0A Happy Eliwood","0x8c95488","0x8c952d0","0x8c94cb0","0x8c94cd0","0x0","2","5","3","3","0x6","0x0"
"0x0B Old Eliwood","0x8c8d528","0x8c8d370","0x8c8cd50","0x8c8cd70","0x0","2","5","3","3","0x1","0x0"
"0x0C Hector","0x8c8c414","0x8c8c23c","0x8c8bc1c","0x8c8bc3c","0x0","2","4","3","2","0x1","0x0"
"0x0D Angry Hector","0x8c8b2c0","0x8c8b0e8","0x8c8aac8","0x8c8aae8","0x0","2","4","2","2","0x1","0x0"
"0x0E Sad Hector","0x8c8a1dc","0x8c8a004","0x8c899e4","0x8c89a04","0x0","2","4","2","2","0x1","0x0"
"0x0F Hector dressed as a commoner","0x8c89160","0x8c88f88","0x8c88968","0x8c88988","0x0","2","4","3","2","0x1","0x0"
"0x10 Hector dressed as a commoner (Looking at you)","0x8c880bc","0x8c87ee4","0x8c878c4","0x8c878e4","0x0","2","4","3","2","0x1","0x0"
"0x11 Angry Hector dressed as a commoner","0x8c86fe8","0x8c86e0c","0x8c867ec","0x8c8680c","0x0","2","4","2","2","0x1","0x0"
"0x12 Hector in noble clothing","0x8c85f3c","0x8c85d64","0x8c85744","0x8c85764","0x0","2","4","3","2","0x1","0x0"
"0x13 Hector in noble clothing (Looking at you)","0x8c84eac","0x8c84cd4","0x8c846b4","0x8c846d4","0x0","2","4","3","2","0x1","0x0"
"0x14 Hector (Looking at you)","0x8c83d80","0x8c83ba8","0x8c83588","0x8c835a8","0x0","2","4","3","2","0x1","0x0"
"0x15 Old Hector (beard included)","0x8c82d08","0x8c82b30","0x8c82510","0x8c82530","0x0","2","4","3","2","0x1","0x0"
"0x16 Lyn","0x8c81d5c","0x8c81b90","0x8c81570","0x8c81590","0x0","2","6","3","4","0x1","0x0"
"0x17 Lyn in deep thought","0x8c80d64","0x8c80b98","0x8c80578","0x8c80598","0x0","2","6","3","4","0x1","0x0"
"0x18 Sad Lyn","0x8c7fdd0","0x8c7fc04","0x8c7f5e4","0x8c7f604","0x0","2","6","3","4","0x1","0x0"
"0x19 Lyn dressed as a commoner","0x8c7ee40","0x8c7ec7c","0x8c7e65c","0x8c7e67c","0x0","2","6","3","4","0x1","0x0"
"0x1A Lyn (Looking at you)","0x8c7de90","0x8c7dcc4","0x8c7d6a4","0x8c7d6c4","0x0","2","6","3","4","0x1","0x0"
"0x1B Athos","0x8c7cdc8","0x8c7cbdc","0x8c7c5bc","0x8c7c5dc","0x0","2","4","3","2","0x1","0x0"
"0x1C Ninian","0x8c7bdf4","0x8c7bc1c","0x8c7b5fc","0x8c7b61c","0x0","3","6","4","4","0x1","0x0"
"0x1D Possessed Ninian","0x8c7ae9c","0x8c7acc4","0x8c7a6a4","0x8c7a6c4","0x0","3","6","4","4","0x1","0x0"
"0x1E Sad Ninian","0x8c7bdf4","0x8c7bc1c","0x8c7b5fc","0x8c7b61c","0x0","3","6","4","4","0x6","0x0"
"0x1F Hawkeye","0x8c79e08","0x8c79c18","0x8c795f8","0x8c79618","0x0","2","4","2","2","0x1","0x0"
"0x20 Matthew","0x8c78e58","0x8c78c98","0x8c78678","0x8c78698","0x0","2","5","3","3","0x1","0x0"
"0x21 Jaffar","0x8c77f60","0x8c77db0","0x8c77790","0x8c777b0","0x0","2","5","2","3","0x1","0x0"
"0x22 Angry Jaffar","0x8c77f60","0x8c77db0","0x8c77790","0x8c777b0","0x0","2","5","2","3","0x6","0x0"
"0x23 Raven","0x8c76f7c","0x8c76dcc","0x8c767ac","0x8c767cc","0x0","2","5","3","3","0x1","0x0"
"0x24 Geitz","0x8c75ed4","0x8c75d04","0x8c756e4","0x8c75704","0x0","2","5","3","3","0x1","0x0"
"0x25 Legault","0x8c74fe0","0x8c74e1c","0x8c747fc","0x8c7481c","0x0","2","4","3","2","0x1","0x0"
"0x26 Karel","0x8c74028","0x8c73e44","0x8c73824","0x8c73844","0x0","2","5","3","3","0x1","0x0"
