"0xc98b18","Support partner #1","Support partner #2","Support partner #3","Support partner #4","Support partner #5","Support partner #6","Support partner #7","Initial Support Count #1","Initial Support Count #2","Initial Support Count #3","Initial Support Count #4","Initial Support Count #5","Initial Support Count #6","Initial Support Count #7","Support Gain Per Turn #1","Support Gain Per Turn #2","Support Gain Per Turn #3","Support Gain Per Turn #4","Support Gain Per Turn #5","Support Gain Per Turn #6","Support Gain Per Turn #7","Total Number of Supports","##UNKNOWN##"
"01 - (Eliwood)","0x2","0x2d","0x25","0x1a","0x19","0x38","0x1e","72","10","0","25","20","25","0","3","2","5","2","2","3","2","7","0x0"
"02 - (Hector)","0x1","0x2d","0xb","0x23","0x31","0x11","0x1f","72","0","20","20","5","15","0","3","3","2","3","2","1","1","7","0x0"
"2D - (Lyn)","0x1","0x2","0x31","0x32","0x2f","0x2e","0x2c","10","0","76","15","20","17","15","2","3","4","4","3","3","2","7","0x0"
"04 - (Raven)","0x10","0x1b","0xe","0x2e","0x9","0x0","0x0","30","20","0","0","0","0","0","3","3","2","1","1","0","0","5","0x0"
"38 - (Harken)","0x1","0x34","0x19","0x1a","0x21","0x0","0x0","25","40","15","20","0","0","0","3","4","3","2","1","0","0","5","0x0"
"06 - (Guy)","0x23","0x32","0x7","0x1b","0xf","0x0","0x0","10","0","5","0","0","0","0","3","4","3","2","1","0","0","5","0x0"
"07 - (Karel)","0x6","0x5","0x37","0x33","0x10","0x0","0x0","5","0","25","0","0","0","0","3","2","2","2","1","0","0","5","0x0"
"08 - (Dorcas)","0x9","0x5","0xb","0x21","0x1f","0x0","0x0","15","0","0","0","0","0","0","3","3","2","2","1","0","0","5","0x0"
"09 - (Bartre)","0x8","0x4","0x16","0x37","0x12","0x0","0x0","15","0","0","5","0","0","0","3","1","2","4","1","0","0","5","0x0"
"05 - (Geitz)","0x8","0x7","0x34","0x1e","0x33","0x0","0x0","0","0","0","0","0","0","0","3","2","2","1","2","0","0","5","0x0"
"0B - (Oswin)","0x2","0x23","0x11","0x1b","0x8","0x0","0x0","20","5","10","0","0","0","0","2","2","1","2","2","0","0","5","0x0"
"2E - (Wil)","0x2d","0xe","0x32","0x33","0x2c","0x4","0x0","17","30","0","20","0","0","0","3","3","2","3","2","1","0","6","0x0"
"0E - (Rebecca)","0x2e","0x19","0x30","0x33","0xf","0x4","0x14","30","5","0","35","0","0","0","3","2","2","3","3","2","3","7","0x0"
"0F - (Louise)","0x15","0x13","0x22","0xe","0x6","0x20","0x30","241","20","20","0","0","0","0","0","2","3","3","1","1","1","7","0x0"
"10 - (Lucius)","0x4","0x1b","0x11","0x12","0x7","0x0","0x0","30","5","0","0","0","0","0","3","2","2","2","1","0","0","5","0x0"
"11 - (Serra)","0x2","0x23","0x31","0x30","0xb","0x10","0x13","15","5","0","0","10","0","2","1","1","1","2","1","2","1","7","0x0"
"12 - (Renault)","0x9","0x34","0x10","0x2c","0x16","0x0","0x0","0","0","0","0","0","0","0","1","1","2","2","2","0","0","5","0x0"
"13 - (Erk)","0xf","0x14","0x15","0x1b","0x11","0x0","0x0","20","0","25","15","2","0","0","2","3","3","3","1","0","0","5","0x0"
"14 - (Nino)","0x24","0x13","0x31","0x28","0x36","0x16","0xe","25","0","0","0","0","0","0","3","3","2","2","2","3","3","7","0x0"
"15 - (Pent)","0xf","0x13","0x16","0x22","0x1e","0x0","0x0","241","25","0","20","10","0","0","0","3","3","3","2","0","0","5","0x0"
"16 - (Canas)","0x15","0x14","0x12","0x9","0x21","0x0","0x0","0","0","0","0","0","0","0","3","3","2","2","2","0","0","5","0x0"
