"0xc98b18","Person 1","Person 2","Person 3","Person 4","Person 5","Person 6","Person 7","Initial Support Level 1","Initial Support Level 2","Initial Support Level 3","Initial Support Level 4","Initial Support Level 5","Initial Support Level 6","Initial Support Level 7","Support Growth Rate 1","Support Growth Rate 2","Support Growth Rate 3","Support Growth Rate 4","Support Growth Rate 5","Support Growth Rate 6","Support Growth Rate 7","Number of Supported Characters","Separator (Use 0x00)","Separator (Use 0x00)"
"FFF800 Pointer - 0x8FFF800","0x2","0x2d","0x25","0x1a","0x19","0x38","0x1e","72","10","0","25","20","25","0","3","2","5","2","2","3","2","7","0x0","0x0"
"FFF810 Pointer - 0x8FFF818","0x1","0x2d","0xb","0x23","0x31","0x11","0x1f","72","0","20","20","5","15","0","3","3","2","3","2","1","1","7","0x0","0x0"
"FFF820 Pointer - 0x8FFF830","0x1","0x2","0x31","0x32","0x2f","0x2e","0x2c","10","0","76","15","20","17","15","2","3","4","4","3","3","2","7","0x0","0x0"
"FFF830 Pointer - 0x8FFF848","0x10","0x1b","0xe","0x2e","0x9","0x0","0x0","30","20","0","0","0","0","0","3","3","2","1","1","0","0","5","0x0","0x0"
"FFF840 Pointer - 0x8FFF860","0x1","0x34","0x19","0x1a","0x21","0x0","0x0","25","40","15","20","0","0","0","3","4","3","2","1","0","0","5","0x0","0x0"
"FFF850 Pointer - 0x8FFF878","0x23","0x32","0x7","0x1b","0xf","0x0","0x0","10","0","5","0","0","0","0","3","4","3","2","1","0","0","5","0x0","0x0"
"FFF860 Pointer - 0x8FFF890","0x6","0x5","0x37","0x33","0x10","0x0","0x0","5","0","25","0","0","0","0","3","2","2","2","1","0","0","5","0x0","0x0"
"FFF870 Pointer - 0x8FFF908","0x9","0x5","0xb","0x21","0x1f","0x0","0x0","15","0","0","0","0","0","0","3","3","2","2","1","0","0","5","0x0","0x0"
"FFF880 Pointer - 0x8FFF920","0x8","0x4","0x16","0x37","0x12","0x0","0x0","15","0","0","5","0","0","0","3","1","2","4","1","0","0","5","0x0","0x0"
"FFF890 Pointer - 0x8FFF938","0x8","0x7","0x34","0x1e","0x33","0x0","0x0","0","0","0","0","0","0","0","3","2","2","1","2","0","0","5","0x0","0x0"
"FFF8A0 Pointer - 0x8FFF950","0x2","0x23","0x11","0x1b","0x8","0x0","0x0","20","5","10","0","0","0","0","2","2","1","2","2","0","0","5","0x0","0x0"
"FFF8B0 Pointer - 0x8FFF968","0x2d","0xe","0x32","0x33","0x2c","0x4","0x0","17","30","0","20","0","0","0","3","3","2","3","2","1","0","6","0x0","0x0"
"FFF8C0 Pointer - 0x8FFF980","0x2e","0x19","0x30","0x33","0xf","0x4","0x14","30","5","0","35","0","0","0","3","2","2","3","3","2","3","7","0x0","0x0"
"FFF8D0 Pointer - 0x8FFF998","0x15","0x13","0x22","0xe","0x6","0x20","0x30","241","20","20","0","0","0","0","0","2","3","3","1","1","1","7","0x0","0x0"
"FFF8E0 Pointer - 0x8FFFA10","0x4","0x1b","0x11","0x12","0x7","0x0","0x0","30","5","0","0","0","0","0","3","2","2","2","1","0","0","5","0x0","0x0"
"FFF8F0 Pointer - 0x8FFFA28","0x2","0x23","0x31","0x30","0xb","0x10","0x13","15","5","0","0","10","0","2","1","1","1","2","1","2","1","7","0x0","0x0"
"FFF900 Pointer - 0x8FFFA40","0x9","0x34","0x10","0x2c","0x16","0x0","0x0","0","0","0","0","0","0","0","1","1","2","2","2","0","0","5","0x0","0x0"
"FFF910 Pointer - 0x8FFFA58","0xf","0x14","0x15","0x1b","0x11","0x0","0x0","20","0","25","15","2","0","0","2","3","3","3","1","0","0","5","0x0","0x0"
"FFF920 Pointer - 0x8FFFA70","0x24","0x13","0x31","0x28","0x36","0x16","0xe","25","0","0","0","0","0","0","3","3","2","2","2","3","3","7","0x0","0x0"
"FFF930 Pointer - 0x8FFFA88","0xf","0x13","0x16","0x22","0x1e","0x0","0x0","241","25","0","20","10","0","0","0","3","3","3","2","0","0","5","0x0","0x0"
"FFF940 Pointer - 0x8FFFB00","0x15","0x14","0x12","0x9","0x21","0x0","0x0","0","0","0","0","0","0","0","3","3","2","2","2","0","0","5","0x0","0x0"
"FFF950 Pointer - 0x8FFFB18","0x2d","0x30","0x1e","0x1f","0x2c","0x20","0x0","20","30","0","0","15","0","0","3","3","3","1","2","2","0","6","0x0","0x0"
"FFF960 Pointer - 0x8FFFB30","0x2f","0x1e","0x11","0xe","0x1b","0xf","0x34","30","0","0","0","0","0","0","3","2","2","2","2","1","1","7","0x0","0x0"
"FFF970 Pointer - 0x8FFFB48","0x1","0x1a","0x34","0x38","0xe","0x0","0x0","20","20","10","15","5","0","0","2","3","3","3","2","0","0","5","0x0","0x0"
"FFF980 Pointer - 0x8FFFB60","0x1","0x28","0x19","0x34","0x38","0x0","0x0","25","0","20","15","20","0","0","2","2","3","3","2","0","0","5","0x0","0x0"
"FFF990 Pointer - 0x8FFFB78","0x4","0x10","0x13","0xb","0x30","0x20","0x6","20","5","15","0","0","0","0","3","2","3","2","2","2","2","7","0x0","0x0"
"FFF9A0 Pointer - 0x8FFFB90","0x2d","0x2e","0x6","0x0","0x0","0x0","0x0","15","0","0","0","0","0","0","4","2","4","0","0","0","0","3","0x0","0x0"
"FFF9B0 Pointer - 0x8FFFC08","0x2","0x2d","0x1f","0x1e","0x25","0x14","0x11","5","76","35","35","0","0","0","2","4","3","4","4","2","1","7","0x0","0x0"
"FFF9C0 Pointer - 0x8FFFC20","0x1f","0x31","0x1","0x2f","0x30","0x15","0x5","30","35","0","0","0","10","0","3","4","2","3","2","2","1","7","0x0","0x0"
"FFF9D0 Pointer - 0x8FFFC38","0x2","0x31","0x1e","0x2f","0x33","0x37","0x8","0","35","30","0","0","0","0","1","3","3","1","2","2","1","7","0x0","0x0"
"FFF9E0 Pointer - 0x8FFFC50","0x21","0x36","0xf","0x1b","0x2f","0x0","0x0","0","0","0","0","0","0","0","2","2","1","2","2","0","0","5","0x0","0x0"
"FFF9F0 Pointer - 0x8FFFC68","0x20","0x38","0x37","0x2c","0x16","0x8","0x28","0","0","0","0","0","0","0","2","1","2","2","2","2","1","7","0x0","0x0"
"FFFA00 Pointer - 0x8FFFC80","0x25","0x15","0xf","0x0","0x0","0x0","0x0","0","20","20","0","0","0","0","3","3","3","0","0","0","0","3","0x0","0x0"
"FFFA10 Pointer - 0x8FFFC98","0x2","0x24","0x6","0x11","0xb","0x36","0x0","20","0","10","5","5","0","0","3","1","3","1","2","2","0","6","0x0","0x0"
"FFFA20 Pointer - 0x8FFFD10","0x14","0x23","0x36","0x0","0x0","0x0","0x0","25","0","5","0","0","0","0","3","1","1","0","0","0","0","3","0x0","0x0"
"FFFA30 Pointer - 0x8FFFD28","0x1","0x31","0x22","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","5","4","3","0","0","0","0","3","0x0","0x0"
"FFFA40 Pointer - 0x8FFFD40","0x1a","0x14","0x21","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","3","0x0","0x0"
"FFFA50 Pointer - 0x8FFFD58","0x2d","0x12","0x2e","0x21","0x2f","0x0","0x0","15","0","0","0","15","0","0","2","2","2","2","2","0","0","5","0x0","0x0"
"FFFA60 Pointer - 0x8FFFD70","0x1f","0x2e","0x5","0xe","0x7","0x0","0x0","0","20","0","35","0","0","0","2","3","2","3","2","0","0","5","0x0","0x0"
"FFFA70 Pointer - 0x8FFFD88","0x23","0x14","0x34","0x24","0x20","0x0","0x0","0","0","0","5","0","0","0","2","2","1","1","2","0","0","5","0x0","0x0"
"FFFA80 Pointer - 0x8FFFE00","0x36","0x19","0x1a","0x38","0x5","0x12","0x30","0","10","15","40","0","0","0","1","3","3","4","2","1","1","7","0x0","0x0"
"0x29","0x7","0x9","0x1f","0x21","0x0","0x0","0x0","25","5","0","0","0","0","0","2","4","2","2","0","0","0","4","0x0","0x0"
"0x2a","0x54","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0","0x0"
"0x2b","0x53","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0","0x0"
"0x2c","0x64","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0","0x0"
"0x2d","0x63","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0","0x0"
"0x2e","0xf5","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0","0x0"
"0x2f","0xf4","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0","0x0"
